"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1","18/04/2020",18,4,2020,51,1,"Afghanistan","AF","AFG",37172386
"2","17/04/2020",17,4,2020,10,4,"Afghanistan","AF","AFG",37172386
"3","16/04/2020",16,4,2020,70,2,"Afghanistan","AF","AFG",37172386
"4","15/04/2020",15,4,2020,49,2,"Afghanistan","AF","AFG",37172386
"5","14/04/2020",14,4,2020,58,3,"Afghanistan","AF","AFG",37172386
"6","13/04/2020",13,4,2020,52,0,"Afghanistan","AF","AFG",37172386
"7","12/04/2020",12,4,2020,34,3,"Afghanistan","AF","AFG",37172386
"8","11/04/2020",11,4,2020,37,0,"Afghanistan","AF","AFG",37172386
"9","10/04/2020",10,4,2020,61,1,"Afghanistan","AF","AFG",37172386
"10","09/04/2020",9,4,2020,56,3,"Afghanistan","AF","AFG",37172386
"11","08/04/2020",8,4,2020,30,4,"Afghanistan","AF","AFG",37172386
"12","07/04/2020",7,4,2020,38,0,"Afghanistan","AF","AFG",37172386
"13","06/04/2020",6,4,2020,29,2,"Afghanistan","AF","AFG",37172386
"14","05/04/2020",5,4,2020,35,1,"Afghanistan","AF","AFG",37172386
"15","04/04/2020",4,4,2020,0,0,"Afghanistan","AF","AFG",37172386
"16","03/04/2020",3,4,2020,43,0,"Afghanistan","AF","AFG",37172386
"17","02/04/2020",2,4,2020,26,0,"Afghanistan","AF","AFG",37172386
"18","01/04/2020",1,4,2020,25,0,"Afghanistan","AF","AFG",37172386
"19","31/03/2020",31,3,2020,27,0,"Afghanistan","AF","AFG",37172386
"20","30/03/2020",30,3,2020,8,1,"Afghanistan","AF","AFG",37172386
"21","29/03/2020",29,3,2020,15,1,"Afghanistan","AF","AFG",37172386
"22","28/03/2020",28,3,2020,16,1,"Afghanistan","AF","AFG",37172386
"23","27/03/2020",27,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"24","26/03/2020",26,3,2020,33,0,"Afghanistan","AF","AFG",37172386
"25","25/03/2020",25,3,2020,2,0,"Afghanistan","AF","AFG",37172386
"26","24/03/2020",24,3,2020,6,1,"Afghanistan","AF","AFG",37172386
"27","23/03/2020",23,3,2020,10,0,"Afghanistan","AF","AFG",37172386
"28","22/03/2020",22,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"29","21/03/2020",21,3,2020,2,0,"Afghanistan","AF","AFG",37172386
"30","20/03/2020",20,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"31","19/03/2020",19,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"32","18/03/2020",18,3,2020,1,0,"Afghanistan","AF","AFG",37172386
"33","17/03/2020",17,3,2020,5,0,"Afghanistan","AF","AFG",37172386
"34","16/03/2020",16,3,2020,6,0,"Afghanistan","AF","AFG",37172386
"35","15/03/2020",15,3,2020,3,0,"Afghanistan","AF","AFG",37172386
"36","11/03/2020",11,3,2020,3,0,"Afghanistan","AF","AFG",37172386
"37","08/03/2020",8,3,2020,3,0,"Afghanistan","AF","AFG",37172386
"38","02/03/2020",2,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"39","01/03/2020",1,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"40","29/02/2020",29,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"41","28/02/2020",28,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"42","27/02/2020",27,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"43","26/02/2020",26,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"44","25/02/2020",25,2,2020,1,0,"Afghanistan","AF","AFG",37172386
"45","24/02/2020",24,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"46","23/02/2020",23,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"47","22/02/2020",22,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"48","21/02/2020",21,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"49","20/02/2020",20,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"50","19/02/2020",19,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"51","18/02/2020",18,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"52","17/02/2020",17,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"53","16/02/2020",16,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"54","15/02/2020",15,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"55","14/02/2020",14,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"56","13/02/2020",13,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"57","12/02/2020",12,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"58","11/02/2020",11,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"59","10/02/2020",10,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"60","09/02/2020",9,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"61","08/02/2020",8,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"62","07/02/2020",7,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"63","06/02/2020",6,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"64","05/02/2020",5,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"65","04/02/2020",4,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"66","03/02/2020",3,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"67","02/02/2020",2,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"68","01/02/2020",1,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"69","31/01/2020",31,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"70","30/01/2020",30,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"71","29/01/2020",29,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"72","28/01/2020",28,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"73","27/01/2020",27,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"74","26/01/2020",26,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"75","25/01/2020",25,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"76","24/01/2020",24,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"77","23/01/2020",23,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"78","22/01/2020",22,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"79","21/01/2020",21,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"80","20/01/2020",20,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"81","19/01/2020",19,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"82","18/01/2020",18,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"83","17/01/2020",17,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"84","16/01/2020",16,1,2020,0,0,"Afghanistan","AF","AFG",37172386
