"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"101","18/04/2020",18,4,2020,21,0,"Albania","AL","ALB",2866376
"102","17/04/2020",17,4,2020,24,1,"Albania","AL","ALB",2866376
"103","16/04/2020",16,4,2020,19,1,"Albania","AL","ALB",2866376
"104","15/04/2020",15,4,2020,8,1,"Albania","AL","ALB",2866376
"105","14/04/2020",14,4,2020,21,0,"Albania","AL","ALB",2866376
"106","13/04/2020",13,4,2020,13,0,"Albania","AL","ALB",2866376
"107","12/04/2020",12,4,2020,17,0,"Albania","AL","ALB",2866376
"108","11/04/2020",11,4,2020,7,0,"Albania","AL","ALB",2866376
"109","10/04/2020",10,4,2020,9,1,"Albania","AL","ALB",2866376
"110","09/04/2020",9,4,2020,17,0,"Albania","AL","ALB",2866376
"111","08/04/2020",8,4,2020,6,0,"Albania","AL","ALB",2866376
"112","07/04/2020",7,4,2020,16,1,"Albania","AL","ALB",2866376
"113","06/04/2020",6,4,2020,28,2,"Albania","AL","ALB",2866376
"114","05/04/2020",5,4,2020,29,2,"Albania","AL","ALB",2866376
"115","04/04/2020",4,4,2020,27,1,"Albania","AL","ALB",2866376
"116","03/04/2020",3,4,2020,18,1,"Albania","AL","ALB",2866376
"117","02/04/2020",2,4,2020,16,0,"Albania","AL","ALB",2866376
"118","01/04/2020",1,4,2020,20,3,"Albania","AL","ALB",2866376
"119","31/03/2020",31,3,2020,11,2,"Albania","AL","ALB",2866376
"120","30/03/2020",30,3,2020,15,0,"Albania","AL","ALB",2866376
"121","29/03/2020",29,3,2020,11,1,"Albania","AL","ALB",2866376
"122","28/03/2020",28,3,2020,12,3,"Albania","AL","ALB",2866376
"123","27/03/2020",27,3,2020,28,1,"Albania","AL","ALB",2866376
"124","26/03/2020",26,3,2020,23,0,"Albania","AL","ALB",2866376
"125","25/03/2020",25,3,2020,23,1,"Albania","AL","ALB",2866376
"126","24/03/2020",24,3,2020,11,2,"Albania","AL","ALB",2866376
"127","23/03/2020",23,3,2020,13,0,"Albania","AL","ALB",2866376
"128","22/03/2020",22,3,2020,6,0,"Albania","AL","ALB",2866376
"129","21/03/2020",21,3,2020,0,0,"Albania","AL","ALB",2866376
"130","20/03/2020",20,3,2020,11,0,"Albania","AL","ALB",2866376
"131","19/03/2020",19,3,2020,4,1,"Albania","AL","ALB",2866376
"132","18/03/2020",18,3,2020,4,0,"Albania","AL","ALB",2866376
"133","17/03/2020",17,3,2020,9,0,"Albania","AL","ALB",2866376
"134","16/03/2020",16,3,2020,4,0,"Albania","AL","ALB",2866376
"135","15/03/2020",15,3,2020,5,0,"Albania","AL","ALB",2866376
"136","14/03/2020",14,3,2020,10,0,"Albania","AL","ALB",2866376
"137","13/03/2020",13,3,2020,12,0,"Albania","AL","ALB",2866376
"138","12/03/2020",12,3,2020,1,1,"Albania","AL","ALB",2866376
"139","11/03/2020",11,3,2020,4,0,"Albania","AL","ALB",2866376
"140","10/03/2020",10,3,2020,4,0,"Albania","AL","ALB",2866376
"141","09/03/2020",9,3,2020,2,0,"Albania","AL","ALB",2866376
