"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"142","18/04/2020",18,4,2020,150,16,"Algeria","DZ","DZA",42228429
"143","17/04/2020",17,4,2020,108,12,"Algeria","DZ","DZA",42228429
"144","16/04/2020",16,4,2020,90,11,"Algeria","DZ","DZA",42228429
"145","15/04/2020",15,4,2020,87,12,"Algeria","DZ","DZA",42228429
"146","14/04/2020",14,4,2020,69,20,"Algeria","DZ","DZA",42228429
"147","13/04/2020",13,4,2020,89,18,"Algeria","DZ","DZA",42228429
"148","12/04/2020",12,4,2020,64,19,"Algeria","DZ","DZA",42228429
"149","11/04/2020",11,4,2020,95,21,"Algeria","DZ","DZA",42228429
"150","10/04/2020",10,4,2020,94,30,"Algeria","DZ","DZA",42228429
"151","09/04/2020",9,4,2020,104,12,"Algeria","DZ","DZA",42228429
"152","08/04/2020",8,4,2020,45,20,"Algeria","DZ","DZA",42228429
"153","07/04/2020",7,4,2020,103,21,"Algeria","DZ","DZA",42228429
"154","06/04/2020",6,4,2020,69,22,"Algeria","DZ","DZA",42228429
"155","05/04/2020",5,4,2020,80,25,"Algeria","DZ","DZA",42228429
"156","04/04/2020",4,4,2020,185,42,"Algeria","DZ","DZA",42228429
"157","03/04/2020",3,4,2020,139,5,"Algeria","DZ","DZA",42228429
"158","02/04/2020",2,4,2020,131,14,"Algeria","DZ","DZA",42228429
"159","01/04/2020",1,4,2020,132,9,"Algeria","DZ","DZA",42228429
"160","31/03/2020",31,3,2020,73,4,"Algeria","DZ","DZA",42228429
"161","30/03/2020",30,3,2020,57,2,"Algeria","DZ","DZA",42228429
"162","29/03/2020",29,3,2020,45,3,"Algeria","DZ","DZA",42228429
"163","28/03/2020",28,3,2020,42,1,"Algeria","DZ","DZA",42228429
"164","27/03/2020",27,3,2020,65,4,"Algeria","DZ","DZA",42228429
"165","26/03/2020",26,3,2020,38,2,"Algeria","DZ","DZA",42228429
"166","25/03/2020",25,3,2020,34,2,"Algeria","DZ","DZA",42228429
"167","24/03/2020",24,3,2020,29,0,"Algeria","DZ","DZA",42228429
"168","23/03/2020",23,3,2020,62,2,"Algeria","DZ","DZA",42228429
"169","22/03/2020",22,3,2020,37,5,"Algeria","DZ","DZA",42228429
"170","21/03/2020",21,3,2020,12,3,"Algeria","DZ","DZA",42228429
"171","20/03/2020",20,3,2020,18,1,"Algeria","DZ","DZA",42228429
"172","19/03/2020",19,3,2020,12,1,"Algeria","DZ","DZA",42228429
"173","18/03/2020",18,3,2020,2,1,"Algeria","DZ","DZA",42228429
"174","17/03/2020",17,3,2020,10,0,"Algeria","DZ","DZA",42228429
"175","16/03/2020",16,3,2020,11,2,"Algeria","DZ","DZA",42228429
"176","15/03/2020",15,3,2020,11,0,"Algeria","DZ","DZA",42228429
"177","14/03/2020",14,3,2020,1,1,"Algeria","DZ","DZA",42228429
"178","13/03/2020",13,3,2020,5,1,"Algeria","DZ","DZA",42228429
"179","12/03/2020",12,3,2020,0,0,"Algeria","DZ","DZA",42228429
"180","09/03/2020",9,3,2020,3,0,"Algeria","DZ","DZA",42228429
"181","06/03/2020",6,3,2020,5,0,"Algeria","DZ","DZA",42228429
"182","05/03/2020",5,3,2020,7,0,"Algeria","DZ","DZA",42228429
"183","04/03/2020",4,3,2020,2,0,"Algeria","DZ","DZA",42228429
"184","02/03/2020",2,3,2020,0,0,"Algeria","DZ","DZA",42228429
"185","01/03/2020",1,3,2020,2,0,"Algeria","DZ","DZA",42228429
"186","29/02/2020",29,2,2020,0,0,"Algeria","DZ","DZA",42228429
"187","28/02/2020",28,2,2020,0,0,"Algeria","DZ","DZA",42228429
"188","27/02/2020",27,2,2020,0,0,"Algeria","DZ","DZA",42228429
"189","26/02/2020",26,2,2020,1,0,"Algeria","DZ","DZA",42228429
"190","25/02/2020",25,2,2020,0,0,"Algeria","DZ","DZA",42228429
"191","24/02/2020",24,2,2020,0,0,"Algeria","DZ","DZA",42228429
"192","23/02/2020",23,2,2020,0,0,"Algeria","DZ","DZA",42228429
"193","22/02/2020",22,2,2020,0,0,"Algeria","DZ","DZA",42228429
"194","21/02/2020",21,2,2020,0,0,"Algeria","DZ","DZA",42228429
"195","20/02/2020",20,2,2020,0,0,"Algeria","DZ","DZA",42228429
"196","19/02/2020",19,2,2020,0,0,"Algeria","DZ","DZA",42228429
"197","18/02/2020",18,2,2020,0,0,"Algeria","DZ","DZA",42228429
"198","17/02/2020",17,2,2020,0,0,"Algeria","DZ","DZA",42228429
"199","16/02/2020",16,2,2020,0,0,"Algeria","DZ","DZA",42228429
"200","15/02/2020",15,2,2020,0,0,"Algeria","DZ","DZA",42228429
"201","14/02/2020",14,2,2020,0,0,"Algeria","DZ","DZA",42228429
"202","13/02/2020",13,2,2020,0,0,"Algeria","DZ","DZA",42228429
"203","12/02/2020",12,2,2020,0,0,"Algeria","DZ","DZA",42228429
"204","11/02/2020",11,2,2020,0,0,"Algeria","DZ","DZA",42228429
"205","10/02/2020",10,2,2020,0,0,"Algeria","DZ","DZA",42228429
"206","09/02/2020",9,2,2020,0,0,"Algeria","DZ","DZA",42228429
"207","08/02/2020",8,2,2020,0,0,"Algeria","DZ","DZA",42228429
"208","07/02/2020",7,2,2020,0,0,"Algeria","DZ","DZA",42228429
"209","06/02/2020",6,2,2020,0,0,"Algeria","DZ","DZA",42228429
"210","05/02/2020",5,2,2020,0,0,"Algeria","DZ","DZA",42228429
"211","04/02/2020",4,2,2020,0,0,"Algeria","DZ","DZA",42228429
"212","03/02/2020",3,2,2020,0,0,"Algeria","DZ","DZA",42228429
"213","02/02/2020",2,2,2020,0,0,"Algeria","DZ","DZA",42228429
"214","01/02/2020",1,2,2020,0,0,"Algeria","DZ","DZA",42228429
"215","31/01/2020",31,1,2020,0,0,"Algeria","DZ","DZA",42228429
"216","30/01/2020",30,1,2020,0,0,"Algeria","DZ","DZA",42228429
"217","29/01/2020",29,1,2020,0,0,"Algeria","DZ","DZA",42228429
"218","28/01/2020",28,1,2020,0,0,"Algeria","DZ","DZA",42228429
"219","27/01/2020",27,1,2020,0,0,"Algeria","DZ","DZA",42228429
"220","26/01/2020",26,1,2020,0,0,"Algeria","DZ","DZA",42228429
"221","25/01/2020",25,1,2020,0,0,"Algeria","DZ","DZA",42228429
"222","24/01/2020",24,1,2020,0,0,"Algeria","DZ","DZA",42228429
"223","23/01/2020",23,1,2020,0,0,"Algeria","DZ","DZA",42228429
"224","22/01/2020",22,1,2020,0,0,"Algeria","DZ","DZA",42228429
"225","21/01/2020",21,1,2020,0,0,"Algeria","DZ","DZA",42228429
"226","20/01/2020",20,1,2020,0,0,"Algeria","DZ","DZA",42228429
"227","19/01/2020",19,1,2020,0,0,"Algeria","DZ","DZA",42228429
"228","18/01/2020",18,1,2020,0,0,"Algeria","DZ","DZA",42228429
"229","17/01/2020",17,1,2020,0,0,"Algeria","DZ","DZA",42228429
