"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"311","18/04/2020",18,4,2020,0,0,"Anguilla","AI","",NA
"312","17/04/2020",17,4,2020,0,0,"Anguilla","AI","",NA
"313","16/04/2020",16,4,2020,0,0,"Anguilla","AI","",NA
"314","15/04/2020",15,4,2020,0,0,"Anguilla","AI","",NA
"315","14/04/2020",14,4,2020,0,0,"Anguilla","AI","",NA
"316","13/04/2020",13,4,2020,0,0,"Anguilla","AI","",NA
"317","12/04/2020",12,4,2020,0,0,"Anguilla","AI","",NA
"318","11/04/2020",11,4,2020,0,0,"Anguilla","AI","",NA
"319","10/04/2020",10,4,2020,0,0,"Anguilla","AI","",NA
"320","09/04/2020",9,4,2020,0,0,"Anguilla","AI","",NA
"321","08/04/2020",8,4,2020,0,0,"Anguilla","AI","",NA
"322","07/04/2020",7,4,2020,0,0,"Anguilla","AI","",NA
"323","06/04/2020",6,4,2020,0,0,"Anguilla","AI","",NA
"324","05/04/2020",5,4,2020,0,0,"Anguilla","AI","",NA
"325","04/04/2020",4,4,2020,0,0,"Anguilla","AI","",NA
"326","03/04/2020",3,4,2020,1,0,"Anguilla","AI","",NA
"327","02/04/2020",2,4,2020,0,0,"Anguilla","AI","",NA
"328","01/04/2020",1,4,2020,0,0,"Anguilla","AI","",NA
"329","31/03/2020",31,3,2020,0,0,"Anguilla","AI","",NA
"330","30/03/2020",30,3,2020,0,0,"Anguilla","AI","",NA
"331","29/03/2020",29,3,2020,0,0,"Anguilla","AI","",NA
"332","28/03/2020",28,3,2020,0,0,"Anguilla","AI","",NA
"333","27/03/2020",27,3,2020,2,0,"Anguilla","AI","",NA
