"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"407","18/04/2020",18,4,2020,47,1,"Armenia","AM","ARM",2951776
"408","17/04/2020",17,4,2020,42,1,"Armenia","AM","ARM",2951776
"409","16/04/2020",16,4,2020,48,1,"Armenia","AM","ARM",2951776
"410","15/04/2020",15,4,2020,72,3,"Armenia","AM","ARM",2951776
"411","14/04/2020",14,4,2020,26,1,"Armenia","AM","ARM",2951776
"412","13/04/2020",13,4,2020,46,0,"Armenia","AM","ARM",2951776
"413","12/04/2020",12,4,2020,30,2,"Armenia","AM","ARM",2951776
"414","11/04/2020",11,4,2020,16,1,"Armenia","AM","ARM",2951776
"415","10/04/2020",10,4,2020,40,1,"Armenia","AM","ARM",2951776
"416","09/04/2020",9,4,2020,28,1,"Armenia","AM","ARM",2951776
"417","08/04/2020",8,4,2020,20,0,"Armenia","AM","ARM",2951776
"418","07/04/2020",7,4,2020,11,1,"Armenia","AM","ARM",2951776
"419","06/04/2020",6,4,2020,52,0,"Armenia","AM","ARM",2951776
"420","05/04/2020",5,4,2020,34,0,"Armenia","AM","ARM",2951776
"421","04/04/2020",4,4,2020,73,3,"Armenia","AM","ARM",2951776
"422","03/04/2020",3,4,2020,92,1,"Armenia","AM","ARM",2951776
"423","02/04/2020",2,4,2020,39,0,"Armenia","AM","ARM",2951776
"424","01/04/2020",1,4,2020,50,0,"Armenia","AM","ARM",2951776
"425","31/03/2020",31,3,2020,58,0,"Armenia","AM","ARM",2951776
"426","30/03/2020",30,3,2020,0,0,"Armenia","AM","ARM",2951776
"427","29/03/2020",29,3,2020,52,2,"Armenia","AM","ARM",2951776
"428","28/03/2020",28,3,2020,43,0,"Armenia","AM","ARM",2951776
"429","27/03/2020",27,3,2020,39,1,"Armenia","AM","ARM",2951776
"430","26/03/2020",26,3,2020,25,0,"Armenia","AM","ARM",2951776
"431","25/03/2020",25,3,2020,71,0,"Armenia","AM","ARM",2951776
"432","24/03/2020",24,3,2020,4,0,"Armenia","AM","ARM",2951776
"433","23/03/2020",23,3,2020,30,0,"Armenia","AM","ARM",2951776
"434","22/03/2020",22,3,2020,24,0,"Armenia","AM","ARM",2951776
"435","21/03/2020",21,3,2020,14,0,"Armenia","AM","ARM",2951776
"436","20/03/2020",20,3,2020,7,0,"Armenia","AM","ARM",2951776
"437","19/03/2020",19,3,2020,37,0,"Armenia","AM","ARM",2951776
"438","18/03/2020",18,3,2020,26,0,"Armenia","AM","ARM",2951776
"439","17/03/2020",17,3,2020,22,0,"Armenia","AM","ARM",2951776
"440","16/03/2020",16,3,2020,10,0,"Armenia","AM","ARM",2951776
"441","15/03/2020",15,3,2020,7,0,"Armenia","AM","ARM",2951776
"442","14/03/2020",14,3,2020,7,0,"Armenia","AM","ARM",2951776
"443","13/03/2020",13,3,2020,2,0,"Armenia","AM","ARM",2951776
"444","12/03/2020",12,3,2020,3,0,"Armenia","AM","ARM",2951776
"445","02/03/2020",2,3,2020,0,0,"Armenia","AM","ARM",2951776
"446","01/03/2020",1,3,2020,1,0,"Armenia","AM","ARM",2951776
"447","29/02/2020",29,2,2020,0,0,"Armenia","AM","ARM",2951776
"448","28/02/2020",28,2,2020,0,0,"Armenia","AM","ARM",2951776
"449","27/02/2020",27,2,2020,0,0,"Armenia","AM","ARM",2951776
"450","26/02/2020",26,2,2020,0,0,"Armenia","AM","ARM",2951776
"451","25/02/2020",25,2,2020,0,0,"Armenia","AM","ARM",2951776
"452","24/02/2020",24,2,2020,0,0,"Armenia","AM","ARM",2951776
"453","23/02/2020",23,2,2020,0,0,"Armenia","AM","ARM",2951776
"454","22/02/2020",22,2,2020,0,0,"Armenia","AM","ARM",2951776
"455","21/02/2020",21,2,2020,0,0,"Armenia","AM","ARM",2951776
"456","20/02/2020",20,2,2020,0,0,"Armenia","AM","ARM",2951776
"457","19/02/2020",19,2,2020,0,0,"Armenia","AM","ARM",2951776
"458","18/02/2020",18,2,2020,0,0,"Armenia","AM","ARM",2951776
"459","17/02/2020",17,2,2020,0,0,"Armenia","AM","ARM",2951776
"460","16/02/2020",16,2,2020,0,0,"Armenia","AM","ARM",2951776
"461","15/02/2020",15,2,2020,0,0,"Armenia","AM","ARM",2951776
"462","14/02/2020",14,2,2020,0,0,"Armenia","AM","ARM",2951776
"463","13/02/2020",13,2,2020,0,0,"Armenia","AM","ARM",2951776
"464","12/02/2020",12,2,2020,0,0,"Armenia","AM","ARM",2951776
