"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"755","18/04/2020",18,4,2020,57,0,"Azerbaijan","AZ","AZE",9942334
"756","17/04/2020",17,4,2020,30,2,"Azerbaijan","AZ","AZE",9942334
"757","16/04/2020",16,4,2020,56,0,"Azerbaijan","AZ","AZE",9942334
"758","15/04/2020",15,4,2020,49,1,"Azerbaijan","AZ","AZE",9942334
"759","14/04/2020",14,4,2020,50,1,"Azerbaijan","AZ","AZE",9942334
"760","13/04/2020",13,4,2020,40,0,"Azerbaijan","AZ","AZE",9942334
"761","12/04/2020",12,4,2020,67,1,"Azerbaijan","AZ","AZE",9942334
"762","11/04/2020",11,4,2020,65,1,"Azerbaijan","AZ","AZE",9942334
"763","10/04/2020",10,4,2020,104,1,"Azerbaijan","AZ","AZE",9942334
"764","09/04/2020",9,4,2020,105,0,"Azerbaijan","AZ","AZE",9942334
"765","08/04/2020",8,4,2020,76,1,"Azerbaijan","AZ","AZE",9942334
"766","07/04/2020",7,4,2020,57,0,"Azerbaijan","AZ","AZE",9942334
"767","06/04/2020",6,4,2020,63,2,"Azerbaijan","AZ","AZE",9942334
"768","05/04/2020",5,4,2020,78,0,"Azerbaijan","AZ","AZE",9942334
"769","04/04/2020",4,4,2020,43,0,"Azerbaijan","AZ","AZE",9942334
"770","03/04/2020",3,4,2020,41,0,"Azerbaijan","AZ","AZE",9942334
"771","02/04/2020",2,4,2020,61,0,"Azerbaijan","AZ","AZE",9942334
"772","01/04/2020",1,4,2020,25,1,"Azerbaijan","AZ","AZE",9942334
"773","31/03/2020",31,3,2020,64,0,"Azerbaijan","AZ","AZE",9942334
"774","30/03/2020",30,3,2020,27,0,"Azerbaijan","AZ","AZE",9942334
"775","29/03/2020",29,3,2020,17,1,"Azerbaijan","AZ","AZE",9942334
"776","28/03/2020",28,3,2020,43,0,"Azerbaijan","AZ","AZE",9942334
"777","27/03/2020",27,3,2020,29,1,"Azerbaijan","AZ","AZE",9942334
"778","26/03/2020",26,3,2020,6,1,"Azerbaijan","AZ","AZE",9942334
"779","25/03/2020",25,3,2020,15,0,"Azerbaijan","AZ","AZE",9942334
"780","24/03/2020",24,3,2020,7,0,"Azerbaijan","AZ","AZE",9942334
"781","23/03/2020",23,3,2020,12,0,"Azerbaijan","AZ","AZE",9942334
"782","22/03/2020",22,3,2020,9,0,"Azerbaijan","AZ","AZE",9942334
"783","21/03/2020",21,3,2020,0,1,"Azerbaijan","AZ","AZE",9942334
"784","20/03/2020",20,3,2020,10,0,"Azerbaijan","AZ","AZE",9942334
"785","19/03/2020",19,3,2020,6,0,"Azerbaijan","AZ","AZE",9942334
"786","18/03/2020",18,3,2020,9,0,"Azerbaijan","AZ","AZE",9942334
"787","17/03/2020",17,3,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"788","16/03/2020",16,3,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"789","15/03/2020",15,3,2020,6,0,"Azerbaijan","AZ","AZE",9942334
"790","13/03/2020",13,3,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"791","12/03/2020",12,3,2020,2,0,"Azerbaijan","AZ","AZE",9942334
"792","11/03/2020",11,3,2020,2,0,"Azerbaijan","AZ","AZE",9942334
"793","07/03/2020",7,3,2020,3,0,"Azerbaijan","AZ","AZE",9942334
"794","06/03/2020",6,3,2020,3,0,"Azerbaijan","AZ","AZE",9942334
"795","02/03/2020",2,3,2020,2,0,"Azerbaijan","AZ","AZE",9942334
"796","01/03/2020",1,3,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"797","29/02/2020",29,2,2020,1,0,"Azerbaijan","AZ","AZE",9942334
"798","28/02/2020",28,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"799","27/02/2020",27,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"800","26/02/2020",26,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"801","25/02/2020",25,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"802","24/02/2020",24,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"803","23/02/2020",23,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"804","22/02/2020",22,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"805","21/02/2020",21,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"806","20/02/2020",20,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"807","19/02/2020",19,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"808","18/02/2020",18,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"809","17/02/2020",17,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"810","16/02/2020",16,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"811","15/02/2020",15,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"812","14/02/2020",14,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"813","13/02/2020",13,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"814","12/02/2020",12,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"815","11/02/2020",11,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"816","10/02/2020",10,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"817","09/02/2020",9,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"818","08/02/2020",8,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"819","07/02/2020",7,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"820","06/02/2020",6,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"821","05/02/2020",5,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"822","04/02/2020",4,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"823","03/02/2020",3,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"824","02/02/2020",2,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"825","01/02/2020",1,2,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"826","31/01/2020",31,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"827","30/01/2020",30,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"828","29/01/2020",29,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"829","28/01/2020",28,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"830","27/01/2020",27,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"831","26/01/2020",26,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"832","25/01/2020",25,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"833","24/01/2020",24,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"834","23/01/2020",23,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"835","22/01/2020",22,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"836","21/01/2020",21,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"837","20/01/2020",20,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"838","19/01/2020",19,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"839","18/01/2020",18,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"840","17/01/2020",17,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"841","16/01/2020",16,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"842","15/01/2020",15,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"843","14/01/2020",14,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"844","13/01/2020",13,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"845","12/01/2020",12,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"846","11/01/2020",11,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"847","10/01/2020",10,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"848","09/01/2020",9,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"849","08/01/2020",8,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"850","07/01/2020",7,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"851","06/01/2020",6,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"852","05/01/2020",5,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"853","04/01/2020",4,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"854","03/01/2020",3,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"855","02/01/2020",2,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"856","01/01/2020",1,1,2020,0,0,"Azerbaijan","AZ","AZE",9942334
"857","31/12/2019",31,12,2019,0,0,"Azerbaijan","AZ","AZE",9942334
