"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"858","18/04/2020",18,4,2020,1,0,"Bahamas","BS","BHS",385640
"859","17/04/2020",17,4,2020,1,1,"Bahamas","BS","BHS",385640
"860","16/04/2020",16,4,2020,4,0,"Bahamas","BS","BHS",385640
"861","15/04/2020",15,4,2020,0,0,"Bahamas","BS","BHS",385640
"862","14/04/2020",14,4,2020,2,0,"Bahamas","BS","BHS",385640
"863","13/04/2020",13,4,2020,1,0,"Bahamas","BS","BHS",385640
"864","12/04/2020",12,4,2020,4,0,"Bahamas","BS","BHS",385640
"865","11/04/2020",11,4,2020,1,0,"Bahamas","BS","BHS",385640
"866","10/04/2020",10,4,2020,1,1,"Bahamas","BS","BHS",385640
"867","09/04/2020",9,4,2020,4,1,"Bahamas","BS","BHS",385640
"868","08/04/2020",8,4,2020,3,1,"Bahamas","BS","BHS",385640
"869","07/04/2020",7,4,2020,4,0,"Bahamas","BS","BHS",385640
"870","06/04/2020",6,4,2020,1,1,"Bahamas","BS","BHS",385640
"871","05/04/2020",5,4,2020,4,1,"Bahamas","BS","BHS",385640
"872","04/04/2020",4,4,2020,0,2,"Bahamas","BS","BHS",385640
"873","03/04/2020",3,4,2020,3,0,"Bahamas","BS","BHS",385640
"874","02/04/2020",2,4,2020,6,1,"Bahamas","BS","BHS",385640
"875","01/04/2020",1,4,2020,1,0,"Bahamas","BS","BHS",385640
"876","31/03/2020",31,3,2020,0,0,"Bahamas","BS","BHS",385640
"877","30/03/2020",30,3,2020,3,0,"Bahamas","BS","BHS",385640
"878","29/03/2020",29,3,2020,2,0,"Bahamas","BS","BHS",385640
"879","28/03/2020",28,3,2020,0,0,"Bahamas","BS","BHS",385640
"880","27/03/2020",27,3,2020,4,0,"Bahamas","BS","BHS",385640
"881","26/03/2020",26,3,2020,1,0,"Bahamas","BS","BHS",385640
"882","25/03/2020",25,3,2020,0,0,"Bahamas","BS","BHS",385640
"883","24/03/2020",24,3,2020,0,0,"Bahamas","BS","BHS",385640
"884","23/03/2020",23,3,2020,0,0,"Bahamas","BS","BHS",385640
"885","22/03/2020",22,3,2020,0,0,"Bahamas","BS","BHS",385640
"886","21/03/2020",21,3,2020,1,0,"Bahamas","BS","BHS",385640
"887","20/03/2020",20,3,2020,2,0,"Bahamas","BS","BHS",385640
"888","17/03/2020",17,3,2020,0,0,"Bahamas","BS","BHS",385640
"889","16/03/2020",16,3,2020,1,0,"Bahamas","BS","BHS",385640
