"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1278","18/04/2020",18,4,2020,0,0,"Belize","BZ","BLZ",383071
"1279","17/04/2020",17,4,2020,0,0,"Belize","BZ","BLZ",383071
"1280","16/04/2020",16,4,2020,0,0,"Belize","BZ","BLZ",383071
"1281","15/04/2020",15,4,2020,0,0,"Belize","BZ","BLZ",383071
"1282","14/04/2020",14,4,2020,4,0,"Belize","BZ","BLZ",383071
"1283","13/04/2020",13,4,2020,1,0,"Belize","BZ","BLZ",383071
"1284","12/04/2020",12,4,2020,3,0,"Belize","BZ","BLZ",383071
"1285","11/04/2020",11,4,2020,1,1,"Belize","BZ","BLZ",383071
"1286","10/04/2020",10,4,2020,1,0,"Belize","BZ","BLZ",383071
"1287","09/04/2020",9,4,2020,1,0,"Belize","BZ","BLZ",383071
"1288","08/04/2020",8,4,2020,0,0,"Belize","BZ","BLZ",383071
"1289","07/04/2020",7,4,2020,2,0,"Belize","BZ","BLZ",383071
"1290","06/04/2020",6,4,2020,1,1,"Belize","BZ","BLZ",383071
"1291","05/04/2020",5,4,2020,0,0,"Belize","BZ","BLZ",383071
"1292","04/04/2020",4,4,2020,1,0,"Belize","BZ","BLZ",383071
"1293","03/04/2020",3,4,2020,0,0,"Belize","BZ","BLZ",383071
"1294","02/04/2020",2,4,2020,0,0,"Belize","BZ","BLZ",383071
"1295","01/04/2020",1,4,2020,0,0,"Belize","BZ","BLZ",383071
"1296","31/03/2020",31,3,2020,1,0,"Belize","BZ","BLZ",383071
"1297","30/03/2020",30,3,2020,0,0,"Belize","BZ","BLZ",383071
"1298","29/03/2020",29,3,2020,0,0,"Belize","BZ","BLZ",383071
"1299","28/03/2020",28,3,2020,0,0,"Belize","BZ","BLZ",383071
"1300","27/03/2020",27,3,2020,0,0,"Belize","BZ","BLZ",383071
"1301","26/03/2020",26,3,2020,1,0,"Belize","BZ","BLZ",383071
"1302","25/03/2020",25,3,2020,0,0,"Belize","BZ","BLZ",383071
"1303","24/03/2020",24,3,2020,1,0,"Belize","BZ","BLZ",383071
