"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1440","18/04/2020",18,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1441","17/04/2020",17,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1442","16/04/2020",16,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1443","15/04/2020",15,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1444","14/04/2020",14,4,2020,1,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1445","13/04/2020",13,4,2020,1,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1446","12/04/2020",12,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1447","11/04/2020",11,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1448","10/04/2020",10,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1449","09/04/2020",9,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1450","08/04/2020",8,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1451","07/04/2020",7,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1452","06/04/2020",6,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1453","05/04/2020",5,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1454","04/04/2020",4,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1455","03/04/2020",3,4,2020,0,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
"1456","02/04/2020",2,4,2020,2,0,"Bonaire, Saint Eustatius and Saba","BQ","",NA
