"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1457","18/04/2020",18,4,2020,58,3,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1458","17/04/2020",17,4,2020,52,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1459","16/04/2020",16,4,2020,27,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1460","15/04/2020",15,4,2020,45,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1461","14/04/2020",14,4,2020,21,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1462","13/04/2020",13,4,2020,59,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1463","12/04/2020",12,4,2020,47,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1464","11/04/2020",11,4,2020,26,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1465","10/04/2020",10,4,2020,59,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1466","09/04/2020",9,4,2020,35,3,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1467","08/04/2020",8,4,2020,86,4,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1468","07/04/2020",7,4,2020,32,4,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1469","06/04/2020",6,4,2020,31,3,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1470","05/04/2020",5,4,2020,46,3,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1471","04/04/2020",4,4,2020,54,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1472","03/04/2020",3,4,2020,68,4,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1473","02/04/2020",2,4,2020,51,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1474","01/04/2020",1,4,2020,60,4,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1475","31/03/2020",31,3,2020,30,2,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1476","30/03/2020",30,3,2020,66,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1477","29/03/2020",29,3,2020,28,2,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1478","28/03/2020",28,3,2020,48,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1479","27/03/2020",27,3,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1480","26/03/2020",26,3,2020,19,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1481","25/03/2020",25,3,2020,33,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1482","24/03/2020",24,3,2020,4,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1483","23/03/2020",23,3,2020,33,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1484","22/03/2020",22,3,2020,48,1,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1485","21/03/2020",21,3,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1486","20/03/2020",20,3,2020,8,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1487","19/03/2020",19,3,2020,15,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1488","18/03/2020",18,3,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1489","17/03/2020",17,3,2020,3,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1490","16/03/2020",16,3,2020,15,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1491","13/03/2020",13,3,2020,0,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1492","12/03/2020",12,3,2020,1,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
"1493","06/03/2020",6,3,2020,2,0,"Bosnia_and_Herzegovina","BA","BIH",3323929
