"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1681","18/04/2020",18,4,2020,46,3,"Bulgaria","BG","BGR",7024216
"1682","17/04/2020",17,4,2020,53,2,"Bulgaria","BG","BGR",7024216
"1683","16/04/2020",16,4,2020,34,1,"Bulgaria","BG","BGR",7024216
"1684","15/04/2020",15,4,2020,28,3,"Bulgaria","BG","BGR",7024216
"1685","14/04/2020",14,4,2020,10,3,"Bulgaria","BG","BGR",7024216
"1686","13/04/2020",13,4,2020,14,1,"Bulgaria","BG","BGR",7024216
"1687","12/04/2020",12,4,2020,26,3,"Bulgaria","BG","BGR",7024216
"1688","11/04/2020",11,4,2020,11,1,"Bulgaria","BG","BGR",7024216
"1689","10/04/2020",10,4,2020,31,0,"Bulgaria","BG","BGR",7024216
"1690","09/04/2020",9,4,2020,16,1,"Bulgaria","BG","BGR",7024216
"1691","08/04/2020",8,4,2020,28,1,"Bulgaria","BG","BGR",7024216
"1692","07/04/2020",7,4,2020,18,2,"Bulgaria","BG","BGR",7024216
"1693","06/04/2020",6,4,2020,28,3,"Bulgaria","BG","BGR",7024216
"1694","05/04/2020",5,4,2020,18,3,"Bulgaria","BG","BGR",7024216
"1695","04/04/2020",4,4,2020,28,4,"Bulgaria","BG","BGR",7024216
"1696","03/04/2020",3,4,2020,35,0,"Bulgaria","BG","BGR",7024216
"1697","02/04/2020",2,4,2020,23,2,"Bulgaria","BG","BGR",7024216
"1698","01/04/2020",1,4,2020,40,0,"Bulgaria","BG","BGR",7024216
"1699","31/03/2020",31,3,2020,13,0,"Bulgaria","BG","BGR",7024216
"1700","30/03/2020",30,3,2020,15,1,"Bulgaria","BG","BGR",7024216
"1701","29/03/2020",29,3,2020,38,4,"Bulgaria","BG","BGR",7024216
"1702","28/03/2020",28,3,2020,29,0,"Bulgaria","BG","BGR",7024216
"1703","27/03/2020",27,3,2020,22,0,"Bulgaria","BG","BGR",7024216
"1704","26/03/2020",26,3,2020,22,0,"Bulgaria","BG","BGR",7024216
"1705","25/03/2020",25,3,2020,19,0,"Bulgaria","BG","BGR",7024216
"1706","24/03/2020",24,3,2020,16,0,"Bulgaria","BG","BGR",7024216
"1707","23/03/2020",23,3,2020,22,0,"Bulgaria","BG","BGR",7024216
"1708","22/03/2020",22,3,2020,36,0,"Bulgaria","BG","BGR",7024216
"1709","21/03/2020",21,3,2020,22,0,"Bulgaria","BG","BGR",7024216
"1710","20/03/2020",20,3,2020,13,1,"Bulgaria","BG","BGR",7024216
"1711","19/03/2020",19,3,2020,11,0,"Bulgaria","BG","BGR",7024216
"1712","18/03/2020",18,3,2020,19,0,"Bulgaria","BG","BGR",7024216
"1713","17/03/2020",17,3,2020,11,0,"Bulgaria","BG","BGR",7024216
"1714","16/03/2020",16,3,2020,10,0,"Bulgaria","BG","BGR",7024216
"1715","15/03/2020",15,3,2020,10,1,"Bulgaria","BG","BGR",7024216
"1716","14/03/2020",14,3,2020,8,0,"Bulgaria","BG","BGR",7024216
"1717","13/03/2020",13,3,2020,16,0,"Bulgaria","BG","BGR",7024216
"1718","12/03/2020",12,3,2020,3,1,"Bulgaria","BG","BGR",7024216
"1719","09/03/2020",9,3,2020,2,0,"Bulgaria","BG","BGR",7024216
"1720","08/03/2020",8,3,2020,2,0,"Bulgaria","BG","BGR",7024216
