"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1776","18/04/2020",18,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1777","17/04/2020",17,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1778","16/04/2020",16,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1779","15/04/2020",15,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1780","14/04/2020",14,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1781","13/04/2020",13,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1782","12/04/2020",12,4,2020,2,0,"Cambodia","KH","KHM",16249798
"1783","11/04/2020",11,4,2020,1,0,"Cambodia","KH","KHM",16249798
"1784","10/04/2020",10,4,2020,1,0,"Cambodia","KH","KHM",16249798
"1785","09/04/2020",9,4,2020,1,0,"Cambodia","KH","KHM",16249798
"1786","08/04/2020",8,4,2020,2,0,"Cambodia","KH","KHM",16249798
"1787","07/04/2020",7,4,2020,1,0,"Cambodia","KH","KHM",16249798
"1788","06/04/2020",6,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1789","05/04/2020",5,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1790","04/04/2020",4,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1791","03/04/2020",3,4,2020,4,0,"Cambodia","KH","KHM",16249798
"1792","02/04/2020",2,4,2020,1,0,"Cambodia","KH","KHM",16249798
"1793","01/04/2020",1,4,2020,0,0,"Cambodia","KH","KHM",16249798
"1794","31/03/2020",31,3,2020,2,0,"Cambodia","KH","KHM",16249798
"1795","30/03/2020",30,3,2020,4,0,"Cambodia","KH","KHM",16249798
"1796","29/03/2020",29,3,2020,1,0,"Cambodia","KH","KHM",16249798
"1797","28/03/2020",28,3,2020,4,0,"Cambodia","KH","KHM",16249798
"1798","27/03/2020",27,3,2020,2,0,"Cambodia","KH","KHM",16249798
"1799","26/03/2020",26,3,2020,5,0,"Cambodia","KH","KHM",16249798
"1800","25/03/2020",25,3,2020,4,0,"Cambodia","KH","KHM",16249798
"1801","24/03/2020",24,3,2020,1,0,"Cambodia","KH","KHM",16249798
"1802","23/03/2020",23,3,2020,35,0,"Cambodia","KH","KHM",16249798
"1803","22/03/2020",22,3,2020,4,0,"Cambodia","KH","KHM",16249798
"1804","21/03/2020",21,3,2020,23,0,"Cambodia","KH","KHM",16249798
"1805","20/03/2020",20,3,2020,0,0,"Cambodia","KH","KHM",16249798
"1806","19/03/2020",19,3,2020,0,0,"Cambodia","KH","KHM",16249798
"1807","18/03/2020",18,3,2020,0,0,"Cambodia","KH","KHM",16249798
"1808","17/03/2020",17,3,2020,12,0,"Cambodia","KH","KHM",16249798
"1809","16/03/2020",16,3,2020,5,0,"Cambodia","KH","KHM",16249798
"1810","15/03/2020",15,3,2020,2,0,"Cambodia","KH","KHM",16249798
"1811","13/03/2020",13,3,2020,2,0,"Cambodia","KH","KHM",16249798
"1812","12/03/2020",12,3,2020,1,0,"Cambodia","KH","KHM",16249798
"1813","08/03/2020",8,3,2020,1,0,"Cambodia","KH","KHM",16249798
"1814","02/03/2020",2,3,2020,0,0,"Cambodia","KH","KHM",16249798
"1815","01/03/2020",1,3,2020,0,0,"Cambodia","KH","KHM",16249798
"1816","29/02/2020",29,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1817","28/02/2020",28,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1818","27/02/2020",27,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1819","26/02/2020",26,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1820","25/02/2020",25,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1821","24/02/2020",24,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1822","23/02/2020",23,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1823","22/02/2020",22,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1824","21/02/2020",21,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1825","20/02/2020",20,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1826","19/02/2020",19,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1827","18/02/2020",18,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1828","17/02/2020",17,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1829","16/02/2020",16,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1830","15/02/2020",15,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1831","14/02/2020",14,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1832","13/02/2020",13,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1833","12/02/2020",12,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1834","11/02/2020",11,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1835","10/02/2020",10,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1836","09/02/2020",9,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1837","08/02/2020",8,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1838","07/02/2020",7,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1839","06/02/2020",6,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1840","05/02/2020",5,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1841","04/02/2020",4,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1842","03/02/2020",3,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1843","02/02/2020",2,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1844","01/02/2020",1,2,2020,0,0,"Cambodia","KH","KHM",16249798
"1845","31/01/2020",31,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1846","30/01/2020",30,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1847","29/01/2020",29,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1848","28/01/2020",28,1,2020,1,0,"Cambodia","KH","KHM",16249798
"1849","27/01/2020",27,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1850","26/01/2020",26,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1851","25/01/2020",25,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1852","24/01/2020",24,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1853","23/01/2020",23,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1854","22/01/2020",22,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1855","21/01/2020",21,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1856","20/01/2020",20,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1857","19/01/2020",19,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1858","18/01/2020",18,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1859","17/01/2020",17,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1860","16/01/2020",16,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1861","15/01/2020",15,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1862","14/01/2020",14,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1863","13/01/2020",13,1,2020,0,0,"Cambodia","KH","KHM",16249798
"1864","12/01/2020",12,1,2020,0,0,"Cambodia","KH","KHM",16249798
