"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2053","10/03/2020",10,3,2020,-9,1,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2054","02/03/2020",2,3,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2055","01/03/2020",1,3,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2056","29/02/2020",29,2,2020,0,2,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2057","28/02/2020",28,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2058","27/02/2020",27,2,2020,14,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2059","26/02/2020",26,2,2020,0,1,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2060","25/02/2020",25,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2061","24/02/2020",24,2,2020,57,1,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2062","23/02/2020",23,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2063","22/02/2020",22,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2064","21/02/2020",21,2,2020,13,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2065","20/02/2020",20,2,2020,79,2,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2066","19/02/2020",19,2,2020,88,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2067","18/02/2020",18,2,2020,99,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2068","17/02/2020",17,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2069","16/02/2020",16,2,2020,134,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2070","15/02/2020",15,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2071","14/02/2020",14,2,2020,47,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
"2072","13/02/2020",13,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668","N/A",3000
