"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2181","18/04/2020",18,4,2020,6,0,"Chad","TD","TCD",15477751
"2182","17/04/2020",17,4,2020,0,0,"Chad","TD","TCD",15477751
"2183","16/04/2020",16,4,2020,4,0,"Chad","TD","TCD",15477751
"2184","15/04/2020",15,4,2020,0,0,"Chad","TD","TCD",15477751
"2185","14/04/2020",14,4,2020,8,0,"Chad","TD","TCD",15477751
"2186","13/04/2020",13,4,2020,4,0,"Chad","TD","TCD",15477751
"2187","12/04/2020",12,4,2020,0,0,"Chad","TD","TCD",15477751
"2188","11/04/2020",11,4,2020,0,0,"Chad","TD","TCD",15477751
"2189","10/04/2020",10,4,2020,1,0,"Chad","TD","TCD",15477751
"2190","09/04/2020",9,4,2020,1,0,"Chad","TD","TCD",15477751
"2191","08/04/2020",8,4,2020,0,0,"Chad","TD","TCD",15477751
"2192","07/04/2020",7,4,2020,0,0,"Chad","TD","TCD",15477751
"2193","06/04/2020",6,4,2020,1,0,"Chad","TD","TCD",15477751
"2194","05/04/2020",5,4,2020,1,0,"Chad","TD","TCD",15477751
"2195","04/04/2020",4,4,2020,0,0,"Chad","TD","TCD",15477751
"2196","03/04/2020",3,4,2020,0,0,"Chad","TD","TCD",15477751
"2197","02/04/2020",2,4,2020,0,0,"Chad","TD","TCD",15477751
"2198","01/04/2020",1,4,2020,0,0,"Chad","TD","TCD",15477751
"2199","31/03/2020",31,3,2020,2,0,"Chad","TD","TCD",15477751
"2200","30/03/2020",30,3,2020,0,0,"Chad","TD","TCD",15477751
"2201","29/03/2020",29,3,2020,0,0,"Chad","TD","TCD",15477751
"2202","28/03/2020",28,3,2020,0,0,"Chad","TD","TCD",15477751
"2203","27/03/2020",27,3,2020,2,0,"Chad","TD","TCD",15477751
"2204","26/03/2020",26,3,2020,0,0,"Chad","TD","TCD",15477751
"2205","25/03/2020",25,3,2020,1,0,"Chad","TD","TCD",15477751
"2206","24/03/2020",24,3,2020,0,0,"Chad","TD","TCD",15477751
"2207","23/03/2020",23,3,2020,0,0,"Chad","TD","TCD",15477751
"2208","22/03/2020",22,3,2020,1,0,"Chad","TD","TCD",15477751
"2209","21/03/2020",21,3,2020,0,0,"Chad","TD","TCD",15477751
"2210","20/03/2020",20,3,2020,1,0,"Chad","TD","TCD",15477751
