"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2366","18/04/2020",18,4,2020,206,9,"Colombia","CO","COL",49648685
"2367","17/04/2020",17,4,2020,128,13,"Colombia","CO","COL",49648685
"2368","16/04/2020",16,4,2020,126,4,"Colombia","CO","COL",49648685
"2369","15/04/2020",15,4,2020,127,15,"Colombia","CO","COL",49648685
"2370","14/04/2020",14,4,2020,76,3,"Colombia","CO","COL",49648685
"2371","13/04/2020",13,4,2020,67,9,"Colombia","CO","COL",49648685
"2372","12/04/2020",12,4,2020,236,20,"Colombia","CO","COL",49648685
"2373","11/04/2020",11,4,2020,250,11,"Colombia","CO","COL",49648685
"2374","10/04/2020",10,4,2020,169,14,"Colombia","CO","COL",49648685
"2375","09/04/2020",9,4,2020,274,5,"Colombia","CO","COL",49648685
"2376","08/04/2020",8,4,2020,201,4,"Colombia","CO","COL",49648685
"2377","07/04/2020",7,4,2020,94,11,"Colombia","CO","COL",49648685
"2378","06/04/2020",6,4,2020,79,3,"Colombia","CO","COL",49648685
"2379","05/04/2020",5,4,2020,139,7,"Colombia","CO","COL",49648685
"2380","04/04/2020",4,4,2020,106,6,"Colombia","CO","COL",49648685
"2381","03/04/2020",3,4,2020,96,2,"Colombia","CO","COL",49648685
"2382","02/04/2020",2,4,2020,159,1,"Colombia","CO","COL",49648685
"2383","01/04/2020",1,4,2020,108,2,"Colombia","CO","COL",49648685
"2384","31/03/2020",31,3,2020,96,4,"Colombia","CO","COL",49648685
"2385","30/03/2020",30,3,2020,94,4,"Colombia","CO","COL",49648685
"2386","29/03/2020",29,3,2020,69,0,"Colombia","CO","COL",49648685
"2387","28/03/2020",28,3,2020,48,0,"Colombia","CO","COL",49648685
"2388","27/03/2020",27,3,2020,21,2,"Colombia","CO","COL",49648685
"2389","26/03/2020",26,3,2020,92,1,"Colombia","CO","COL",49648685
"2390","25/03/2020",25,3,2020,72,0,"Colombia","CO","COL",49648685
"2391","24/03/2020",24,3,2020,71,1,"Colombia","CO","COL",49648685
"2392","23/03/2020",23,3,2020,25,1,"Colombia","CO","COL",49648685
"2393","22/03/2020",22,3,2020,52,1,"Colombia","CO","COL",49648685
"2394","21/03/2020",21,3,2020,30,0,"Colombia","CO","COL",49648685
"2395","20/03/2020",20,3,2020,26,0,"Colombia","CO","COL",49648685
"2396","19/03/2020",19,3,2020,37,0,"Colombia","CO","COL",49648685
"2397","18/03/2020",18,3,2020,8,0,"Colombia","CO","COL",49648685
"2398","17/03/2020",17,3,2020,12,0,"Colombia","CO","COL",49648685
"2399","16/03/2020",16,3,2020,11,0,"Colombia","CO","COL",49648685
"2400","15/03/2020",15,3,2020,18,0,"Colombia","CO","COL",49648685
"2401","14/03/2020",14,3,2020,7,0,"Colombia","CO","COL",49648685
"2402","12/03/2020",12,3,2020,6,0,"Colombia","CO","COL",49648685
"2403","10/03/2020",10,3,2020,2,0,"Colombia","CO","COL",49648685
"2404","07/03/2020",7,3,2020,1,0,"Colombia","CO","COL",49648685
