"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2405","18/04/2020",18,4,2020,26,1,"Congo","CG","COG",5244363
"2406","17/04/2020",17,4,2020,0,0,"Congo","CG","COG",5244363
"2407","16/04/2020",16,4,2020,43,0,"Congo","CG","COG",5244363
"2408","15/04/2020",15,4,2020,4,0,"Congo","CG","COG",5244363
"2409","14/04/2020",14,4,2020,0,0,"Congo","CG","COG",5244363
"2410","13/04/2020",13,4,2020,10,0,"Congo","CG","COG",5244363
"2411","12/04/2020",12,4,2020,0,0,"Congo","CG","COG",5244363
"2412","11/04/2020",11,4,2020,0,0,"Congo","CG","COG",5244363
"2413","10/04/2020",10,4,2020,0,0,"Congo","CG","COG",5244363
"2414","09/04/2020",9,4,2020,15,0,"Congo","CG","COG",5244363
"2415","08/04/2020",8,4,2020,0,0,"Congo","CG","COG",5244363
"2416","07/04/2020",7,4,2020,0,0,"Congo","CG","COG",5244363
"2417","06/04/2020",6,4,2020,0,0,"Congo","CG","COG",5244363
"2418","05/04/2020",5,4,2020,4,2,"Congo","CG","COG",5244363
"2419","04/04/2020",4,4,2020,0,0,"Congo","CG","COG",5244363
"2420","03/04/2020",3,4,2020,19,1,"Congo","CG","COG",5244363
"2421","02/04/2020",2,4,2020,0,0,"Congo","CG","COG",5244363
"2422","01/04/2020",1,4,2020,3,2,"Congo","CG","COG",5244363
"2423","31/03/2020",31,3,2020,0,0,"Congo","CG","COG",5244363
"2424","30/03/2020",30,3,2020,0,0,"Congo","CG","COG",5244363
"2425","29/03/2020",29,3,2020,15,0,"Congo","CG","COG",5244363
"2426","28/03/2020",28,3,2020,0,0,"Congo","CG","COG",5244363
"2427","27/03/2020",27,3,2020,0,0,"Congo","CG","COG",5244363
"2428","26/03/2020",26,3,2020,0,0,"Congo","CG","COG",5244363
"2429","25/03/2020",25,3,2020,0,0,"Congo","CG","COG",5244363
"2430","24/03/2020",24,3,2020,0,0,"Congo","CG","COG",5244363
"2431","23/03/2020",23,3,2020,0,0,"Congo","CG","COG",5244363
"2432","22/03/2020",22,3,2020,1,0,"Congo","CG","COG",5244363
"2433","21/03/2020",21,3,2020,0,0,"Congo","CG","COG",5244363
"2434","20/03/2020",20,3,2020,0,0,"Congo","CG","COG",5244363
"2435","19/03/2020",19,3,2020,2,0,"Congo","CG","COG",5244363
"2436","18/03/2020",18,3,2020,0,0,"Congo","CG","COG",5244363
"2437","17/03/2020",17,3,2020,0,0,"Congo","CG","COG",5244363
"2438","16/03/2020",16,3,2020,1,0,"Congo","CG","COG",5244363
