"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2481","18/04/2020",18,4,2020,54,0,"Cote_dIvoire","CI","CIV",25069229
"2482","17/04/2020",17,4,2020,34,0,"Cote_dIvoire","CI","CIV",25069229
"2483","16/04/2020",16,4,2020,28,0,"Cote_dIvoire","CI","CIV",25069229
"2484","15/04/2020",15,4,2020,0,0,"Cote_dIvoire","CI","CIV",25069229
"2485","14/04/2020",14,4,2020,52,1,"Cote_dIvoire","CI","CIV",25069229
"2486","13/04/2020",13,4,2020,41,1,"Cote_dIvoire","CI","CIV",25069229
"2487","12/04/2020",12,4,2020,53,1,"Cote_dIvoire","CI","CIV",25069229
"2488","11/04/2020",11,4,2020,36,0,"Cote_dIvoire","CI","CIV",25069229
"2489","10/04/2020",10,4,2020,60,0,"Cote_dIvoire","CI","CIV",25069229
"2490","09/04/2020",9,4,2020,35,0,"Cote_dIvoire","CI","CIV",25069229
"2491","08/04/2020",8,4,2020,26,0,"Cote_dIvoire","CI","CIV",25069229
"2492","07/04/2020",7,4,2020,62,0,"Cote_dIvoire","CI","CIV",25069229
"2493","06/04/2020",6,4,2020,16,1,"Cote_dIvoire","CI","CIV",25069229
"2494","05/04/2020",5,4,2020,27,1,"Cote_dIvoire","CI","CIV",25069229
"2495","04/04/2020",4,4,2020,24,0,"Cote_dIvoire","CI","CIV",25069229
"2496","03/04/2020",3,4,2020,4,0,"Cote_dIvoire","CI","CIV",25069229
"2497","02/04/2020",2,4,2020,22,0,"Cote_dIvoire","CI","CIV",25069229
"2498","01/04/2020",1,4,2020,0,0,"Cote_dIvoire","CI","CIV",25069229
"2499","31/03/2020",31,3,2020,3,0,"Cote_dIvoire","CI","CIV",25069229
"2500","30/03/2020",30,3,2020,25,1,"Cote_dIvoire","CI","CIV",25069229
"2501","29/03/2020",29,3,2020,39,0,"Cote_dIvoire","CI","CIV",25069229
"2502","28/03/2020",28,3,2020,5,0,"Cote_dIvoire","CI","CIV",25069229
"2503","27/03/2020",27,3,2020,16,0,"Cote_dIvoire","CI","CIV",25069229
"2504","26/03/2020",26,3,2020,7,0,"Cote_dIvoire","CI","CIV",25069229
"2505","25/03/2020",25,3,2020,48,0,"Cote_dIvoire","CI","CIV",25069229
"2506","24/03/2020",24,3,2020,0,0,"Cote_dIvoire","CI","CIV",25069229
"2507","23/03/2020",23,3,2020,8,0,"Cote_dIvoire","CI","CIV",25069229
"2508","22/03/2020",22,3,2020,3,0,"Cote_dIvoire","CI","CIV",25069229
"2509","21/03/2020",21,3,2020,5,0,"Cote_dIvoire","CI","CIV",25069229
"2510","20/03/2020",20,3,2020,3,0,"Cote_dIvoire","CI","CIV",25069229
"2511","19/03/2020",19,3,2020,1,0,"Cote_dIvoire","CI","CIV",25069229
"2512","18/03/2020",18,3,2020,0,0,"Cote_dIvoire","CI","CIV",25069229
"2513","17/03/2020",17,3,2020,1,0,"Cote_dIvoire","CI","CIV",25069229
"2514","16/03/2020",16,3,2020,0,0,"Cote_dIvoire","CI","CIV",25069229
"2515","15/03/2020",15,3,2020,3,0,"Cote_dIvoire","CI","CIV",25069229
"2516","12/03/2020",12,3,2020,1,0,"Cote_dIvoire","CI","CIV",25069229
