"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2833","18/04/2020",18,4,2020,20,2,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2834","17/04/2020",17,4,2020,20,1,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2835","16/04/2020",16,4,2020,13,1,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2836","15/04/2020",15,4,2020,19,1,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2837","14/04/2020",14,4,2020,1,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2838","13/04/2020",13,4,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2839","12/04/2020",12,4,2020,11,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2840","11/04/2020",11,4,2020,8,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2841","10/04/2020",10,4,2020,32,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2842","09/04/2020",9,4,2020,3,2,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2843","08/04/2020",8,4,2020,19,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2844","07/04/2020",7,4,2020,7,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2845","06/04/2020",6,4,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2846","05/04/2020",5,4,2020,20,5,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2847","04/04/2020",4,4,2020,11,2,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2848","03/04/2020",3,4,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2849","02/04/2020",2,4,2020,25,3,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2850","01/04/2020",1,4,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2851","31/03/2020",31,3,2020,17,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2852","30/03/2020",30,3,2020,23,2,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2853","29/03/2020",29,3,2020,0,2,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2854","28/03/2020",28,3,2020,4,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2855","27/03/2020",27,3,2020,9,1,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2856","26/03/2020",26,3,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2857","25/03/2020",25,3,2020,19,1,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2858","24/03/2020",24,3,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2859","23/03/2020",23,3,2020,3,1,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2860","22/03/2020",22,3,2020,9,1,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2861","21/03/2020",21,3,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2862","20/03/2020",20,3,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2863","19/03/2020",19,3,2020,11,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2864","18/03/2020",18,3,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2865","17/03/2020",17,3,2020,1,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2866","16/03/2020",16,3,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2867","15/03/2020",15,3,2020,0,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2868","14/03/2020",14,3,2020,1,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
"2869","11/03/2020",11,3,2020,1,0,"Democratic_Republic_of_the_Congo","CD","COD",84068091
