"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3011","18/04/2020",18,4,2020,0,0,"Dominica","DM","DMA",71625
"3012","17/04/2020",17,4,2020,0,0,"Dominica","DM","DMA",71625
"3013","16/04/2020",16,4,2020,0,0,"Dominica","DM","DMA",71625
"3014","15/04/2020",15,4,2020,0,0,"Dominica","DM","DMA",71625
"3015","14/04/2020",14,4,2020,0,0,"Dominica","DM","DMA",71625
"3016","13/04/2020",13,4,2020,0,0,"Dominica","DM","DMA",71625
"3017","12/04/2020",12,4,2020,0,0,"Dominica","DM","DMA",71625
"3018","11/04/2020",11,4,2020,0,0,"Dominica","DM","DMA",71625
"3019","10/04/2020",10,4,2020,1,0,"Dominica","DM","DMA",71625
"3020","09/04/2020",9,4,2020,0,0,"Dominica","DM","DMA",71625
"3021","08/04/2020",8,4,2020,0,0,"Dominica","DM","DMA",71625
"3022","07/04/2020",7,4,2020,1,0,"Dominica","DM","DMA",71625
"3023","06/04/2020",6,4,2020,0,0,"Dominica","DM","DMA",71625
"3024","05/04/2020",5,4,2020,0,0,"Dominica","DM","DMA",71625
"3025","04/04/2020",4,4,2020,2,0,"Dominica","DM","DMA",71625
"3026","03/04/2020",3,4,2020,0,0,"Dominica","DM","DMA",71625
"3027","02/04/2020",2,4,2020,1,0,"Dominica","DM","DMA",71625
"3028","01/04/2020",1,4,2020,0,0,"Dominica","DM","DMA",71625
"3029","31/03/2020",31,3,2020,0,0,"Dominica","DM","DMA",71625
"3030","30/03/2020",30,3,2020,0,0,"Dominica","DM","DMA",71625
"3031","29/03/2020",29,3,2020,0,0,"Dominica","DM","DMA",71625
"3032","28/03/2020",28,3,2020,0,0,"Dominica","DM","DMA",71625
"3033","27/03/2020",27,3,2020,4,0,"Dominica","DM","DMA",71625
"3034","26/03/2020",26,3,2020,5,0,"Dominica","DM","DMA",71625
"3035","25/03/2020",25,3,2020,1,0,"Dominica","DM","DMA",71625
"3036","24/03/2020",24,3,2020,0,0,"Dominica","DM","DMA",71625
"3037","23/03/2020",23,3,2020,1,0,"Dominica","DM","DMA",71625
