"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3139","18/04/2020",18,4,2020,225,18,"Ecuador","EC","ECU",17084357
"3140","17/04/2020",17,4,2020,367,15,"Ecuador","EC","ECU",17084357
"3141","16/04/2020",16,4,2020,255,33,"Ecuador","EC","ECU",17084357
"3142","15/04/2020",15,4,2020,74,0,"Ecuador","EC","ECU",17084357
"3143","14/04/2020",14,4,2020,63,22,"Ecuador","EC","ECU",17084357
"3144","13/04/2020",13,4,2020,209,18,"Ecuador","EC","ECU",17084357
"3145","12/04/2020",12,4,2020,96,18,"Ecuador","EC","ECU",17084357
"3146","11/04/2020",11,4,2020,2196,25,"Ecuador","EC","ECU",17084357
"3147","10/04/2020",10,4,2020,515,30,"Ecuador","EC","ECU",17084357
"3148","09/04/2020",9,4,2020,455,22,"Ecuador","EC","ECU",17084357
"3149","08/04/2020",8,4,2020,248,29,"Ecuador","EC","ECU",17084357
"3150","07/04/2020",7,4,2020,101,11,"Ecuador","EC","ECU",17084357
"3151","06/04/2020",6,4,2020,181,8,"Ecuador","EC","ECU",17084357
"3152","05/04/2020",5,4,2020,97,27,"Ecuador","EC","ECU",17084357
"3153","04/04/2020",4,4,2020,205,25,"Ecuador","EC","ECU",17084357
"3154","03/04/2020",3,4,2020,405,0,"Ecuador","EC","ECU",17084357
"3155","02/04/2020",2,4,2020,456,41,"Ecuador","EC","ECU",17084357
"3156","01/04/2020",1,4,2020,336,17,"Ecuador","EC","ECU",17084357
"3157","31/03/2020",31,3,2020,76,4,"Ecuador","EC","ECU",17084357
"3158","30/03/2020",30,3,2020,55,10,"Ecuador","EC","ECU",17084357
"3159","29/03/2020",29,3,2020,208,7,"Ecuador","EC","ECU",17084357
"3160","28/03/2020",28,3,2020,224,7,"Ecuador","EC","ECU",17084357
"3161","27/03/2020",27,3,2020,192,5,"Ecuador","EC","ECU",17084357
"3162","26/03/2020",26,3,2020,129,2,"Ecuador","EC","ECU",17084357
"3163","25/03/2020",25,3,2020,101,9,"Ecuador","EC","ECU",17084357
"3164","24/03/2020",24,3,2020,192,4,"Ecuador","EC","ECU",17084357
"3165","23/03/2020",23,3,2020,257,7,"Ecuador","EC","ECU",17084357
"3166","22/03/2020",22,3,2020,106,0,"Ecuador","EC","ECU",17084357
"3167","21/03/2020",21,3,2020,227,4,"Ecuador","EC","ECU",17084357
"3168","20/03/2020",20,3,2020,31,0,"Ecuador","EC","ECU",17084357
"3169","19/03/2020",19,3,2020,57,1,"Ecuador","EC","ECU",17084357
"3170","18/03/2020",18,3,2020,53,0,"Ecuador","EC","ECU",17084357
"3171","17/03/2020",17,3,2020,21,0,"Ecuador","EC","ECU",17084357
"3172","16/03/2020",16,3,2020,9,0,"Ecuador","EC","ECU",17084357
"3173","15/03/2020",15,3,2020,5,1,"Ecuador","EC","ECU",17084357
"3174","14/03/2020",14,3,2020,6,1,"Ecuador","EC","ECU",17084357
"3175","11/03/2020",11,3,2020,2,0,"Ecuador","EC","ECU",17084357
"3176","10/03/2020",10,3,2020,1,0,"Ecuador","EC","ECU",17084357
"3177","09/03/2020",9,3,2020,1,0,"Ecuador","EC","ECU",17084357
"3178","06/03/2020",6,3,2020,3,0,"Ecuador","EC","ECU",17084357
"3179","05/03/2020",5,3,2020,3,0,"Ecuador","EC","ECU",17084357
"3180","03/03/2020",3,3,2020,1,0,"Ecuador","EC","ECU",17084357
"3181","02/03/2020",2,3,2020,5,0,"Ecuador","EC","ECU",17084357
"3182","01/03/2020",1,3,2020,1,0,"Ecuador","EC","ECU",17084357
"3183","29/02/2020",29,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3184","28/02/2020",28,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3185","27/02/2020",27,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3186","26/02/2020",26,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3187","25/02/2020",25,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3188","24/02/2020",24,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3189","23/02/2020",23,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3190","22/02/2020",22,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3191","21/02/2020",21,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3192","20/02/2020",20,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3193","19/02/2020",19,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3194","18/02/2020",18,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3195","17/02/2020",17,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3196","16/02/2020",16,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3197","15/02/2020",15,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3198","14/02/2020",14,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3199","13/02/2020",13,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3200","12/02/2020",12,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3201","11/02/2020",11,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3202","10/02/2020",10,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3203","09/02/2020",9,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3204","08/02/2020",8,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3205","07/02/2020",7,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3206","06/02/2020",6,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3207","05/02/2020",5,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3208","04/02/2020",4,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3209","03/02/2020",3,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3210","02/02/2020",2,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3211","01/02/2020",1,2,2020,0,0,"Ecuador","EC","ECU",17084357
"3212","31/01/2020",31,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3213","30/01/2020",30,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3214","29/01/2020",29,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3215","28/01/2020",28,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3216","27/01/2020",27,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3217","26/01/2020",26,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3218","25/01/2020",25,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3219","24/01/2020",24,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3220","23/01/2020",23,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3221","22/01/2020",22,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3222","21/01/2020",21,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3223","20/01/2020",20,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3224","19/01/2020",19,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3225","18/01/2020",18,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3226","17/01/2020",17,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3227","16/01/2020",16,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3228","15/01/2020",15,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3229","14/01/2020",14,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3230","13/01/2020",13,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3231","12/01/2020",12,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3232","11/01/2020",11,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3233","10/01/2020",10,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3234","09/01/2020",9,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3235","08/01/2020",8,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3236","07/01/2020",7,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3237","06/01/2020",6,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3238","05/01/2020",5,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3239","04/01/2020",4,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3240","03/01/2020",3,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3241","02/01/2020",2,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3242","01/01/2020",1,1,2020,0,0,"Ecuador","EC","ECU",17084357
"3243","31/12/2019",31,12,2019,0,0,"Ecuador","EC","ECU",17084357
