"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3416","18/04/2020",18,4,2020,0,0,"Eritrea","ER","ERI",NA
"3417","17/04/2020",17,4,2020,0,0,"Eritrea","ER","ERI",NA
"3418","16/04/2020",16,4,2020,0,0,"Eritrea","ER","ERI",NA
"3419","15/04/2020",15,4,2020,1,0,"Eritrea","ER","ERI",NA
"3420","14/04/2020",14,4,2020,0,0,"Eritrea","ER","ERI",NA
"3421","13/04/2020",13,4,2020,0,0,"Eritrea","ER","ERI",NA
"3422","12/04/2020",12,4,2020,0,0,"Eritrea","ER","ERI",NA
"3423","11/04/2020",11,4,2020,1,0,"Eritrea","ER","ERI",NA
"3424","10/04/2020",10,4,2020,0,0,"Eritrea","ER","ERI",NA
"3425","09/04/2020",9,4,2020,2,0,"Eritrea","ER","ERI",NA
"3426","08/04/2020",8,4,2020,0,0,"Eritrea","ER","ERI",NA
"3427","07/04/2020",7,4,2020,2,0,"Eritrea","ER","ERI",NA
"3428","06/04/2020",6,4,2020,0,0,"Eritrea","ER","ERI",NA
"3429","05/04/2020",5,4,2020,7,0,"Eritrea","ER","ERI",NA
"3430","04/04/2020",4,4,2020,0,0,"Eritrea","ER","ERI",NA
"3431","03/04/2020",3,4,2020,4,0,"Eritrea","ER","ERI",NA
"3432","02/04/2020",2,4,2020,3,0,"Eritrea","ER","ERI",NA
"3433","01/04/2020",1,4,2020,3,0,"Eritrea","ER","ERI",NA
"3434","31/03/2020",31,3,2020,0,0,"Eritrea","ER","ERI",NA
"3435","30/03/2020",30,3,2020,6,0,"Eritrea","ER","ERI",NA
"3436","29/03/2020",29,3,2020,0,0,"Eritrea","ER","ERI",NA
"3437","28/03/2020",28,3,2020,0,0,"Eritrea","ER","ERI",NA
"3438","27/03/2020",27,3,2020,2,0,"Eritrea","ER","ERI",NA
"3439","26/03/2020",26,3,2020,3,0,"Eritrea","ER","ERI",NA
"3440","25/03/2020",25,3,2020,0,0,"Eritrea","ER","ERI",NA
"3441","24/03/2020",24,3,2020,0,0,"Eritrea","ER","ERI",NA
"3442","23/03/2020",23,3,2020,0,0,"Eritrea","ER","ERI",NA
"3443","22/03/2020",22,3,2020,1,0,"Eritrea","ER","ERI",NA
