"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3549","18/04/2020",18,4,2020,3,1,"Eswatini","SZ","SWZ",1367000
"3550","17/04/2020",17,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3551","16/04/2020",16,4,2020,1,0,"Eswatini","SZ","SWZ",1367000
"3552","15/04/2020",15,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3553","14/04/2020",14,4,2020,1,0,"Eswatini","SZ","SWZ",1367000
"3554","13/04/2020",13,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3555","12/04/2020",12,4,2020,2,0,"Eswatini","SZ","SWZ",1367000
"3556","11/04/2020",11,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3557","10/04/2020",10,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3558","09/04/2020",9,4,2020,2,0,"Eswatini","SZ","SWZ",1367000
"3559","08/04/2020",8,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3560","07/04/2020",7,4,2020,1,0,"Eswatini","SZ","SWZ",1367000
"3561","06/04/2020",6,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3562","05/04/2020",5,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3563","04/04/2020",4,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3564","03/04/2020",3,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3565","02/04/2020",2,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3566","01/04/2020",1,4,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3567","31/03/2020",31,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3568","30/03/2020",30,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3569","29/03/2020",29,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3570","28/03/2020",28,3,2020,3,0,"Eswatini","SZ","SWZ",1367000
"3571","27/03/2020",27,3,2020,2,0,"Eswatini","SZ","SWZ",1367000
"3572","26/03/2020",26,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3573","25/03/2020",25,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3574","24/03/2020",24,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3575","23/03/2020",23,3,2020,3,0,"Eswatini","SZ","SWZ",1367000
"3576","22/03/2020",22,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3577","21/03/2020",21,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3578","20/03/2020",20,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3579","19/03/2020",19,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3580","18/03/2020",18,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3581","17/03/2020",17,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3582","16/03/2020",16,3,2020,0,0,"Eswatini","SZ","SWZ",1367000
"3583","15/03/2020",15,3,2020,1,0,"Eswatini","SZ","SWZ",1367000
