"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3620","18/04/2020",18,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3621","17/04/2020",17,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3622","16/04/2020",16,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3623","15/04/2020",15,4,2020,6,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3624","14/04/2020",14,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3625","13/04/2020",13,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3626","12/04/2020",12,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3627","11/04/2020",11,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3628","10/04/2020",10,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3629","09/04/2020",9,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3630","08/04/2020",8,4,2020,3,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3631","07/04/2020",7,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3632","06/04/2020",6,4,2020,1,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3633","05/04/2020",5,4,2020,0,0,"Falkland_Islands_(Malvinas)","FK","",NA
"3634","04/04/2020",4,4,2020,1,0,"Falkland_Islands_(Malvinas)","FK","",NA
