"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3665","18/04/2020",18,4,2020,0,0,"Fiji","FJ","FJI",883483
"3666","17/04/2020",17,4,2020,1,0,"Fiji","FJ","FJI",883483
"3667","16/04/2020",16,4,2020,0,0,"Fiji","FJ","FJI",883483
"3668","15/04/2020",15,4,2020,0,0,"Fiji","FJ","FJI",883483
"3669","14/04/2020",14,4,2020,0,0,"Fiji","FJ","FJI",883483
"3670","13/04/2020",13,4,2020,0,0,"Fiji","FJ","FJI",883483
"3671","12/04/2020",12,4,2020,0,0,"Fiji","FJ","FJI",883483
"3672","11/04/2020",11,4,2020,1,0,"Fiji","FJ","FJI",883483
"3673","10/04/2020",10,4,2020,0,0,"Fiji","FJ","FJI",883483
"3674","09/04/2020",9,4,2020,0,0,"Fiji","FJ","FJI",883483
"3675","08/04/2020",8,4,2020,1,0,"Fiji","FJ","FJI",883483
"3676","07/04/2020",7,4,2020,0,0,"Fiji","FJ","FJI",883483
"3677","06/04/2020",6,4,2020,2,0,"Fiji","FJ","FJI",883483
"3678","05/04/2020",5,4,2020,0,0,"Fiji","FJ","FJI",883483
"3679","04/04/2020",4,4,2020,5,0,"Fiji","FJ","FJI",883483
"3680","03/04/2020",3,4,2020,0,0,"Fiji","FJ","FJI",883483
"3681","02/04/2020",2,4,2020,2,0,"Fiji","FJ","FJI",883483
"3682","01/04/2020",1,4,2020,0,0,"Fiji","FJ","FJI",883483
"3683","31/03/2020",31,3,2020,0,0,"Fiji","FJ","FJI",883483
"3684","30/03/2020",30,3,2020,0,0,"Fiji","FJ","FJI",883483
"3685","29/03/2020",29,3,2020,0,0,"Fiji","FJ","FJI",883483
"3686","28/03/2020",28,3,2020,0,0,"Fiji","FJ","FJI",883483
"3687","27/03/2020",27,3,2020,0,0,"Fiji","FJ","FJI",883483
"3688","26/03/2020",26,3,2020,0,0,"Fiji","FJ","FJI",883483
"3689","25/03/2020",25,3,2020,1,0,"Fiji","FJ","FJI",883483
"3690","24/03/2020",24,3,2020,1,0,"Fiji","FJ","FJI",883483
"3691","23/03/2020",23,3,2020,1,0,"Fiji","FJ","FJI",883483
"3692","22/03/2020",22,3,2020,1,0,"Fiji","FJ","FJI",883483
"3693","21/03/2020",21,3,2020,0,0,"Fiji","FJ","FJI",883483
"3694","20/03/2020",20,3,2020,1,0,"Fiji","FJ","FJI",883483
