"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3695","18/04/2020",18,4,2020,120,7,"Finland","FI","FIN",5518050
"3696","17/04/2020",17,4,2020,132,3,"Finland","FI","FIN",5518050
"3697","16/04/2020",16,4,2020,76,8,"Finland","FI","FIN",5518050
"3698","15/04/2020",15,4,2020,97,5,"Finland","FI","FIN",5518050
"3699","14/04/2020",14,4,2020,90,3,"Finland","FI","FIN",5518050
"3700","13/04/2020",13,4,2020,69,7,"Finland","FI","FIN",5518050
"3701","12/04/2020",12,4,2020,136,1,"Finland","FI","FIN",5518050
"3702","11/04/2020",11,4,2020,164,6,"Finland","FI","FIN",5518050
"3703","10/04/2020",10,4,2020,118,2,"Finland","FI","FIN",5518050
"3704","09/04/2020",9,4,2020,179,6,"Finland","FI","FIN",5518050
"3705","08/04/2020",8,4,2020,132,7,"Finland","FI","FIN",5518050
"3706","07/04/2020",7,4,2020,249,0,"Finland","FI","FIN",5518050
"3707","06/04/2020",6,4,2020,45,2,"Finland","FI","FIN",5518050
"3708","05/04/2020",5,4,2020,267,5,"Finland","FI","FIN",5518050
"3709","04/04/2020",4,4,2020,97,1,"Finland","FI","FIN",5518050
"3710","03/04/2020",3,4,2020,72,2,"Finland","FI","FIN",5518050
"3711","02/04/2020",2,4,2020,62,0,"Finland","FI","FIN",5518050
"3712","01/04/2020",1,4,2020,71,4,"Finland","FI","FIN",5518050
"3713","31/03/2020",31,3,2020,95,2,"Finland","FI","FIN",5518050
"3714","30/03/2020",30,3,2020,0,2,"Finland","FI","FIN",5518050
"3715","29/03/2020",29,3,2020,193,2,"Finland","FI","FIN",5518050
"3716","28/03/2020",28,3,2020,67,3,"Finland","FI","FIN",5518050
"3717","27/03/2020",27,3,2020,78,1,"Finland","FI","FIN",5518050
"3718","26/03/2020",26,3,2020,88,2,"Finland","FI","FIN",5518050
"3719","25/03/2020",25,3,2020,92,0,"Finland","FI","FIN",5518050
"3720","24/03/2020",24,3,2020,74,0,"Finland","FI","FIN",5518050
"3721","23/03/2020",23,3,2020,105,0,"Finland","FI","FIN",5518050
"3722","22/03/2020",22,3,2020,71,1,"Finland","FI","FIN",5518050
"3723","21/03/2020",21,3,2020,50,0,"Finland","FI","FIN",5518050
"3724","20/03/2020",20,3,2020,31,0,"Finland","FI","FIN",5518050
"3725","19/03/2020",19,3,2020,50,0,"Finland","FI","FIN",5518050
"3726","18/03/2020",18,3,2020,47,0,"Finland","FI","FIN",5518050
"3727","17/03/2020",17,3,2020,5,0,"Finland","FI","FIN",5518050
"3728","16/03/2020",16,3,2020,57,0,"Finland","FI","FIN",5518050
"3729","15/03/2020",15,3,2020,27,0,"Finland","FI","FIN",5518050
"3730","14/03/2020",14,3,2020,28,0,"Finland","FI","FIN",5518050
"3731","13/03/2020",13,3,2020,96,0,"Finland","FI","FIN",5518050
"3732","12/03/2020",12,3,2020,19,0,"Finland","FI","FIN",5518050
"3733","10/03/2020",10,3,2020,10,0,"Finland","FI","FIN",5518050
"3734","09/03/2020",9,3,2020,11,0,"Finland","FI","FIN",5518050
"3735","07/03/2020",7,3,2020,7,0,"Finland","FI","FIN",5518050
"3736","06/03/2020",6,3,2020,5,0,"Finland","FI","FIN",5518050
