"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3978","18/04/2020",18,4,2020,0,0,"Gambia","GM","GMB",2280102
"3979","17/04/2020",17,4,2020,0,0,"Gambia","GM","GMB",2280102
"3980","16/04/2020",16,4,2020,0,0,"Gambia","GM","GMB",2280102
"3981","15/04/2020",15,4,2020,0,0,"Gambia","GM","GMB",2280102
"3982","14/04/2020",14,4,2020,0,0,"Gambia","GM","GMB",2280102
"3983","13/04/2020",13,4,2020,0,0,"Gambia","GM","GMB",2280102
"3984","12/04/2020",12,4,2020,5,0,"Gambia","GM","GMB",2280102
"3985","11/04/2020",11,4,2020,0,0,"Gambia","GM","GMB",2280102
"3986","10/04/2020",10,4,2020,0,0,"Gambia","GM","GMB",2280102
"3987","09/04/2020",9,4,2020,0,0,"Gambia","GM","GMB",2280102
"3988","08/04/2020",8,4,2020,0,0,"Gambia","GM","GMB",2280102
"3989","07/04/2020",7,4,2020,0,0,"Gambia","GM","GMB",2280102
"3990","06/04/2020",6,4,2020,0,0,"Gambia","GM","GMB",2280102
"3991","05/04/2020",5,4,2020,0,0,"Gambia","GM","GMB",2280102
"3992","04/04/2020",4,4,2020,0,0,"Gambia","GM","GMB",2280102
"3993","03/04/2020",3,4,2020,0,0,"Gambia","GM","GMB",2280102
"3994","02/04/2020",2,4,2020,0,0,"Gambia","GM","GMB",2280102
"3995","01/04/2020",1,4,2020,0,0,"Gambia","GM","GMB",2280102
"3996","31/03/2020",31,3,2020,1,0,"Gambia","GM","GMB",2280102
"3997","30/03/2020",30,3,2020,0,0,"Gambia","GM","GMB",2280102
"3998","29/03/2020",29,3,2020,0,0,"Gambia","GM","GMB",2280102
"3999","28/03/2020",28,3,2020,0,0,"Gambia","GM","GMB",2280102
"4000","27/03/2020",27,3,2020,0,0,"Gambia","GM","GMB",2280102
"4001","26/03/2020",26,3,2020,0,0,"Gambia","GM","GMB",2280102
"4002","25/03/2020",25,3,2020,1,0,"Gambia","GM","GMB",2280102
"4003","24/03/2020",24,3,2020,1,1,"Gambia","GM","GMB",2280102
"4004","23/03/2020",23,3,2020,0,0,"Gambia","GM","GMB",2280102
"4005","22/03/2020",22,3,2020,0,0,"Gambia","GM","GMB",2280102
"4006","21/03/2020",21,3,2020,0,0,"Gambia","GM","GMB",2280102
"4007","20/03/2020",20,3,2020,0,0,"Gambia","GM","GMB",2280102
"4008","19/03/2020",19,3,2020,0,0,"Gambia","GM","GMB",2280102
"4009","18/03/2020",18,3,2020,1,0,"Gambia","GM","GMB",2280102
