"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4401","18/04/2020",18,4,2020,0,0,"Greenland","GL","GRL",56025
"4402","17/04/2020",17,4,2020,0,0,"Greenland","GL","GRL",56025
"4403","16/04/2020",16,4,2020,0,0,"Greenland","GL","GRL",56025
"4404","15/04/2020",15,4,2020,0,0,"Greenland","GL","GRL",56025
"4405","14/04/2020",14,4,2020,0,0,"Greenland","GL","GRL",56025
"4406","13/04/2020",13,4,2020,0,0,"Greenland","GL","GRL",56025
"4407","12/04/2020",12,4,2020,0,0,"Greenland","GL","GRL",56025
"4408","11/04/2020",11,4,2020,0,0,"Greenland","GL","GRL",56025
"4409","10/04/2020",10,4,2020,0,0,"Greenland","GL","GRL",56025
"4410","09/04/2020",9,4,2020,0,0,"Greenland","GL","GRL",56025
"4411","08/04/2020",8,4,2020,0,0,"Greenland","GL","GRL",56025
"4412","07/04/2020",7,4,2020,0,0,"Greenland","GL","GRL",56025
"4413","06/04/2020",6,4,2020,1,0,"Greenland","GL","GRL",56025
"4414","05/04/2020",5,4,2020,0,0,"Greenland","GL","GRL",56025
"4415","04/04/2020",4,4,2020,0,0,"Greenland","GL","GRL",56025
"4416","03/04/2020",3,4,2020,0,0,"Greenland","GL","GRL",56025
"4417","02/04/2020",2,4,2020,0,0,"Greenland","GL","GRL",56025
"4418","01/04/2020",1,4,2020,0,0,"Greenland","GL","GRL",56025
"4419","31/03/2020",31,3,2020,0,0,"Greenland","GL","GRL",56025
"4420","30/03/2020",30,3,2020,0,0,"Greenland","GL","GRL",56025
"4421","29/03/2020",29,3,2020,1,0,"Greenland","GL","GRL",56025
"4422","28/03/2020",28,3,2020,3,0,"Greenland","GL","GRL",56025
"4423","27/03/2020",27,3,2020,1,0,"Greenland","GL","GRL",56025
"4424","26/03/2020",26,3,2020,1,0,"Greenland","GL","GRL",56025
"4425","25/03/2020",25,3,2020,0,0,"Greenland","GL","GRL",56025
"4426","24/03/2020",24,3,2020,2,0,"Greenland","GL","GRL",56025
"4427","23/03/2020",23,3,2020,0,0,"Greenland","GL","GRL",56025
"4428","22/03/2020",22,3,2020,0,0,"Greenland","GL","GRL",56025
"4429","21/03/2020",21,3,2020,0,0,"Greenland","GL","GRL",56025
"4430","20/03/2020",20,3,2020,2,0,"Greenland","GL","GRL",56025
