"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4612","18/04/2020",18,4,2020,6,0,"Guyana","GY","GUY",779004
"4613","17/04/2020",17,4,2020,2,0,"Guyana","GY","GUY",779004
"4614","16/04/2020",16,4,2020,7,0,"Guyana","GY","GUY",779004
"4615","15/04/2020",15,4,2020,1,0,"Guyana","GY","GUY",779004
"4616","14/04/2020",14,4,2020,2,0,"Guyana","GY","GUY",779004
"4617","13/04/2020",13,4,2020,0,0,"Guyana","GY","GUY",779004
"4618","12/04/2020",12,4,2020,5,0,"Guyana","GY","GUY",779004
"4619","11/04/2020",11,4,2020,3,0,"Guyana","GY","GUY",779004
"4620","10/04/2020",10,4,2020,0,0,"Guyana","GY","GUY",779004
"4621","09/04/2020",9,4,2020,4,1,"Guyana","GY","GUY",779004
"4622","08/04/2020",8,4,2020,2,0,"Guyana","GY","GUY",779004
"4623","07/04/2020",7,4,2020,2,1,"Guyana","GY","GUY",779004
"4624","06/04/2020",6,4,2020,5,0,"Guyana","GY","GUY",779004
"4625","05/04/2020",5,4,2020,1,0,"Guyana","GY","GUY",779004
"4626","04/04/2020",4,4,2020,4,0,"Guyana","GY","GUY",779004
"4627","03/04/2020",3,4,2020,0,0,"Guyana","GY","GUY",779004
"4628","02/04/2020",2,4,2020,7,2,"Guyana","GY","GUY",779004
"4629","01/04/2020",1,4,2020,4,1,"Guyana","GY","GUY",779004
"4630","31/03/2020",31,3,2020,0,0,"Guyana","GY","GUY",779004
"4631","30/03/2020",30,3,2020,0,0,"Guyana","GY","GUY",779004
"4632","29/03/2020",29,3,2020,3,0,"Guyana","GY","GUY",779004
"4633","28/03/2020",28,3,2020,0,0,"Guyana","GY","GUY",779004
"4634","27/03/2020",27,3,2020,0,0,"Guyana","GY","GUY",779004
"4635","26/03/2020",26,3,2020,0,0,"Guyana","GY","GUY",779004
"4636","25/03/2020",25,3,2020,0,0,"Guyana","GY","GUY",779004
"4637","24/03/2020",24,3,2020,0,0,"Guyana","GY","GUY",779004
"4638","23/03/2020",23,3,2020,0,0,"Guyana","GY","GUY",779004
"4639","22/03/2020",22,3,2020,0,0,"Guyana","GY","GUY",779004
"4640","21/03/2020",21,3,2020,0,0,"Guyana","GY","GUY",779004
"4641","20/03/2020",20,3,2020,0,0,"Guyana","GY","GUY",779004
"4642","19/03/2020",19,3,2020,1,0,"Guyana","GY","GUY",779004
"4643","18/03/2020",18,3,2020,0,0,"Guyana","GY","GUY",779004
"4644","17/03/2020",17,3,2020,0,0,"Guyana","GY","GUY",779004
"4645","16/03/2020",16,3,2020,3,0,"Guyana","GY","GUY",779004
"4646","13/03/2020",13,3,2020,1,1,"Guyana","GY","GUY",779004
