"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4647","18/04/2020",18,4,2020,1,0,"Haiti","HT","HTI",11123176
"4648","17/04/2020",17,4,2020,2,0,"Haiti","HT","HTI",11123176
"4649","16/04/2020",16,4,2020,1,0,"Haiti","HT","HTI",11123176
"4650","15/04/2020",15,4,2020,0,0,"Haiti","HT","HTI",11123176
"4651","14/04/2020",14,4,2020,7,0,"Haiti","HT","HTI",11123176
"4652","13/04/2020",13,4,2020,0,1,"Haiti","HT","HTI",11123176
"4653","12/04/2020",12,4,2020,2,0,"Haiti","HT","HTI",11123176
"4654","11/04/2020",11,4,2020,1,0,"Haiti","HT","HTI",11123176
"4655","10/04/2020",10,4,2020,3,1,"Haiti","HT","HTI",11123176
"4656","09/04/2020",9,4,2020,2,0,"Haiti","HT","HTI",11123176
"4657","08/04/2020",8,4,2020,1,0,"Haiti","HT","HTI",11123176
"4658","07/04/2020",7,4,2020,3,1,"Haiti","HT","HTI",11123176
"4659","06/04/2020",6,4,2020,0,0,"Haiti","HT","HTI",11123176
"4660","05/04/2020",5,4,2020,3,0,"Haiti","HT","HTI",11123176
"4661","04/04/2020",4,4,2020,0,0,"Haiti","HT","HTI",11123176
"4662","03/04/2020",3,4,2020,2,0,"Haiti","HT","HTI",11123176
"4663","02/04/2020",2,4,2020,1,0,"Haiti","HT","HTI",11123176
"4664","01/04/2020",1,4,2020,0,0,"Haiti","HT","HTI",11123176
"4665","31/03/2020",31,3,2020,0,0,"Haiti","HT","HTI",11123176
"4666","30/03/2020",30,3,2020,7,0,"Haiti","HT","HTI",11123176
"4667","29/03/2020",29,3,2020,0,0,"Haiti","HT","HTI",11123176
"4668","28/03/2020",28,3,2020,0,0,"Haiti","HT","HTI",11123176
"4669","27/03/2020",27,3,2020,0,0,"Haiti","HT","HTI",11123176
"4670","26/03/2020",26,3,2020,1,0,"Haiti","HT","HTI",11123176
"4671","25/03/2020",25,3,2020,2,0,"Haiti","HT","HTI",11123176
"4672","24/03/2020",24,3,2020,3,0,"Haiti","HT","HTI",11123176
"4673","23/03/2020",23,3,2020,0,0,"Haiti","HT","HTI",11123176
"4674","22/03/2020",22,3,2020,0,0,"Haiti","HT","HTI",11123176
"4675","21/03/2020",21,3,2020,0,0,"Haiti","HT","HTI",11123176
"4676","20/03/2020",20,3,2020,2,0,"Haiti","HT","HTI",11123176
