"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4677","18/04/2020",18,4,2020,0,0,"Holy_See","VA","VAT",1000
"4678","17/04/2020",17,4,2020,0,0,"Holy_See","VA","VAT",1000
"4679","16/04/2020",16,4,2020,0,0,"Holy_See","VA","VAT",1000
"4680","15/04/2020",15,4,2020,0,0,"Holy_See","VA","VAT",1000
"4681","14/04/2020",14,4,2020,0,0,"Holy_See","VA","VAT",1000
"4682","13/04/2020",13,4,2020,0,0,"Holy_See","VA","VAT",1000
"4683","12/04/2020",12,4,2020,0,0,"Holy_See","VA","VAT",1000
"4684","11/04/2020",11,4,2020,0,0,"Holy_See","VA","VAT",1000
"4685","10/04/2020",10,4,2020,0,0,"Holy_See","VA","VAT",1000
"4686","09/04/2020",9,4,2020,1,0,"Holy_See","VA","VAT",1000
"4687","08/04/2020",8,4,2020,0,0,"Holy_See","VA","VAT",1000
"4688","07/04/2020",7,4,2020,0,0,"Holy_See","VA","VAT",1000
"4689","06/04/2020",6,4,2020,0,0,"Holy_See","VA","VAT",1000
"4690","05/04/2020",5,4,2020,0,0,"Holy_See","VA","VAT",1000
"4691","04/04/2020",4,4,2020,1,0,"Holy_See","VA","VAT",1000
"4692","03/04/2020",3,4,2020,0,0,"Holy_See","VA","VAT",1000
"4693","02/04/2020",2,4,2020,0,0,"Holy_See","VA","VAT",1000
"4694","01/04/2020",1,4,2020,0,0,"Holy_See","VA","VAT",1000
"4695","31/03/2020",31,3,2020,0,0,"Holy_See","VA","VAT",1000
"4696","30/03/2020",30,3,2020,0,0,"Holy_See","VA","VAT",1000
"4697","29/03/2020",29,3,2020,1,0,"Holy_See","VA","VAT",1000
"4698","28/03/2020",28,3,2020,0,0,"Holy_See","VA","VAT",1000
"4699","27/03/2020",27,3,2020,4,0,"Holy_See","VA","VAT",1000
"4700","26/03/2020",26,3,2020,0,0,"Holy_See","VA","VAT",1000
"4701","25/03/2020",25,3,2020,0,0,"Holy_See","VA","VAT",1000
"4702","24/03/2020",24,3,2020,0,0,"Holy_See","VA","VAT",1000
"4703","23/03/2020",23,3,2020,0,0,"Holy_See","VA","VAT",1000
"4704","22/03/2020",22,3,2020,0,0,"Holy_See","VA","VAT",1000
"4705","21/03/2020",21,3,2020,0,0,"Holy_See","VA","VAT",1000
"4706","20/03/2020",20,3,2020,0,0,"Holy_See","VA","VAT",1000
"4707","19/03/2020",19,3,2020,0,0,"Holy_See","VA","VAT",1000
"4708","18/03/2020",18,3,2020,0,0,"Holy_See","VA","VAT",1000
"4709","17/03/2020",17,3,2020,0,0,"Holy_See","VA","VAT",1000
"4710","16/03/2020",16,3,2020,0,0,"Holy_See","VA","VAT",1000
"4711","07/03/2020",7,3,2020,1,0,"Holy_See","VA","VAT",1000
