"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4712","18/04/2020",18,4,2020,15,5,"Honduras","HN","HND",9587522
"4713","17/04/2020",17,4,2020,16,6,"Honduras","HN","HND",9587522
"4714","16/04/2020",16,4,2020,7,4,"Honduras","HN","HND",9587522
"4715","15/04/2020",15,4,2020,12,5,"Honduras","HN","HND",9587522
"4716","14/04/2020",14,4,2020,10,1,"Honduras","HN","HND",9587522
"4717","13/04/2020",13,4,2020,4,0,"Honduras","HN","HND",9587522
"4718","12/04/2020",12,4,2020,1,1,"Honduras","HN","HND",9587522
"4719","11/04/2020",11,4,2020,10,1,"Honduras","HN","HND",9587522
"4720","10/04/2020",10,4,2020,39,0,"Honduras","HN","HND",9587522
"4721","09/04/2020",9,4,2020,31,1,"Honduras","HN","HND",9587522
"4722","08/04/2020",8,4,2020,7,0,"Honduras","HN","HND",9587522
"4723","07/04/2020",7,4,2020,7,0,"Honduras","HN","HND",9587522
"4724","06/04/2020",6,4,2020,30,0,"Honduras","HN","HND",9587522
"4725","05/04/2020",5,4,2020,4,7,"Honduras","HN","HND",9587522
"4726","04/04/2020",4,4,2020,42,0,"Honduras","HN","HND",9587522
"4727","03/04/2020",3,4,2020,3,1,"Honduras","HN","HND",9587522
"4728","02/04/2020",2,4,2020,47,4,"Honduras","HN","HND",9587522
"4729","01/04/2020",1,4,2020,31,3,"Honduras","HN","HND",9587522
"4730","31/03/2020",31,3,2020,2,4,"Honduras","HN","HND",9587522
"4731","30/03/2020",30,3,2020,29,1,"Honduras","HN","HND",9587522
"4732","29/03/2020",29,3,2020,15,1,"Honduras","HN","HND",9587522
"4733","28/03/2020",28,3,2020,28,0,"Honduras","HN","HND",9587522
"4734","27/03/2020",27,3,2020,15,1,"Honduras","HN","HND",9587522
"4735","26/03/2020",26,3,2020,16,0,"Honduras","HN","HND",9587522
"4736","25/03/2020",25,3,2020,6,0,"Honduras","HN","HND",9587522
"4737","24/03/2020",24,3,2020,3,0,"Honduras","HN","HND",9587522
"4738","23/03/2020",23,3,2020,1,0,"Honduras","HN","HND",9587522
"4739","22/03/2020",22,3,2020,2,0,"Honduras","HN","HND",9587522
"4740","21/03/2020",21,3,2020,0,0,"Honduras","HN","HND",9587522
"4741","20/03/2020",20,3,2020,12,0,"Honduras","HN","HND",9587522
"4742","19/03/2020",19,3,2020,3,0,"Honduras","HN","HND",9587522
"4743","18/03/2020",18,3,2020,1,0,"Honduras","HN","HND",9587522
"4744","17/03/2020",17,3,2020,2,0,"Honduras","HN","HND",9587522
"4745","16/03/2020",16,3,2020,3,0,"Honduras","HN","HND",9587522
"4746","14/03/2020",14,3,2020,1,0,"Honduras","HN","HND",9587522
"4747","12/03/2020",12,3,2020,2,0,"Honduras","HN","HND",9587522
