"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4792","18/04/2020",18,4,2020,15,0,"Iceland","IS","ISL",353574
"4793","17/04/2020",17,4,2020,12,0,"Iceland","IS","ISL",353574
"4794","16/04/2020",16,4,2020,7,0,"Iceland","IS","ISL",353574
"4795","15/04/2020",15,4,2020,9,0,"Iceland","IS","ISL",353574
"4796","14/04/2020",14,4,2020,10,0,"Iceland","IS","ISL",353574
"4797","13/04/2020",13,4,2020,12,0,"Iceland","IS","ISL",353574
"4798","12/04/2020",12,4,2020,14,1,"Iceland","IS","ISL",353574
"4799","11/04/2020",11,4,2020,27,1,"Iceland","IS","ISL",353574
"4800","10/04/2020",10,4,2020,32,0,"Iceland","IS","ISL",353574
"4801","09/04/2020",9,4,2020,30,0,"Iceland","IS","ISL",353574
"4802","08/04/2020",8,4,2020,24,0,"Iceland","IS","ISL",353574
"4803","07/04/2020",7,4,2020,76,2,"Iceland","IS","ISL",353574
"4804","06/04/2020",6,4,2020,69,0,"Iceland","IS","ISL",353574
"4805","05/04/2020",5,4,2020,53,0,"Iceland","IS","ISL",353574
"4806","04/04/2020",4,4,2020,45,0,"Iceland","IS","ISL",353574
"4807","03/04/2020",3,4,2020,99,2,"Iceland","IS","ISL",353574
"4808","02/04/2020",2,4,2020,85,0,"Iceland","IS","ISL",353574
"4809","01/04/2020",1,4,2020,49,0,"Iceland","IS","ISL",353574
"4810","31/03/2020",31,3,2020,66,0,"Iceland","IS","ISL",353574
"4811","30/03/2020",30,3,2020,57,0,"Iceland","IS","ISL",353574
"4812","29/03/2020",29,3,2020,73,0,"Iceland","IS","ISL",353574
"4813","28/03/2020",28,3,2020,88,0,"Iceland","IS","ISL",353574
"4814","27/03/2020",27,3,2020,65,0,"Iceland","IS","ISL",353574
"4815","26/03/2020",26,3,2020,89,0,"Iceland","IS","ISL",353574
"4816","25/03/2020",25,3,2020,60,0,"Iceland","IS","ISL",353574
"4817","24/03/2020",24,3,2020,20,1,"Iceland","IS","ISL",353574
"4818","23/03/2020",23,3,2020,95,0,"Iceland","IS","ISL",353574
"4819","22/03/2020",22,3,2020,64,0,"Iceland","IS","ISL",353574
"4820","21/03/2020",21,3,2020,79,0,"Iceland","IS","ISL",353574
"4821","20/03/2020",20,3,2020,80,1,"Iceland","IS","ISL",353574
"4822","19/03/2020",19,3,2020,3,0,"Iceland","IS","ISL",353574
"4823","18/03/2020",18,3,2020,48,0,"Iceland","IS","ISL",353574
"4824","17/03/2020",17,3,2020,21,0,"Iceland","IS","ISL",353574
"4825","16/03/2020",16,3,2020,40,0,"Iceland","IS","ISL",353574
"4826","15/03/2020",15,3,2020,21,0,"Iceland","IS","ISL",353574
"4827","14/03/2020",14,3,2020,0,0,"Iceland","IS","ISL",353574
"4828","13/03/2020",13,3,2020,32,0,"Iceland","IS","ISL",353574
"4829","12/03/2020",12,3,2020,15,0,"Iceland","IS","ISL",353574
"4830","11/03/2020",11,3,2020,5,0,"Iceland","IS","ISL",353574
"4831","10/03/2020",10,3,2020,10,0,"Iceland","IS","ISL",353574
"4832","09/03/2020",9,3,2020,2,0,"Iceland","IS","ISL",353574
"4833","08/03/2020",8,3,2020,10,0,"Iceland","IS","ISL",353574
"4834","07/03/2020",7,3,2020,8,0,"Iceland","IS","ISL",353574
"4835","06/03/2020",6,3,2020,9,0,"Iceland","IS","ISL",353574
"4836","05/03/2020",5,3,2020,10,0,"Iceland","IS","ISL",353574
"4837","04/03/2020",4,3,2020,10,0,"Iceland","IS","ISL",353574
"4838","03/03/2020",3,3,2020,3,0,"Iceland","IS","ISL",353574
"4839","02/03/2020",2,3,2020,2,0,"Iceland","IS","ISL",353574
"4840","01/03/2020",1,3,2020,0,0,"Iceland","IS","ISL",353574
"4841","29/02/2020",29,2,2020,1,0,"Iceland","IS","ISL",353574
"4842","28/02/2020",28,2,2020,0,0,"Iceland","IS","ISL",353574
"4843","27/02/2020",27,2,2020,0,0,"Iceland","IS","ISL",353574
"4844","26/02/2020",26,2,2020,0,0,"Iceland","IS","ISL",353574
"4845","25/02/2020",25,2,2020,0,0,"Iceland","IS","ISL",353574
"4846","24/02/2020",24,2,2020,0,0,"Iceland","IS","ISL",353574
"4847","23/02/2020",23,2,2020,0,0,"Iceland","IS","ISL",353574
"4848","22/02/2020",22,2,2020,0,0,"Iceland","IS","ISL",353574
"4849","21/02/2020",21,2,2020,0,0,"Iceland","IS","ISL",353574
"4850","20/02/2020",20,2,2020,0,0,"Iceland","IS","ISL",353574
"4851","19/02/2020",19,2,2020,0,0,"Iceland","IS","ISL",353574
"4852","18/02/2020",18,2,2020,0,0,"Iceland","IS","ISL",353574
"4853","17/02/2020",17,2,2020,0,0,"Iceland","IS","ISL",353574
"4854","16/02/2020",16,2,2020,0,0,"Iceland","IS","ISL",353574
"4855","15/02/2020",15,2,2020,0,0,"Iceland","IS","ISL",353574
"4856","14/02/2020",14,2,2020,0,0,"Iceland","IS","ISL",353574
"4857","13/02/2020",13,2,2020,0,0,"Iceland","IS","ISL",353574
"4858","12/02/2020",12,2,2020,0,0,"Iceland","IS","ISL",353574
"4859","11/02/2020",11,2,2020,0,0,"Iceland","IS","ISL",353574
"4860","10/02/2020",10,2,2020,0,0,"Iceland","IS","ISL",353574
"4861","09/02/2020",9,2,2020,0,0,"Iceland","IS","ISL",353574
"4862","08/02/2020",8,2,2020,0,0,"Iceland","IS","ISL",353574
"4863","07/02/2020",7,2,2020,0,0,"Iceland","IS","ISL",353574
"4864","06/02/2020",6,2,2020,0,0,"Iceland","IS","ISL",353574
"4865","05/02/2020",5,2,2020,0,0,"Iceland","IS","ISL",353574
"4866","04/02/2020",4,2,2020,0,0,"Iceland","IS","ISL",353574
"4867","03/02/2020",3,2,2020,0,0,"Iceland","IS","ISL",353574
"4868","02/02/2020",2,2,2020,0,0,"Iceland","IS","ISL",353574
"4869","01/02/2020",1,2,2020,0,0,"Iceland","IS","ISL",353574
"4870","31/01/2020",31,1,2020,0,0,"Iceland","IS","ISL",353574
"4871","30/01/2020",30,1,2020,0,0,"Iceland","IS","ISL",353574
"4872","29/01/2020",29,1,2020,0,0,"Iceland","IS","ISL",353574
"4873","28/01/2020",28,1,2020,0,0,"Iceland","IS","ISL",353574
"4874","27/01/2020",27,1,2020,0,0,"Iceland","IS","ISL",353574
"4875","26/01/2020",26,1,2020,0,0,"Iceland","IS","ISL",353574
"4876","25/01/2020",25,1,2020,0,0,"Iceland","IS","ISL",353574
"4877","24/01/2020",24,1,2020,0,0,"Iceland","IS","ISL",353574
"4878","23/01/2020",23,1,2020,0,0,"Iceland","IS","ISL",353574
"4879","22/01/2020",22,1,2020,0,0,"Iceland","IS","ISL",353574
"4880","21/01/2020",21,1,2020,0,0,"Iceland","IS","ISL",353574
"4881","20/01/2020",20,1,2020,0,0,"Iceland","IS","ISL",353574
"4882","19/01/2020",19,1,2020,0,0,"Iceland","IS","ISL",353574
"4883","18/01/2020",18,1,2020,0,0,"Iceland","IS","ISL",353574
"4884","17/01/2020",17,1,2020,0,0,"Iceland","IS","ISL",353574
"4885","16/01/2020",16,1,2020,0,0,"Iceland","IS","ISL",353574
"4886","15/01/2020",15,1,2020,0,0,"Iceland","IS","ISL",353574
"4887","14/01/2020",14,1,2020,0,0,"Iceland","IS","ISL",353574
"4888","13/01/2020",13,1,2020,0,0,"Iceland","IS","ISL",353574
"4889","12/01/2020",12,1,2020,0,0,"Iceland","IS","ISL",353574
"4890","11/01/2020",11,1,2020,0,0,"Iceland","IS","ISL",353574
"4891","10/01/2020",10,1,2020,0,0,"Iceland","IS","ISL",353574
"4892","09/01/2020",9,1,2020,0,0,"Iceland","IS","ISL",353574
"4893","08/01/2020",8,1,2020,0,0,"Iceland","IS","ISL",353574
"4894","07/01/2020",7,1,2020,0,0,"Iceland","IS","ISL",353574
"4895","06/01/2020",6,1,2020,0,0,"Iceland","IS","ISL",353574
"4896","05/01/2020",5,1,2020,0,0,"Iceland","IS","ISL",353574
"4897","04/01/2020",4,1,2020,0,0,"Iceland","IS","ISL",353574
"4898","03/01/2020",3,1,2020,0,0,"Iceland","IS","ISL",353574
"4899","02/01/2020",2,1,2020,0,0,"Iceland","IS","ISL",353574
"4900","01/01/2020",1,1,2020,0,0,"Iceland","IS","ISL",353574
"4901","31/12/2019",31,12,2019,0,0,"Iceland","IS","ISL",353574
