"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5224","18/04/2020",18,4,2020,48,1,"Iraq","IQ","IRQ",38433600
"5225","17/04/2020",17,4,2020,19,1,"Iraq","IQ","IRQ",38433600
"5226","16/04/2020",16,4,2020,15,1,"Iraq","IQ","IRQ",38433600
"5227","15/04/2020",15,4,2020,22,0,"Iraq","IQ","IRQ",38433600
"5228","14/04/2020",14,4,2020,26,2,"Iraq","IQ","IRQ",38433600
"5229","13/04/2020",13,4,2020,34,4,"Iraq","IQ","IRQ",38433600
"5230","12/04/2020",12,4,2020,39,2,"Iraq","IQ","IRQ",38433600
"5231","11/04/2020",11,4,2020,47,1,"Iraq","IQ","IRQ",38433600
"5232","10/04/2020",10,4,2020,30,0,"Iraq","IQ","IRQ",38433600
"5233","09/04/2020",9,4,2020,171,5,"Iraq","IQ","IRQ",38433600
"5234","08/04/2020",8,4,2020,0,0,"Iraq","IQ","IRQ",38433600
"5235","07/04/2020",7,4,2020,70,3,"Iraq","IQ","IRQ",38433600
"5236","06/04/2020",6,4,2020,83,5,"Iraq","IQ","IRQ",38433600
"5237","05/04/2020",5,4,2020,106,2,"Iraq","IQ","IRQ",38433600
"5238","04/04/2020",4,4,2020,0,0,"Iraq","IQ","IRQ",38433600
"5239","03/04/2020",3,4,2020,78,4,"Iraq","IQ","IRQ",38433600
"5240","02/04/2020",2,4,2020,0,0,"Iraq","IQ","IRQ",38433600
"5241","01/04/2020",1,4,2020,64,4,"Iraq","IQ","IRQ",38433600
"5242","31/03/2020",31,3,2020,83,4,"Iraq","IQ","IRQ",38433600
"5243","30/03/2020",30,3,2020,41,0,"Iraq","IQ","IRQ",38433600
"5244","29/03/2020",29,3,2020,48,2,"Iraq","IQ","IRQ",38433600
"5245","28/03/2020",28,3,2020,76,4,"Iraq","IQ","IRQ",38433600
"5246","27/03/2020",27,3,2020,36,7,"Iraq","IQ","IRQ",38433600
"5247","26/03/2020",26,3,2020,30,2,"Iraq","IQ","IRQ",38433600
"5248","25/03/2020",25,3,2020,50,4,"Iraq","IQ","IRQ",38433600
"5249","24/03/2020",24,3,2020,33,3,"Iraq","IQ","IRQ",38433600
"5250","23/03/2020",23,3,2020,19,3,"Iraq","IQ","IRQ",38433600
"5251","22/03/2020",22,3,2020,21,3,"Iraq","IQ","IRQ",38433600
"5252","21/03/2020",21,3,2020,16,2,"Iraq","IQ","IRQ",38433600
"5253","20/03/2020",20,3,2020,13,0,"Iraq","IQ","IRQ",38433600
"5254","19/03/2020",19,3,2020,10,1,"Iraq","IQ","IRQ",38433600
"5255","18/03/2020",18,3,2020,30,2,"Iraq","IQ","IRQ",38433600
"5256","17/03/2020",17,3,2020,0,0,"Iraq","IQ","IRQ",38433600
"5257","16/03/2020",16,3,2020,39,0,"Iraq","IQ","IRQ",38433600
"5258","15/03/2020",15,3,2020,0,0,"Iraq","IQ","IRQ",38433600
"5259","14/03/2020",14,3,2020,11,1,"Iraq","IQ","IRQ",38433600
"5260","13/03/2020",13,3,2020,4,0,"Iraq","IQ","IRQ",38433600
"5261","12/03/2020",12,3,2020,9,2,"Iraq","IQ","IRQ",38433600
"5262","11/03/2020",11,3,2020,0,0,"Iraq","IQ","IRQ",38433600
"5263","09/03/2020",9,3,2020,7,4,"Iraq","IQ","IRQ",38433600
"5264","08/03/2020",8,3,2020,16,0,"Iraq","IQ","IRQ",38433600
"5265","06/03/2020",6,3,2020,7,2,"Iraq","IQ","IRQ",38433600
"5266","05/03/2020",5,3,2020,5,0,"Iraq","IQ","IRQ",38433600
"5267","04/03/2020",4,3,2020,5,0,"Iraq","IQ","IRQ",38433600
"5268","03/03/2020",3,3,2020,2,0,"Iraq","IQ","IRQ",38433600
"5269","02/03/2020",2,3,2020,6,0,"Iraq","IQ","IRQ",38433600
"5270","01/03/2020",1,3,2020,6,0,"Iraq","IQ","IRQ",38433600
"5271","29/02/2020",29,2,2020,1,0,"Iraq","IQ","IRQ",38433600
"5272","28/02/2020",28,2,2020,1,0,"Iraq","IQ","IRQ",38433600
"5273","27/02/2020",27,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5274","26/02/2020",26,2,2020,4,0,"Iraq","IQ","IRQ",38433600
"5275","25/02/2020",25,2,2020,1,0,"Iraq","IQ","IRQ",38433600
"5276","24/02/2020",24,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5277","23/02/2020",23,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5278","22/02/2020",22,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5279","21/02/2020",21,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5280","20/02/2020",20,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5281","19/02/2020",19,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5282","18/02/2020",18,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5283","17/02/2020",17,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5284","16/02/2020",16,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5285","15/02/2020",15,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5286","14/02/2020",14,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5287","13/02/2020",13,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5288","12/02/2020",12,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5289","11/02/2020",11,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5290","10/02/2020",10,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5291","09/02/2020",9,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5292","08/02/2020",8,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5293","07/02/2020",7,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5294","06/02/2020",6,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5295","05/02/2020",5,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5296","04/02/2020",4,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5297","03/02/2020",3,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5298","02/02/2020",2,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5299","01/02/2020",1,2,2020,0,0,"Iraq","IQ","IRQ",38433600
"5300","31/01/2020",31,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5301","30/01/2020",30,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5302","29/01/2020",29,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5303","28/01/2020",28,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5304","27/01/2020",27,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5305","26/01/2020",26,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5306","25/01/2020",25,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5307","24/01/2020",24,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5308","23/01/2020",23,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5309","22/01/2020",22,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5310","21/01/2020",21,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5311","20/01/2020",20,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5312","19/01/2020",19,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5313","18/01/2020",18,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5314","17/01/2020",17,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5315","16/01/2020",16,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5316","15/01/2020",15,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5317","14/01/2020",14,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5318","13/01/2020",13,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5319","12/01/2020",12,1,2020,0,0,"Iraq","IQ","IRQ",38433600
"5320","11/01/2020",11,1,2020,0,0,"Iraq","IQ","IRQ",38433600
