"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5576","18/04/2020",18,4,2020,3493,575,"Italy","IT","ITA",60431283
"5577","17/04/2020",17,4,2020,3786,525,"Italy","IT","ITA",60431283
"5578","16/04/2020",16,4,2020,2667,578,"Italy","IT","ITA",60431283
"5579","15/04/2020",15,4,2020,2972,604,"Italy","IT","ITA",60431283
"5580","14/04/2020",14,4,2020,3153,564,"Italy","IT","ITA",60431283
"5581","13/04/2020",13,4,2020,4092,431,"Italy","IT","ITA",60431283
"5582","12/04/2020",12,4,2020,4694,619,"Italy","IT","ITA",60431283
"5583","11/04/2020",11,4,2020,3951,570,"Italy","IT","ITA",60431283
"5584","10/04/2020",10,4,2020,4204,612,"Italy","IT","ITA",60431283
"5585","09/04/2020",9,4,2020,3836,540,"Italy","IT","ITA",60431283
"5586","08/04/2020",8,4,2020,3039,604,"Italy","IT","ITA",60431283
"5587","07/04/2020",7,4,2020,3599,636,"Italy","IT","ITA",60431283
"5588","06/04/2020",6,4,2020,4316,527,"Italy","IT","ITA",60431283
"5589","05/04/2020",5,4,2020,4805,681,"Italy","IT","ITA",60431283
"5590","04/04/2020",4,4,2020,4585,764,"Italy","IT","ITA",60431283
"5591","03/04/2020",3,4,2020,4668,760,"Italy","IT","ITA",60431283
"5592","02/04/2020",2,4,2020,4782,727,"Italy","IT","ITA",60431283
"5593","01/04/2020",1,4,2020,4053,839,"Italy","IT","ITA",60431283
"5594","31/03/2020",31,3,2020,4050,810,"Italy","IT","ITA",60431283
"5595","30/03/2020",30,3,2020,5217,758,"Italy","IT","ITA",60431283
"5596","29/03/2020",29,3,2020,5974,887,"Italy","IT","ITA",60431283
"5597","28/03/2020",28,3,2020,5959,971,"Italy","IT","ITA",60431283
"5598","27/03/2020",27,3,2020,6153,660,"Italy","IT","ITA",60431283
"5599","26/03/2020",26,3,2020,5210,685,"Italy","IT","ITA",60431283
"5600","25/03/2020",25,3,2020,5249,743,"Italy","IT","ITA",60431283
"5601","24/03/2020",24,3,2020,4789,601,"Italy","IT","ITA",60431283
"5602","23/03/2020",23,3,2020,5560,649,"Italy","IT","ITA",60431283
"5603","22/03/2020",22,3,2020,6557,795,"Italy","IT","ITA",60431283
"5604","21/03/2020",21,3,2020,5986,625,"Italy","IT","ITA",60431283
"5605","20/03/2020",20,3,2020,5322,429,"Italy","IT","ITA",60431283
"5606","19/03/2020",19,3,2020,4207,473,"Italy","IT","ITA",60431283
"5607","18/03/2020",18,3,2020,3526,347,"Italy","IT","ITA",60431283
"5608","17/03/2020",17,3,2020,4000,347,"Italy","IT","ITA",60431283
"5609","16/03/2020",16,3,2020,2823,370,"Italy","IT","ITA",60431283
"5610","15/03/2020",15,3,2020,3497,173,"Italy","IT","ITA",60431283
"5611","14/03/2020",14,3,2020,2547,252,"Italy","IT","ITA",60431283
"5612","13/03/2020",13,3,2020,2651,189,"Italy","IT","ITA",60431283
"5613","12/03/2020",12,3,2020,2313,196,"Italy","IT","ITA",60431283
"5614","11/03/2020",11,3,2020,977,167,"Italy","IT","ITA",60431283
"5615","10/03/2020",10,3,2020,1797,98,"Italy","IT","ITA",60431283
"5616","09/03/2020",9,3,2020,1492,133,"Italy","IT","ITA",60431283
"5617","08/03/2020",8,3,2020,1247,36,"Italy","IT","ITA",60431283
"5618","07/03/2020",7,3,2020,778,49,"Italy","IT","ITA",60431283
"5619","06/03/2020",6,3,2020,769,41,"Italy","IT","ITA",60431283
"5620","05/03/2020",5,3,2020,587,27,"Italy","IT","ITA",60431283
"5621","04/03/2020",4,3,2020,466,28,"Italy","IT","ITA",60431283
"5622","03/03/2020",3,3,2020,347,17,"Italy","IT","ITA",60431283
"5623","02/03/2020",2,3,2020,561,6,"Italy","IT","ITA",60431283
"5624","01/03/2020",1,3,2020,240,8,"Italy","IT","ITA",60431283
"5625","29/02/2020",29,2,2020,238,4,"Italy","IT","ITA",60431283
"5626","28/02/2020",28,2,2020,250,5,"Italy","IT","ITA",60431283
"5627","27/02/2020",27,2,2020,78,1,"Italy","IT","ITA",60431283
"5628","26/02/2020",26,2,2020,93,5,"Italy","IT","ITA",60431283
