"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5686","18/04/2020",18,4,2020,20,0,"Jamaica","JM","JAM",2934855
"5687","17/04/2020",17,4,2020,18,0,"Jamaica","JM","JAM",2934855
"5688","16/04/2020",16,4,2020,20,0,"Jamaica","JM","JAM",2934855
"5689","15/04/2020",15,4,2020,32,1,"Jamaica","JM","JAM",2934855
"5690","14/04/2020",14,4,2020,1,0,"Jamaica","JM","JAM",2934855
"5691","13/04/2020",13,4,2020,3,0,"Jamaica","JM","JAM",2934855
"5692","12/04/2020",12,4,2020,4,0,"Jamaica","JM","JAM",2934855
"5693","11/04/2020",11,4,2020,2,0,"Jamaica","JM","JAM",2934855
"5694","10/04/2020",10,4,2020,0,0,"Jamaica","JM","JAM",2934855
"5695","09/04/2020",9,4,2020,0,1,"Jamaica","JM","JAM",2934855
"5696","08/04/2020",8,4,2020,4,0,"Jamaica","JM","JAM",2934855
"5697","07/04/2020",7,4,2020,1,0,"Jamaica","JM","JAM",2934855
"5698","06/04/2020",6,4,2020,3,0,"Jamaica","JM","JAM",2934855
"5699","05/04/2020",5,4,2020,2,0,"Jamaica","JM","JAM",2934855
"5700","04/04/2020",4,4,2020,6,0,"Jamaica","JM","JAM",2934855
"5701","03/04/2020",3,4,2020,3,0,"Jamaica","JM","JAM",2934855
"5702","02/04/2020",2,4,2020,6,2,"Jamaica","JM","JAM",2934855
"5703","01/04/2020",1,4,2020,0,0,"Jamaica","JM","JAM",2934855
"5704","31/03/2020",31,3,2020,4,0,"Jamaica","JM","JAM",2934855
"5705","30/03/2020",30,3,2020,2,0,"Jamaica","JM","JAM",2934855
"5706","29/03/2020",29,3,2020,6,0,"Jamaica","JM","JAM",2934855
"5707","28/03/2020",28,3,2020,0,0,"Jamaica","JM","JAM",2934855
"5708","27/03/2020",27,3,2020,1,0,"Jamaica","JM","JAM",2934855
"5709","26/03/2020",26,3,2020,4,0,"Jamaica","JM","JAM",2934855
"5710","25/03/2020",25,3,2020,2,1,"Jamaica","JM","JAM",2934855
"5711","24/03/2020",24,3,2020,0,0,"Jamaica","JM","JAM",2934855
"5712","23/03/2020",23,3,2020,0,0,"Jamaica","JM","JAM",2934855
"5713","22/03/2020",22,3,2020,0,0,"Jamaica","JM","JAM",2934855
"5714","21/03/2020",21,3,2020,3,0,"Jamaica","JM","JAM",2934855
"5715","20/03/2020",20,3,2020,1,0,"Jamaica","JM","JAM",2934855
"5716","19/03/2020",19,3,2020,2,0,"Jamaica","JM","JAM",2934855
"5717","18/03/2020",18,3,2020,3,0,"Jamaica","JM","JAM",2934855
"5718","17/03/2020",17,3,2020,0,0,"Jamaica","JM","JAM",2934855
"5719","16/03/2020",16,3,2020,2,0,"Jamaica","JM","JAM",2934855
"5720","14/03/2020",14,3,2020,2,0,"Jamaica","JM","JAM",2934855
"5721","13/03/2020",13,3,2020,4,0,"Jamaica","JM","JAM",2934855
"5722","12/03/2020",12,3,2020,2,0,"Jamaica","JM","JAM",2934855
