"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5833","18/04/2020",18,4,2020,1,1,"Jersey","JE","JEY",106800
"5834","17/04/2020",17,4,2020,6,4,"Jersey","JE","JEY",106800
"5835","16/04/2020",16,4,2020,0,2,"Jersey","JE","JEY",106800
"5836","15/04/2020",15,4,2020,0,0,"Jersey","JE","JEY",106800
"5837","14/04/2020",14,4,2020,4,0,"Jersey","JE","JEY",106800
"5838","13/04/2020",13,4,2020,15,0,"Jersey","JE","JEY",106800
"5839","12/04/2020",12,4,2020,0,0,"Jersey","JE","JEY",106800
"5840","11/04/2020",11,4,2020,15,1,"Jersey","JE","JEY",106800
"5841","10/04/2020",10,4,2020,13,0,"Jersey","JE","JEY",106800
"5842","09/04/2020",9,4,2020,0,0,"Jersey","JE","JEY",106800
"5843","08/04/2020",8,4,2020,1,0,"Jersey","JE","JEY",106800
"5844","07/04/2020",7,4,2020,14,0,"Jersey","JE","JEY",106800
"5845","06/04/2020",6,4,2020,32,0,"Jersey","JE","JEY",106800
"5846","05/04/2020",5,4,2020,5,1,"Jersey","JE","JEY",106800
"5847","04/04/2020",4,4,2020,37,0,"Jersey","JE","JEY",106800
"5848","03/04/2020",3,4,2020,0,0,"Jersey","JE","JEY",106800
"5849","02/04/2020",2,4,2020,0,0,"Jersey","JE","JEY",106800
"5850","01/04/2020",1,4,2020,18,0,"Jersey","JE","JEY",106800
"5851","31/03/2020",31,3,2020,0,0,"Jersey","JE","JEY",106800
"5852","30/03/2020",30,3,2020,2,1,"Jersey","JE","JEY",106800
"5853","29/03/2020",29,3,2020,9,0,"Jersey","JE","JEY",106800
"5854","28/03/2020",28,3,2020,20,0,"Jersey","JE","JEY",106800
"5855","27/03/2020",27,3,2020,14,1,"Jersey","JE","JEY",106800
"5856","26/03/2020",26,3,2020,0,0,"Jersey","JE","JEY",106800
"5857","25/03/2020",25,3,2020,0,0,"Jersey","JE","JEY",106800
"5858","24/03/2020",24,3,2020,3,0,"Jersey","JE","JEY",106800
"5859","23/03/2020",23,3,2020,3,0,"Jersey","JE","JEY",106800
"5860","22/03/2020",22,3,2020,0,0,"Jersey","JE","JEY",106800
"5861","21/03/2020",21,3,2020,7,0,"Jersey","JE","JEY",106800
"5862","20/03/2020",20,3,2020,5,0,"Jersey","JE","JEY",106800
