"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5900","18/04/2020",18,4,2020,121,0,"Kazakhstan","KZ","KAZ",18276499
"5901","17/04/2020",17,4,2020,139,1,"Kazakhstan","KZ","KAZ",18276499
"5902","16/04/2020",16,4,2020,64,2,"Kazakhstan","KZ","KAZ",18276499
"5903","15/04/2020",15,4,2020,88,0,"Kazakhstan","KZ","KAZ",18276499
"5904","14/04/2020",14,4,2020,218,4,"Kazakhstan","KZ","KAZ",18276499
"5905","13/04/2020",13,4,2020,81,0,"Kazakhstan","KZ","KAZ",18276499
"5906","12/04/2020",12,4,2020,40,0,"Kazakhstan","KZ","KAZ",18276499
"5907","11/04/2020",11,4,2020,38,1,"Kazakhstan","KZ","KAZ",18276499
"5908","10/04/2020",10,4,2020,43,2,"Kazakhstan","KZ","KAZ",18276499
"5909","09/04/2020",9,4,2020,55,1,"Kazakhstan","KZ","KAZ",18276499
"5910","08/04/2020",8,4,2020,34,0,"Kazakhstan","KZ","KAZ",18276499
"5911","07/04/2020",7,4,2020,139,1,"Kazakhstan","KZ","KAZ",18276499
"5912","06/04/2020",6,4,2020,71,2,"Kazakhstan","KZ","KAZ",18276499
"5913","05/04/2020",5,4,2020,0,0,"Kazakhstan","KZ","KAZ",18276499
"5914","04/04/2020",4,4,2020,74,0,"Kazakhstan","KZ","KAZ",18276499
"5915","03/04/2020",3,4,2020,38,1,"Kazakhstan","KZ","KAZ",18276499
"5916","02/04/2020",2,4,2020,8,1,"Kazakhstan","KZ","KAZ",18276499
"5917","01/04/2020",1,4,2020,15,0,"Kazakhstan","KZ","KAZ",18276499
"5918","31/03/2020",31,3,2020,41,0,"Kazakhstan","KZ","KAZ",18276499
"5919","30/03/2020",30,3,2020,55,1,"Kazakhstan","KZ","KAZ",18276499
"5920","29/03/2020",29,3,2020,36,0,"Kazakhstan","KZ","KAZ",18276499
"5921","28/03/2020",28,3,2020,73,0,"Kazakhstan","KZ","KAZ",18276499
"5922","27/03/2020",27,3,2020,32,0,"Kazakhstan","KZ","KAZ",18276499
"5923","26/03/2020",26,3,2020,9,0,"Kazakhstan","KZ","KAZ",18276499
"5924","25/03/2020",25,3,2020,17,0,"Kazakhstan","KZ","KAZ",18276499
"5925","24/03/2020",24,3,2020,2,0,"Kazakhstan","KZ","KAZ",18276499
"5926","23/03/2020",23,3,2020,4,0,"Kazakhstan","KZ","KAZ",18276499
"5927","22/03/2020",22,3,2020,3,0,"Kazakhstan","KZ","KAZ",18276499
"5928","21/03/2020",21,3,2020,4,0,"Kazakhstan","KZ","KAZ",18276499
"5929","20/03/2020",20,3,2020,12,0,"Kazakhstan","KZ","KAZ",18276499
"5930","19/03/2020",19,3,2020,4,0,"Kazakhstan","KZ","KAZ",18276499
"5931","18/03/2020",18,3,2020,22,0,"Kazakhstan","KZ","KAZ",18276499
"5932","17/03/2020",17,3,2020,2,0,"Kazakhstan","KZ","KAZ",18276499
"5933","16/03/2020",16,3,2020,3,0,"Kazakhstan","KZ","KAZ",18276499
"5934","15/03/2020",15,3,2020,6,0,"Kazakhstan","KZ","KAZ",18276499
