"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5935","18/04/2020",18,4,2020,12,0,"Kenya","KE","KEN",51393010
"5936","17/04/2020",17,4,2020,9,1,"Kenya","KE","KEN",51393010
"5937","16/04/2020",16,4,2020,9,1,"Kenya","KE","KEN",51393010
"5938","15/04/2020",15,4,2020,8,0,"Kenya","KE","KEN",51393010
"5939","14/04/2020",14,4,2020,11,1,"Kenya","KE","KEN",51393010
"5940","13/04/2020",13,4,2020,6,1,"Kenya","KE","KEN",51393010
"5941","12/04/2020",12,4,2020,2,0,"Kenya","KE","KEN",51393010
"5942","11/04/2020",11,4,2020,5,0,"Kenya","KE","KEN",51393010
"5943","10/04/2020",10,4,2020,5,1,"Kenya","KE","KEN",51393010
"5944","09/04/2020",9,4,2020,7,0,"Kenya","KE","KEN",51393010
"5945","08/04/2020",8,4,2020,14,2,"Kenya","KE","KEN",51393010
"5946","07/04/2020",7,4,2020,16,0,"Kenya","KE","KEN",51393010
"5947","06/04/2020",6,4,2020,16,0,"Kenya","KE","KEN",51393010
"5948","05/04/2020",5,4,2020,4,0,"Kenya","KE","KEN",51393010
"5949","04/04/2020",4,4,2020,12,1,"Kenya","KE","KEN",51393010
"5950","03/04/2020",3,4,2020,29,2,"Kenya","KE","KEN",51393010
"5951","02/04/2020",2,4,2020,22,0,"Kenya","KE","KEN",51393010
"5952","01/04/2020",1,4,2020,9,0,"Kenya","KE","KEN",51393010
"5953","31/03/2020",31,3,2020,8,0,"Kenya","KE","KEN",51393010
"5954","30/03/2020",30,3,2020,4,0,"Kenya","KE","KEN",51393010
"5955","29/03/2020",29,3,2020,7,0,"Kenya","KE","KEN",51393010
"5956","28/03/2020",28,3,2020,0,0,"Kenya","KE","KEN",51393010
"5957","27/03/2020",27,3,2020,6,1,"Kenya","KE","KEN",51393010
"5958","26/03/2020",26,3,2020,0,0,"Kenya","KE","KEN",51393010
"5959","25/03/2020",25,3,2020,9,0,"Kenya","KE","KEN",51393010
"5960","24/03/2020",24,3,2020,1,0,"Kenya","KE","KEN",51393010
"5961","23/03/2020",23,3,2020,8,0,"Kenya","KE","KEN",51393010
"5962","22/03/2020",22,3,2020,0,0,"Kenya","KE","KEN",51393010
"5963","21/03/2020",21,3,2020,0,0,"Kenya","KE","KEN",51393010
"5964","20/03/2020",20,3,2020,0,0,"Kenya","KE","KEN",51393010
"5965","19/03/2020",19,3,2020,3,0,"Kenya","KE","KEN",51393010
"5966","18/03/2020",18,3,2020,1,0,"Kenya","KE","KEN",51393010
"5967","17/03/2020",17,3,2020,0,0,"Kenya","KE","KEN",51393010
"5968","16/03/2020",16,3,2020,2,0,"Kenya","KE","KEN",51393010
"5969","15/03/2020",15,3,2020,0,0,"Kenya","KE","KEN",51393010
"5970","14/03/2020",14,3,2020,1,0,"Kenya","KE","KEN",51393010
