"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5971","18/04/2020",18,4,2020,31,1,"Kosovo","XK","XKX",1845300
"5972","17/04/2020",17,4,2020,26,2,"Kosovo","XK","XKX",1845300
"5973","16/04/2020",16,4,2020,36,1,"Kosovo","XK","XKX",1845300
"5974","15/04/2020",15,4,2020,10,0,"Kosovo","XK","XKX",1845300
"5975","14/04/2020",14,4,2020,15,1,"Kosovo","XK","XKX",1845300
"5976","13/04/2020",13,4,2020,79,0,"Kosovo","XK","XKX",1845300
"5977","12/04/2020",12,4,2020,33,0,"Kosovo","XK","XKX",1845300
"5978","11/04/2020",11,4,2020,23,0,"Kosovo","XK","XKX",1845300
"5979","10/04/2020",10,4,2020,43,2,"Kosovo","XK","XKX",1845300
"5980","09/04/2020",9,4,2020,0,0,"Kosovo","XK","XKX",1845300
"5981","08/04/2020",8,4,2020,39,2,"Kosovo","XK","XKX",1845300
"5982","07/04/2020",7,4,2020,5,2,"Kosovo","XK","XKX",1845300
"5983","06/04/2020",6,4,2020,8,0,"Kosovo","XK","XKX",1845300
"5984","05/04/2020",5,4,2020,6,0,"Kosovo","XK","XKX",1845300
"5985","04/04/2020",4,4,2020,1,0,"Kosovo","XK","XKX",1845300
"5986","03/04/2020",3,4,2020,13,0,"Kosovo","XK","XKX",1845300
"5987","02/04/2020",2,4,2020,0,0,"Kosovo","XK","XKX",1845300
"5988","01/04/2020",1,4,2020,6,0,"Kosovo","XK","XKX",1845300
"5989","31/03/2020",31,3,2020,15,0,"Kosovo","XK","XKX",1845300
"5990","30/03/2020",30,3,2020,3,0,"Kosovo","XK","XKX",1845300
"5991","29/03/2020",29,3,2020,2,0,"Kosovo","XK","XKX",1845300
"5992","28/03/2020",28,3,2020,7,0,"Kosovo","XK","XKX",1845300
"5993","27/03/2020",27,3,2020,8,0,"Kosovo","XK","XKX",1845300
"5994","26/03/2020",26,3,2020,8,0,"Kosovo","XK","XKX",1845300
"5995","25/03/2020",25,3,2020,2,0,"Kosovo","XK","XKX",1845300
"5996","24/03/2020",24,3,2020,30,0,"Kosovo","XK","XKX",1845300
"5997","23/03/2020",23,3,2020,7,1,"Kosovo","XK","XKX",1845300
"5998","22/03/2020",22,3,2020,0,0,"Kosovo","XK","XKX",1845300
"5999","21/03/2020",21,3,2020,3,0,"Kosovo","XK","XKX",1845300
"6000","20/03/2020",20,3,2020,2,0,"Kosovo","XK","XKX",1845300
"6001","19/03/2020",19,3,2020,0,0,"Kosovo","XK","XKX",1845300
"6002","18/03/2020",18,3,2020,17,0,"Kosovo","XK","XKX",1845300
"6003","17/03/2020",17,3,2020,0,0,"Kosovo","XK","XKX",1845300
"6004","16/03/2020",16,3,2020,2,0,"Kosovo","XK","XKX",1845300
