"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6005","18/04/2020",18,4,2020,134,2,"Kuwait","KW","KWT",4137309
"6006","17/04/2020",17,4,2020,119,0,"Kuwait","KW","KWT",4137309
"6007","16/04/2020",16,4,2020,50,0,"Kuwait","KW","KWT",4137309
"6008","15/04/2020",15,4,2020,55,1,"Kuwait","KW","KWT",4137309
"6009","14/04/2020",14,4,2020,66,1,"Kuwait","KW","KWT",4137309
"6010","13/04/2020",13,4,2020,80,0,"Kuwait","KW","KWT",4137309
"6011","12/04/2020",12,4,2020,161,0,"Kuwait","KW","KWT",4137309
"6012","11/04/2020",11,4,2020,83,0,"Kuwait","KW","KWT",4137309
"6013","10/04/2020",10,4,2020,55,0,"Kuwait","KW","KWT",4137309
"6014","09/04/2020",9,4,2020,112,0,"Kuwait","KW","KWT",4137309
"6015","08/04/2020",8,4,2020,78,0,"Kuwait","KW","KWT",4137309
"6016","07/04/2020",7,4,2020,109,0,"Kuwait","KW","KWT",4137309
"6017","06/04/2020",6,4,2020,77,0,"Kuwait","KW","KWT",4137309
"6018","05/04/2020",5,4,2020,137,1,"Kuwait","KW","KWT",4137309
"6019","04/04/2020",4,4,2020,0,0,"Kuwait","KW","KWT",4137309
"6020","03/04/2020",3,4,2020,25,0,"Kuwait","KW","KWT",4137309
"6021","02/04/2020",2,4,2020,28,0,"Kuwait","KW","KWT",4137309
"6022","01/04/2020",1,4,2020,23,0,"Kuwait","KW","KWT",4137309
"6023","31/03/2020",31,3,2020,11,0,"Kuwait","KW","KWT",4137309
"6024","30/03/2020",30,3,2020,20,0,"Kuwait","KW","KWT",4137309
"6025","29/03/2020",29,3,2020,10,0,"Kuwait","KW","KWT",4137309
"6026","28/03/2020",28,3,2020,17,0,"Kuwait","KW","KWT",4137309
"6027","27/03/2020",27,3,2020,13,0,"Kuwait","KW","KWT",4137309
"6028","26/03/2020",26,3,2020,4,0,"Kuwait","KW","KWT",4137309
"6029","25/03/2020",25,3,2020,2,0,"Kuwait","KW","KWT",4137309
"6030","24/03/2020",24,3,2020,1,0,"Kuwait","KW","KWT",4137309
"6031","23/03/2020",23,3,2020,12,0,"Kuwait","KW","KWT",4137309
"6032","22/03/2020",22,3,2020,17,0,"Kuwait","KW","KWT",4137309
"6033","21/03/2020",21,3,2020,11,0,"Kuwait","KW","KWT",4137309
"6034","20/03/2020",20,3,2020,6,0,"Kuwait","KW","KWT",4137309
"6035","19/03/2020",19,3,2020,12,0,"Kuwait","KW","KWT",4137309
"6036","18/03/2020",18,3,2020,7,0,"Kuwait","KW","KWT",4137309
"6037","17/03/2020",17,3,2020,11,0,"Kuwait","KW","KWT",4137309
"6038","16/03/2020",16,3,2020,8,0,"Kuwait","KW","KWT",4137309
"6039","15/03/2020",15,3,2020,4,0,"Kuwait","KW","KWT",4137309
"6040","14/03/2020",14,3,2020,20,0,"Kuwait","KW","KWT",4137309
"6041","13/03/2020",13,3,2020,8,0,"Kuwait","KW","KWT",4137309
"6042","12/03/2020",12,3,2020,3,0,"Kuwait","KW","KWT",4137309
"6043","11/03/2020",11,3,2020,4,0,"Kuwait","KW","KWT",4137309
"6044","10/03/2020",10,3,2020,1,0,"Kuwait","KW","KWT",4137309
"6045","09/03/2020",9,3,2020,3,0,"Kuwait","KW","KWT",4137309
"6046","08/03/2020",8,3,2020,3,0,"Kuwait","KW","KWT",4137309
"6047","06/03/2020",6,3,2020,2,0,"Kuwait","KW","KWT",4137309
"6048","03/03/2020",3,3,2020,10,0,"Kuwait","KW","KWT",4137309
"6049","02/03/2020",2,3,2020,1,0,"Kuwait","KW","KWT",4137309
"6050","01/03/2020",1,3,2020,0,0,"Kuwait","KW","KWT",4137309
"6051","29/02/2020",29,2,2020,2,0,"Kuwait","KW","KWT",4137309
"6052","28/02/2020",28,2,2020,17,0,"Kuwait","KW","KWT",4137309
"6053","27/02/2020",27,2,2020,15,0,"Kuwait","KW","KWT",4137309
"6054","26/02/2020",26,2,2020,6,0,"Kuwait","KW","KWT",4137309
"6055","25/02/2020",25,2,2020,2,0,"Kuwait","KW","KWT",4137309
"6056","24/02/2020",24,2,2020,3,0,"Kuwait","KW","KWT",4137309
"6057","23/02/2020",23,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6058","22/02/2020",22,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6059","21/02/2020",21,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6060","20/02/2020",20,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6061","19/02/2020",19,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6062","18/02/2020",18,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6063","17/02/2020",17,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6064","16/02/2020",16,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6065","15/02/2020",15,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6066","14/02/2020",14,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6067","13/02/2020",13,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6068","12/02/2020",12,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6069","11/02/2020",11,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6070","10/02/2020",10,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6071","09/02/2020",9,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6072","08/02/2020",8,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6073","07/02/2020",7,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6074","06/02/2020",6,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6075","05/02/2020",5,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6076","04/02/2020",4,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6077","03/02/2020",3,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6078","02/02/2020",2,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6079","01/02/2020",1,2,2020,0,0,"Kuwait","KW","KWT",4137309
"6080","31/01/2020",31,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6081","30/01/2020",30,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6082","29/01/2020",29,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6083","28/01/2020",28,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6084","27/01/2020",27,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6085","26/01/2020",26,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6086","25/01/2020",25,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6087","24/01/2020",24,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6088","23/01/2020",23,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6089","22/01/2020",22,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6090","21/01/2020",21,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6091","20/01/2020",20,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6092","19/01/2020",19,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6093","18/01/2020",18,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6094","17/01/2020",17,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6095","16/01/2020",16,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6096","15/01/2020",15,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6097","14/01/2020",14,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6098","13/01/2020",13,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6099","12/01/2020",12,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6100","11/01/2020",11,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6101","10/01/2020",10,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6102","09/01/2020",9,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6103","08/01/2020",8,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6104","07/01/2020",7,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6105","06/01/2020",6,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6106","05/01/2020",5,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6107","04/01/2020",4,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6108","03/01/2020",3,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6109","02/01/2020",2,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6110","01/01/2020",1,1,2020,0,0,"Kuwait","KW","KWT",4137309
"6111","31/12/2019",31,12,2019,0,0,"Kuwait","KW","KWT",4137309
