"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6168","18/04/2020",18,4,2020,7,0,"Latvia","LV","LVA",1926542
"6169","17/04/2020",17,4,2020,9,0,"Latvia","LV","LVA",1926542
"6170","16/04/2020",16,4,2020,9,0,"Latvia","LV","LVA",1926542
"6171","15/04/2020",15,4,2020,2,0,"Latvia","LV","LVA",1926542
"6172","14/04/2020",14,4,2020,4,0,"Latvia","LV","LVA",1926542
"6173","13/04/2020",13,4,2020,21,2,"Latvia","LV","LVA",1926542
"6174","12/04/2020",12,4,2020,18,1,"Latvia","LV","LVA",1926542
"6175","11/04/2020",11,4,2020,23,0,"Latvia","LV","LVA",1926542
"6176","10/04/2020",10,4,2020,12,0,"Latvia","LV","LVA",1926542
"6177","09/04/2020",9,4,2020,29,0,"Latvia","LV","LVA",1926542
"6178","08/04/2020",8,4,2020,6,1,"Latvia","LV","LVA",1926542
"6179","07/04/2020",7,4,2020,9,0,"Latvia","LV","LVA",1926542
"6180","06/04/2020",6,4,2020,24,0,"Latvia","LV","LVA",1926542
"6181","05/04/2020",5,4,2020,16,0,"Latvia","LV","LVA",1926542
"6182","04/04/2020",4,4,2020,35,1,"Latvia","LV","LVA",1926542
"6183","03/04/2020",3,4,2020,12,0,"Latvia","LV","LVA",1926542
"6184","02/04/2020",2,4,2020,48,0,"Latvia","LV","LVA",1926542
"6185","01/04/2020",1,4,2020,22,0,"Latvia","LV","LVA",1926542
"6186","31/03/2020",31,3,2020,0,0,"Latvia","LV","LVA",1926542
"6187","30/03/2020",30,3,2020,71,0,"Latvia","LV","LVA",1926542
"6188","29/03/2020",29,3,2020,25,0,"Latvia","LV","LVA",1926542
"6189","28/03/2020",28,3,2020,36,0,"Latvia","LV","LVA",1926542
"6190","27/03/2020",27,3,2020,23,0,"Latvia","LV","LVA",1926542
"6191","26/03/2020",26,3,2020,24,0,"Latvia","LV","LVA",1926542
"6192","25/03/2020",25,3,2020,17,0,"Latvia","LV","LVA",1926542
"6193","24/03/2020",24,3,2020,41,0,"Latvia","LV","LVA",1926542
"6194","23/03/2020",23,3,2020,15,0,"Latvia","LV","LVA",1926542
"6195","22/03/2020",22,3,2020,13,0,"Latvia","LV","LVA",1926542
"6196","21/03/2020",21,3,2020,25,0,"Latvia","LV","LVA",1926542
"6197","20/03/2020",20,3,2020,15,0,"Latvia","LV","LVA",1926542
"6198","19/03/2020",19,3,2020,10,0,"Latvia","LV","LVA",1926542
"6199","18/03/2020",18,3,2020,25,0,"Latvia","LV","LVA",1926542
"6200","17/03/2020",17,3,2020,5,0,"Latvia","LV","LVA",1926542
"6201","16/03/2020",16,3,2020,5,0,"Latvia","LV","LVA",1926542
"6202","15/03/2020",15,3,2020,7,0,"Latvia","LV","LVA",1926542
"6203","14/03/2020",14,3,2020,3,0,"Latvia","LV","LVA",1926542
"6204","13/03/2020",13,3,2020,6,0,"Latvia","LV","LVA",1926542
"6205","12/03/2020",12,3,2020,2,0,"Latvia","LV","LVA",1926542
"6206","11/03/2020",11,3,2020,2,0,"Latvia","LV","LVA",1926542
"6207","10/03/2020",10,3,2020,3,0,"Latvia","LV","LVA",1926542
"6208","09/03/2020",9,3,2020,1,0,"Latvia","LV","LVA",1926542
"6209","08/03/2020",8,3,2020,1,0,"Latvia","LV","LVA",1926542
"6210","03/03/2020",3,3,2020,1,0,"Latvia","LV","LVA",1926542
