"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6211","18/04/2020",18,4,2020,5,0,"Lebanon","LB","LBN",6848925
"6212","17/04/2020",17,4,2020,5,0,"Lebanon","LB","LBN",6848925
"6213","16/04/2020",16,4,2020,17,0,"Lebanon","LB","LBN",6848925
"6214","15/04/2020",15,4,2020,9,1,"Lebanon","LB","LBN",6848925
"6215","14/04/2020",14,4,2020,2,0,"Lebanon","LB","LBN",6848925
"6216","13/04/2020",13,4,2020,11,0,"Lebanon","LB","LBN",6848925
"6217","12/04/2020",12,4,2020,10,0,"Lebanon","LB","LBN",6848925
"6218","11/04/2020",11,4,2020,27,1,"Lebanon","LB","LBN",6848925
"6219","10/04/2020",10,4,2020,7,0,"Lebanon","LB","LBN",6848925
"6220","09/04/2020",9,4,2020,27,0,"Lebanon","LB","LBN",6848925
"6221","08/04/2020",8,4,2020,7,0,"Lebanon","LB","LBN",6848925
"6222","07/04/2020",7,4,2020,14,1,"Lebanon","LB","LBN",6848925
"6223","06/04/2020",6,4,2020,7,1,"Lebanon","LB","LBN",6848925
"6224","05/04/2020",5,4,2020,26,1,"Lebanon","LB","LBN",6848925
"6225","04/04/2020",4,4,2020,0,0,"Lebanon","LB","LBN",6848925
"6226","03/04/2020",3,4,2020,15,4,"Lebanon","LB","LBN",6848925
"6227","02/04/2020",2,4,2020,16,0,"Lebanon","LB","LBN",6848925
"6228","01/04/2020",1,4,2020,17,1,"Lebanon","LB","LBN",6848925
"6229","31/03/2020",31,3,2020,8,1,"Lebanon","LB","LBN",6848925
"6230","30/03/2020",30,3,2020,26,2,"Lebanon","LB","LBN",6848925
"6231","29/03/2020",29,3,2020,21,1,"Lebanon","LB","LBN",6848925
"6232","28/03/2020",28,3,2020,23,1,"Lebanon","LB","LBN",6848925
"6233","27/03/2020",27,3,2020,35,2,"Lebanon","LB","LBN",6848925
"6234","26/03/2020",26,3,2020,29,0,"Lebanon","LB","LBN",6848925
