"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6375","18/04/2020",18,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6376","17/04/2020",17,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6377","16/04/2020",16,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6378","15/04/2020",15,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6379","14/04/2020",14,4,2020,1,0,"Liechtenstein","LI","LIE",37910
"6380","13/04/2020",13,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6381","12/04/2020",12,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6382","11/04/2020",11,4,2020,1,0,"Liechtenstein","LI","LIE",37910
"6383","10/04/2020",10,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6384","09/04/2020",9,4,2020,1,0,"Liechtenstein","LI","LIE",37910
"6385","08/04/2020",8,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6386","07/04/2020",7,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6387","06/04/2020",6,4,2020,1,0,"Liechtenstein","LI","LIE",37910
"6388","05/04/2020",5,4,2020,2,1,"Liechtenstein","LI","LIE",37910
"6389","04/04/2020",4,4,2020,0,0,"Liechtenstein","LI","LIE",37910
"6390","03/04/2020",3,4,2020,3,0,"Liechtenstein","LI","LIE",37910
"6391","02/04/2020",2,4,2020,4,0,"Liechtenstein","LI","LIE",37910
"6392","01/04/2020",1,4,2020,4,0,"Liechtenstein","LI","LIE",37910
"6393","31/03/2020",31,3,2020,2,0,"Liechtenstein","LI","LIE",37910
"6394","30/03/2020",30,3,2020,1,0,"Liechtenstein","LI","LIE",37910
"6395","29/03/2020",29,3,2020,1,0,"Liechtenstein","LI","LIE",37910
"6396","28/03/2020",28,3,2020,4,0,"Liechtenstein","LI","LIE",37910
"6397","27/03/2020",27,3,2020,5,0,"Liechtenstein","LI","LIE",37910
"6398","26/03/2020",26,3,2020,4,0,"Liechtenstein","LI","LIE",37910
"6399","25/03/2020",25,3,2020,1,0,"Liechtenstein","LI","LIE",37910
"6400","24/03/2020",24,3,2020,0,0,"Liechtenstein","LI","LIE",37910
"6401","23/03/2020",23,3,2020,10,0,"Liechtenstein","LI","LIE",37910
"6402","22/03/2020",22,3,2020,2,0,"Liechtenstein","LI","LIE",37910
"6403","21/03/2020",21,3,2020,9,0,"Liechtenstein","LI","LIE",37910
"6404","20/03/2020",20,3,2020,0,0,"Liechtenstein","LI","LIE",37910
"6405","19/03/2020",19,3,2020,18,0,"Liechtenstein","LI","LIE",37910
"6406","18/03/2020",18,3,2020,0,0,"Liechtenstein","LI","LIE",37910
"6407","17/03/2020",17,3,2020,0,0,"Liechtenstein","LI","LIE",37910
"6408","16/03/2020",16,3,2020,3,0,"Liechtenstein","LI","LIE",37910
"6409","15/03/2020",15,3,2020,0,0,"Liechtenstein","LI","LIE",37910
"6410","14/03/2020",14,3,2020,0,0,"Liechtenstein","LI","LIE",37910
"6411","13/03/2020",13,3,2020,1,0,"Liechtenstein","LI","LIE",37910
"6412","12/03/2020",12,3,2020,2,0,"Liechtenstein","LI","LIE",37910
"6413","05/03/2020",5,3,2020,1,0,"Liechtenstein","LI","LIE",37910
