"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6647","18/04/2020",18,4,2020,1,0,"Malawi","MW","MWI",18143315
"6648","17/04/2020",17,4,2020,0,0,"Malawi","MW","MWI",18143315
"6649","16/04/2020",16,4,2020,0,0,"Malawi","MW","MWI",18143315
"6650","15/04/2020",15,4,2020,0,0,"Malawi","MW","MWI",18143315
"6651","14/04/2020",14,4,2020,3,0,"Malawi","MW","MWI",18143315
"6652","13/04/2020",13,4,2020,1,0,"Malawi","MW","MWI",18143315
"6653","12/04/2020",12,4,2020,3,1,"Malawi","MW","MWI",18143315
"6654","11/04/2020",11,4,2020,1,0,"Malawi","MW","MWI",18143315
"6655","10/04/2020",10,4,2020,0,0,"Malawi","MW","MWI",18143315
"6656","09/04/2020",9,4,2020,0,0,"Malawi","MW","MWI",18143315
"6657","08/04/2020",8,4,2020,3,1,"Malawi","MW","MWI",18143315
"6658","07/04/2020",7,4,2020,1,0,"Malawi","MW","MWI",18143315
"6659","06/04/2020",6,4,2020,0,0,"Malawi","MW","MWI",18143315
"6660","05/04/2020",5,4,2020,1,0,"Malawi","MW","MWI",18143315
"6661","04/04/2020",4,4,2020,0,0,"Malawi","MW","MWI",18143315
"6662","03/04/2020",3,4,2020,3,0,"Malawi","MW","MWI",18143315
