"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6663","18/04/2020",18,4,2020,69,2,"Malaysia","MY","MYS",31528585
"6664","17/04/2020",17,4,2020,110,1,"Malaysia","MY","MYS",31528585
"6665","16/04/2020",16,4,2020,85,1,"Malaysia","MY","MYS",31528585
"6666","15/04/2020",15,4,2020,170,5,"Malaysia","MY","MYS",31528585
"6667","14/04/2020",14,4,2020,134,1,"Malaysia","MY","MYS",31528585
"6668","13/04/2020",13,4,2020,153,3,"Malaysia","MY","MYS",31528585
"6669","12/04/2020",12,4,2020,184,3,"Malaysia","MY","MYS",31528585
"6670","11/04/2020",11,4,2020,118,3,"Malaysia","MY","MYS",31528585
"6671","10/04/2020",10,4,2020,109,2,"Malaysia","MY","MYS",31528585
"6672","09/04/2020",9,4,2020,156,2,"Malaysia","MY","MYS",31528585
"6673","08/04/2020",8,4,2020,170,1,"Malaysia","MY","MYS",31528585
"6674","07/04/2020",7,4,2020,131,1,"Malaysia","MY","MYS",31528585
"6675","06/04/2020",6,4,2020,179,4,"Malaysia","MY","MYS",31528585
"6676","05/04/2020",5,4,2020,150,4,"Malaysia","MY","MYS",31528585
"6677","04/04/2020",4,4,2020,217,3,"Malaysia","MY","MYS",31528585
"6678","03/04/2020",3,4,2020,208,5,"Malaysia","MY","MYS",31528585
"6679","02/04/2020",2,4,2020,282,8,"Malaysia","MY","MYS",31528585
"6680","01/04/2020",1,4,2020,0,0,"Malaysia","MY","MYS",31528585
"6681","31/03/2020",31,3,2020,156,3,"Malaysia","MY","MYS",31528585
"6682","30/03/2020",30,3,2020,150,7,"Malaysia","MY","MYS",31528585
"6683","29/03/2020",29,3,2020,159,1,"Malaysia","MY","MYS",31528585
"6684","28/03/2020",28,3,2020,130,3,"Malaysia","MY","MYS",31528585
"6685","27/03/2020",27,3,2020,235,4,"Malaysia","MY","MYS",31528585
"6686","26/03/2020",26,3,2020,172,4,"Malaysia","MY","MYS",31528585
"6687","25/03/2020",25,3,2020,106,1,"Malaysia","MY","MYS",31528585
"6688","24/03/2020",24,3,2020,212,4,"Malaysia","MY","MYS",31528585
"6689","23/03/2020",23,3,2020,123,6,"Malaysia","MY","MYS",31528585
"6690","22/03/2020",22,3,2020,153,2,"Malaysia","MY","MYS",31528585
"6691","21/03/2020",21,3,2020,130,0,"Malaysia","MY","MYS",31528585
"6692","20/03/2020",20,3,2020,110,0,"Malaysia","MY","MYS",31528585
"6693","19/03/2020",19,3,2020,117,0,"Malaysia","MY","MYS",31528585
"6694","18/03/2020",18,3,2020,120,2,"Malaysia","MY","MYS",31528585
"6695","17/03/2020",17,3,2020,125,0,"Malaysia","MY","MYS",31528585
"6696","16/03/2020",16,3,2020,190,0,"Malaysia","MY","MYS",31528585
"6697","15/03/2020",15,3,2020,41,0,"Malaysia","MY","MYS",31528585
"6698","14/03/2020",14,3,2020,39,0,"Malaysia","MY","MYS",31528585
"6699","13/03/2020",13,3,2020,9,0,"Malaysia","MY","MYS",31528585
"6700","12/03/2020",12,3,2020,20,0,"Malaysia","MY","MYS",31528585
"6701","11/03/2020",11,3,2020,12,0,"Malaysia","MY","MYS",31528585
"6702","10/03/2020",10,3,2020,18,0,"Malaysia","MY","MYS",31528585
"6703","09/03/2020",9,3,2020,6,0,"Malaysia","MY","MYS",31528585
"6704","08/03/2020",8,3,2020,10,0,"Malaysia","MY","MYS",31528585
"6705","07/03/2020",7,3,2020,33,0,"Malaysia","MY","MYS",31528585
"6706","06/03/2020",6,3,2020,0,0,"Malaysia","MY","MYS",31528585
"6707","05/03/2020",5,3,2020,14,0,"Malaysia","MY","MYS",31528585
"6708","04/03/2020",4,3,2020,7,0,"Malaysia","MY","MYS",31528585
"6709","02/03/2020",2,3,2020,4,0,"Malaysia","MY","MYS",31528585
"6710","01/03/2020",1,3,2020,0,0,"Malaysia","MY","MYS",31528585
"6711","29/02/2020",29,2,2020,2,0,"Malaysia","MY","MYS",31528585
"6712","28/02/2020",28,2,2020,1,0,"Malaysia","MY","MYS",31528585
"6713","27/02/2020",27,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6714","26/02/2020",26,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6715","25/02/2020",25,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6716","24/02/2020",24,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6717","23/02/2020",23,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6718","22/02/2020",22,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6719","21/02/2020",21,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6720","20/02/2020",20,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6721","19/02/2020",19,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6722","18/02/2020",18,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6723","17/02/2020",17,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6724","16/02/2020",16,2,2020,1,0,"Malaysia","MY","MYS",31528585
"6725","15/02/2020",15,2,2020,2,0,"Malaysia","MY","MYS",31528585
"6726","14/02/2020",14,2,2020,1,0,"Malaysia","MY","MYS",31528585
"6727","13/02/2020",13,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6728","12/02/2020",12,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6729","11/02/2020",11,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6730","10/02/2020",10,2,2020,2,0,"Malaysia","MY","MYS",31528585
"6731","09/02/2020",9,2,2020,1,0,"Malaysia","MY","MYS",31528585
"6732","08/02/2020",8,2,2020,1,0,"Malaysia","MY","MYS",31528585
"6733","07/02/2020",7,2,2020,2,0,"Malaysia","MY","MYS",31528585
"6734","06/02/2020",6,2,2020,2,0,"Malaysia","MY","MYS",31528585
"6735","05/02/2020",5,2,2020,2,0,"Malaysia","MY","MYS",31528585
"6736","04/02/2020",4,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6737","03/02/2020",3,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6738","02/02/2020",2,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6739","01/02/2020",1,2,2020,0,0,"Malaysia","MY","MYS",31528585
"6740","31/01/2020",31,1,2020,1,0,"Malaysia","MY","MYS",31528585
"6741","30/01/2020",30,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6742","29/01/2020",29,1,2020,3,0,"Malaysia","MY","MYS",31528585
"6743","28/01/2020",28,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6744","27/01/2020",27,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6745","26/01/2020",26,1,2020,1,0,"Malaysia","MY","MYS",31528585
"6746","25/01/2020",25,1,2020,3,0,"Malaysia","MY","MYS",31528585
"6747","24/01/2020",24,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6748","23/01/2020",23,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6749","22/01/2020",22,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6750","21/01/2020",21,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6751","20/01/2020",20,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6752","19/01/2020",19,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6753","18/01/2020",18,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6754","17/01/2020",17,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6755","16/01/2020",16,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6756","15/01/2020",15,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6757","14/01/2020",14,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6758","13/01/2020",13,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6759","12/01/2020",12,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6760","11/01/2020",11,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6761","10/01/2020",10,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6762","09/01/2020",9,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6763","08/01/2020",8,1,2020,0,0,"Malaysia","MY","MYS",31528585
"6764","07/01/2020",7,1,2020,0,0,"Malaysia","MY","MYS",31528585
