"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6812","18/04/2020",18,4,2020,19,0,"Mali","ML","MLI",19077690
"6813","17/04/2020",17,4,2020,23,0,"Mali","ML","MLI",19077690
"6814","16/04/2020",16,4,2020,4,0,"Mali","ML","MLI",19077690
"6815","15/04/2020",15,4,2020,21,3,"Mali","ML","MLI",19077690
"6816","14/04/2020",14,4,2020,7,1,"Mali","ML","MLI",19077690
"6817","13/04/2020",13,4,2020,11,0,"Mali","ML","MLI",19077690
"6818","12/04/2020",12,4,2020,18,2,"Mali","ML","MLI",19077690
"6819","11/04/2020",11,4,2020,28,0,"Mali","ML","MLI",19077690
"6820","10/04/2020",10,4,2020,0,0,"Mali","ML","MLI",19077690
"6821","09/04/2020",9,4,2020,3,2,"Mali","ML","MLI",19077690
"6822","08/04/2020",8,4,2020,9,0,"Mali","ML","MLI",19077690
"6823","07/04/2020",7,4,2020,2,0,"Mali","ML","MLI",19077690
"6824","06/04/2020",6,4,2020,4,2,"Mali","ML","MLI",19077690
"6825","05/04/2020",5,4,2020,2,0,"Mali","ML","MLI",19077690
"6826","04/04/2020",4,4,2020,3,0,"Mali","ML","MLI",19077690
"6827","03/04/2020",3,4,2020,8,2,"Mali","ML","MLI",19077690
"6828","02/04/2020",2,4,2020,10,0,"Mali","ML","MLI",19077690
"6829","01/04/2020",1,4,2020,0,1,"Mali","ML","MLI",19077690
"6830","31/03/2020",31,3,2020,0,0,"Mali","ML","MLI",19077690
"6831","30/03/2020",30,3,2020,9,0,"Mali","ML","MLI",19077690
"6832","29/03/2020",29,3,2020,5,0,"Mali","ML","MLI",19077690
"6833","28/03/2020",28,3,2020,0,0,"Mali","ML","MLI",19077690
"6834","27/03/2020",27,3,2020,2,0,"Mali","ML","MLI",19077690
"6835","26/03/2020",26,3,2020,2,0,"Mali","ML","MLI",19077690
