"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6836","18/04/2020",18,4,2020,10,0,"Malta","MT","MLT",483530
"6837","17/04/2020",17,4,2020,13,0,"Malta","MT","MLT",483530
"6838","16/04/2020",16,4,2020,6,0,"Malta","MT","MLT",483530
"6839","15/04/2020",15,4,2020,9,0,"Malta","MT","MLT",483530
"6840","14/04/2020",14,4,2020,6,0,"Malta","MT","MLT",483530
"6841","13/04/2020",13,4,2020,8,0,"Malta","MT","MLT",483530
"6842","12/04/2020",12,4,2020,20,1,"Malta","MT","MLT",483530
"6843","11/04/2020",11,4,2020,13,0,"Malta","MT","MLT",483530
"6844","10/04/2020",10,4,2020,38,1,"Malta","MT","MLT",483530
"6845","09/04/2020",9,4,2020,6,1,"Malta","MT","MLT",483530
"6846","08/04/2020",8,4,2020,52,0,"Malta","MT","MLT",483530
"6847","07/04/2020",7,4,2020,7,0,"Malta","MT","MLT",483530
"6848","06/04/2020",6,4,2020,21,0,"Malta","MT","MLT",483530
"6849","05/04/2020",5,4,2020,11,0,"Malta","MT","MLT",483530
"6850","04/04/2020",4,4,2020,7,0,"Malta","MT","MLT",483530
"6851","03/04/2020",3,4,2020,7,0,"Malta","MT","MLT",483530
"6852","02/04/2020",2,4,2020,21,0,"Malta","MT","MLT",483530
"6853","01/04/2020",1,4,2020,11,0,"Malta","MT","MLT",483530
"6854","31/03/2020",31,3,2020,5,0,"Malta","MT","MLT",483530
"6855","30/03/2020",30,3,2020,2,0,"Malta","MT","MLT",483530
"6856","29/03/2020",29,3,2020,10,0,"Malta","MT","MLT",483530
"6857","28/03/2020",28,3,2020,5,0,"Malta","MT","MLT",483530
"6858","27/03/2020",27,3,2020,5,0,"Malta","MT","MLT",483530
"6859","26/03/2020",26,3,2020,9,0,"Malta","MT","MLT",483530
"6860","25/03/2020",25,3,2020,13,0,"Malta","MT","MLT",483530
"6861","24/03/2020",24,3,2020,17,0,"Malta","MT","MLT",483530
"6862","23/03/2020",23,3,2020,17,0,"Malta","MT","MLT",483530
"6863","22/03/2020",22,3,2020,9,0,"Malta","MT","MLT",483530
"6864","21/03/2020",21,3,2020,11,0,"Malta","MT","MLT",483530
"6865","20/03/2020",20,3,2020,5,0,"Malta","MT","MLT",483530
"6866","19/03/2020",19,3,2020,10,0,"Malta","MT","MLT",483530
"6867","18/03/2020",18,3,2020,8,0,"Malta","MT","MLT",483530
"6868","17/03/2020",17,3,2020,9,0,"Malta","MT","MLT",483530
"6869","16/03/2020",16,3,2020,3,0,"Malta","MT","MLT",483530
"6870","15/03/2020",15,3,2020,6,0,"Malta","MT","MLT",483530
"6871","14/03/2020",14,3,2020,3,0,"Malta","MT","MLT",483530
"6872","13/03/2020",13,3,2020,3,0,"Malta","MT","MLT",483530
"6873","12/03/2020",12,3,2020,2,0,"Malta","MT","MLT",483530
"6874","10/03/2020",10,3,2020,1,0,"Malta","MT","MLT",483530
"6875","08/03/2020",8,3,2020,3,0,"Malta","MT","MLT",483530
