"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6876","18/04/2020",18,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6877","17/04/2020",17,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6878","16/04/2020",16,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6879","15/04/2020",15,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6880","14/04/2020",14,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6881","13/04/2020",13,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6882","12/04/2020",12,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6883","11/04/2020",11,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6884","10/04/2020",10,4,2020,1,0,"Mauritania","MR","MRT",4403319
"6885","09/04/2020",9,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6886","08/04/2020",8,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6887","07/04/2020",7,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6888","06/04/2020",6,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6889","05/04/2020",5,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6890","04/04/2020",4,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6891","03/04/2020",3,4,2020,1,1,"Mauritania","MR","MRT",4403319
"6892","02/04/2020",2,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6893","01/04/2020",1,4,2020,0,0,"Mauritania","MR","MRT",4403319
"6894","31/03/2020",31,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6895","30/03/2020",30,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6896","29/03/2020",29,3,2020,2,0,"Mauritania","MR","MRT",4403319
"6897","28/03/2020",28,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6898","27/03/2020",27,3,2020,1,0,"Mauritania","MR","MRT",4403319
"6899","26/03/2020",26,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6900","25/03/2020",25,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6901","24/03/2020",24,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6902","23/03/2020",23,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6903","22/03/2020",22,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6904","21/03/2020",21,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6905","20/03/2020",20,3,2020,1,0,"Mauritania","MR","MRT",4403319
"6906","19/03/2020",19,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6907","18/03/2020",18,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6908","17/03/2020",17,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6909","16/03/2020",16,3,2020,0,0,"Mauritania","MR","MRT",4403319
"6910","15/03/2020",15,3,2020,1,0,"Mauritania","MR","MRT",4403319
