"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6911","18/04/2020",18,4,2020,0,0,"Mauritius","MU","MUS",1265303
"6912","17/04/2020",17,4,2020,0,0,"Mauritius","MU","MUS",1265303
"6913","16/04/2020",16,4,2020,0,0,"Mauritius","MU","MUS",1265303
"6914","15/04/2020",15,4,2020,0,0,"Mauritius","MU","MUS",1265303
"6915","14/04/2020",14,4,2020,0,0,"Mauritius","MU","MUS",1265303
"6916","13/04/2020",13,4,2020,5,0,"Mauritius","MU","MUS",1265303
"6917","12/04/2020",12,4,2020,1,0,"Mauritius","MU","MUS",1265303
"6918","11/04/2020",11,4,2020,4,2,"Mauritius","MU","MUS",1265303
"6919","10/04/2020",10,4,2020,41,0,"Mauritius","MU","MUS",1265303
"6920","09/04/2020",9,4,2020,5,0,"Mauritius","MU","MUS",1265303
"6921","08/04/2020",8,4,2020,24,0,"Mauritius","MU","MUS",1265303
"6922","07/04/2020",7,4,2020,17,0,"Mauritius","MU","MUS",1265303
"6923","06/04/2020",6,4,2020,31,0,"Mauritius","MU","MUS",1265303
"6924","05/04/2020",5,4,2020,10,0,"Mauritius","MU","MUS",1265303
"6925","04/04/2020",4,4,2020,17,0,"Mauritius","MU","MUS",1265303
"6926","03/04/2020",3,4,2020,15,2,"Mauritius","MU","MUS",1265303
"6927","02/04/2020",2,4,2020,11,2,"Mauritius","MU","MUS",1265303
"6928","01/04/2020",1,4,2020,15,0,"Mauritius","MU","MUS",1265303
"6929","31/03/2020",31,3,2020,18,0,"Mauritius","MU","MUS",1265303
"6930","30/03/2020",30,3,2020,8,1,"Mauritius","MU","MUS",1265303
"6931","29/03/2020",29,3,2020,8,0,"Mauritius","MU","MUS",1265303
"6932","28/03/2020",28,3,2020,13,0,"Mauritius","MU","MUS",1265303
"6933","27/03/2020",27,3,2020,33,0,"Mauritius","MU","MUS",1265303
"6934","26/03/2020",26,3,2020,6,0,"Mauritius","MU","MUS",1265303
"6935","25/03/2020",25,3,2020,6,0,"Mauritius","MU","MUS",1265303
"6936","24/03/2020",24,3,2020,8,0,"Mauritius","MU","MUS",1265303
"6937","23/03/2020",23,3,2020,14,1,"Mauritius","MU","MUS",1265303
"6938","22/03/2020",22,3,2020,2,1,"Mauritius","MU","MUS",1265303
"6939","21/03/2020",21,3,2020,9,0,"Mauritius","MU","MUS",1265303
"6940","20/03/2020",20,3,2020,3,0,"Mauritius","MU","MUS",1265303
