"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6941","18/04/2020",18,4,2020,578,60,"Mexico","MX","MEX",126190788
"6942","17/04/2020",17,4,2020,450,37,"Mexico","MX","MEX",126190788
"6943","16/04/2020",16,4,2020,448,43,"Mexico","MX","MEX",126190788
"6944","15/04/2020",15,4,2020,385,74,"Mexico","MX","MEX",126190788
"6945","14/04/2020",14,4,2020,353,36,"Mexico","MX","MEX",126190788
"6946","13/04/2020",13,4,2020,442,23,"Mexico","MX","MEX",126190788
"6947","12/04/2020",12,4,2020,375,40,"Mexico","MX","MEX",126190788
"6948","11/04/2020",11,4,2020,403,39,"Mexico","MX","MEX",126190788
"6949","10/04/2020",10,4,2020,260,20,"Mexico","MX","MEX",126190788
"6950","09/04/2020",9,4,2020,396,33,"Mexico","MX","MEX",126190788
"6951","08/04/2020",8,4,2020,346,16,"Mexico","MX","MEX",126190788
"6952","07/04/2020",7,4,2020,296,31,"Mexico","MX","MEX",126190788
"6953","06/04/2020",6,4,2020,253,15,"Mexico","MX","MEX",126190788
"6954","05/04/2020",5,4,2020,202,19,"Mexico","MX","MEX",126190788
"6955","04/04/2020",4,4,2020,178,10,"Mexico","MX","MEX",126190788
"6956","03/04/2020",3,4,2020,132,13,"Mexico","MX","MEX",126190788
"6957","02/04/2020",2,4,2020,163,8,"Mexico","MX","MEX",126190788
"6958","01/04/2020",1,4,2020,121,1,"Mexico","MX","MEX",126190788
"6959","31/03/2020",31,3,2020,101,8,"Mexico","MX","MEX",126190788
"6960","30/03/2020",30,3,2020,145,4,"Mexico","MX","MEX",126190788
"6961","29/03/2020",29,3,2020,131,4,"Mexico","MX","MEX",126190788
"6962","28/03/2020",28,3,2020,132,4,"Mexico","MX","MEX",126190788
"6963","27/03/2020",27,3,2020,110,3,"Mexico","MX","MEX",126190788
"6964","26/03/2020",26,3,2020,70,0,"Mexico","MX","MEX",126190788
"6965","25/03/2020",25,3,2020,38,1,"Mexico","MX","MEX",126190788
"6966","24/03/2020",24,3,2020,51,2,"Mexico","MX","MEX",126190788
"6967","23/03/2020",23,3,2020,65,0,"Mexico","MX","MEX",126190788
"6968","22/03/2020",22,3,2020,48,0,"Mexico","MX","MEX",126190788
"6969","21/03/2020",21,3,2020,39,2,"Mexico","MX","MEX",126190788
"6970","20/03/2020",20,3,2020,46,0,"Mexico","MX","MEX",126190788
"6971","19/03/2020",19,3,2020,25,0,"Mexico","MX","MEX",126190788
"6972","18/03/2020",18,3,2020,11,0,"Mexico","MX","MEX",126190788
"6973","17/03/2020",17,3,2020,29,0,"Mexico","MX","MEX",126190788
"6974","16/03/2020",16,3,2020,12,0,"Mexico","MX","MEX",126190788
"6975","15/03/2020",15,3,2020,15,0,"Mexico","MX","MEX",126190788
"6976","14/03/2020",14,3,2020,10,0,"Mexico","MX","MEX",126190788
"6977","13/03/2020",13,3,2020,5,0,"Mexico","MX","MEX",126190788
"6978","12/03/2020",12,3,2020,4,0,"Mexico","MX","MEX",126190788
"6979","09/03/2020",9,3,2020,2,0,"Mexico","MX","MEX",126190788
"6980","02/03/2020",2,3,2020,1,0,"Mexico","MX","MEX",126190788
"6981","01/03/2020",1,3,2020,2,0,"Mexico","MX","MEX",126190788
"6982","29/02/2020",29,2,2020,2,0,"Mexico","MX","MEX",126190788
"6983","28/02/2020",28,2,2020,0,0,"Mexico","MX","MEX",126190788
"6984","27/02/2020",27,2,2020,0,0,"Mexico","MX","MEX",126190788
"6985","26/02/2020",26,2,2020,0,0,"Mexico","MX","MEX",126190788
"6986","25/02/2020",25,2,2020,0,0,"Mexico","MX","MEX",126190788
"6987","24/02/2020",24,2,2020,0,0,"Mexico","MX","MEX",126190788
"6988","23/02/2020",23,2,2020,0,0,"Mexico","MX","MEX",126190788
