"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"7342","18/04/2020",18,4,2020,9,1,"Myanmar","MM","MMR",53708395
"7343","17/04/2020",17,4,2020,11,0,"Myanmar","MM","MMR",53708395
"7344","16/04/2020",16,4,2020,0,0,"Myanmar","MM","MMR",53708395
"7345","15/04/2020",15,4,2020,12,0,"Myanmar","MM","MMR",53708395
"7346","14/04/2020",14,4,2020,21,0,"Myanmar","MM","MMR",53708395
"7347","13/04/2020",13,4,2020,10,1,"Myanmar","MM","MMR",53708395
"7348","12/04/2020",12,4,2020,3,0,"Myanmar","MM","MMR",53708395
"7349","11/04/2020",11,4,2020,1,0,"Myanmar","MM","MMR",53708395
"7350","10/04/2020",10,4,2020,5,0,"Myanmar","MM","MMR",53708395
"7351","09/04/2020",9,4,2020,0,2,"Myanmar","MM","MMR",53708395
"7352","08/04/2020",8,4,2020,0,0,"Myanmar","MM","MMR",53708395
"7353","07/04/2020",7,4,2020,1,0,"Myanmar","MM","MMR",53708395
"7354","06/04/2020",6,4,2020,0,0,"Myanmar","MM","MMR",53708395
"7355","05/04/2020",5,4,2020,1,0,"Myanmar","MM","MMR",53708395
"7356","04/04/2020",4,4,2020,0,0,"Myanmar","MM","MMR",53708395
"7357","03/04/2020",3,4,2020,4,0,"Myanmar","MM","MMR",53708395
"7358","02/04/2020",2,4,2020,1,0,"Myanmar","MM","MMR",53708395
"7359","01/04/2020",1,4,2020,1,1,"Myanmar","MM","MMR",53708395
"7360","31/03/2020",31,3,2020,6,0,"Myanmar","MM","MMR",53708395
"7361","30/03/2020",30,3,2020,0,0,"Myanmar","MM","MMR",53708395
"7362","29/03/2020",29,3,2020,3,0,"Myanmar","MM","MMR",53708395
"7363","28/03/2020",28,3,2020,0,0,"Myanmar","MM","MMR",53708395
"7364","27/03/2020",27,3,2020,2,0,"Myanmar","MM","MMR",53708395
"7365","26/03/2020",26,3,2020,0,0,"Myanmar","MM","MMR",53708395
"7366","25/03/2020",25,3,2020,1,0,"Myanmar","MM","MMR",53708395
"7367","24/03/2020",24,3,2020,2,0,"Myanmar","MM","MMR",53708395
"7368","17/03/2020",17,3,2020,0,0,"Myanmar","MM","MMR",53708395
