"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"7369","18/04/2020",18,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7370","17/04/2020",17,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7371","16/04/2020",16,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7372","15/04/2020",15,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7373","14/04/2020",14,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7374","13/04/2020",13,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7375","12/04/2020",12,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7376","11/04/2020",11,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7377","10/04/2020",10,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7378","09/04/2020",9,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7379","08/04/2020",8,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7380","07/04/2020",7,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7381","06/04/2020",6,4,2020,2,0,"Namibia",NA,"NAM",2448255
"7382","05/04/2020",5,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7383","04/04/2020",4,4,2020,1,0,"Namibia",NA,"NAM",2448255
"7384","03/04/2020",3,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7385","02/04/2020",2,4,2020,2,0,"Namibia",NA,"NAM",2448255
"7386","01/04/2020",1,4,2020,0,0,"Namibia",NA,"NAM",2448255
"7387","31/03/2020",31,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7388","30/03/2020",30,3,2020,3,0,"Namibia",NA,"NAM",2448255
"7389","29/03/2020",29,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7390","28/03/2020",28,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7391","27/03/2020",27,3,2020,4,0,"Namibia",NA,"NAM",2448255
"7392","26/03/2020",26,3,2020,1,0,"Namibia",NA,"NAM",2448255
"7393","25/03/2020",25,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7394","24/03/2020",24,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7395","23/03/2020",23,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7396","22/03/2020",22,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7397","21/03/2020",21,3,2020,1,0,"Namibia",NA,"NAM",2448255
"7398","20/03/2020",20,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7399","19/03/2020",19,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7400","18/03/2020",18,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7401","17/03/2020",17,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7402","16/03/2020",16,3,2020,0,0,"Namibia",NA,"NAM",2448255
"7403","15/03/2020",15,3,2020,2,0,"Namibia",NA,"NAM",2448255
