"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"7611","18/04/2020",18,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7612","17/04/2020",17,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7613","16/04/2020",16,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7614","15/04/2020",15,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7615","14/04/2020",14,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7616","13/04/2020",13,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7617","12/04/2020",12,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7618","11/04/2020",11,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7619","10/04/2020",10,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7620","09/04/2020",9,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7621","08/04/2020",8,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7622","07/04/2020",7,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7623","06/04/2020",6,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7624","05/04/2020",5,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7625","04/04/2020",4,4,2020,2,0,"New_Caledonia","NC","NCL",284060
"7626","03/04/2020",3,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7627","02/04/2020",2,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7628","01/04/2020",1,4,2020,0,0,"New_Caledonia","NC","NCL",284060
"7629","31/03/2020",31,3,2020,1,0,"New_Caledonia","NC","NCL",284060
"7630","30/03/2020",30,3,2020,0,0,"New_Caledonia","NC","NCL",284060
"7631","29/03/2020",29,3,2020,0,0,"New_Caledonia","NC","NCL",284060
"7632","28/03/2020",28,3,2020,0,0,"New_Caledonia","NC","NCL",284060
"7633","27/03/2020",27,3,2020,1,0,"New_Caledonia","NC","NCL",284060
"7634","26/03/2020",26,3,2020,5,0,"New_Caledonia","NC","NCL",284060
"7635","25/03/2020",25,3,2020,2,0,"New_Caledonia","NC","NCL",284060
"7636","24/03/2020",24,3,2020,2,0,"New_Caledonia","NC","NCL",284060
"7637","23/03/2020",23,3,2020,1,0,"New_Caledonia","NC","NCL",284060
"7638","22/03/2020",22,3,2020,2,0,"New_Caledonia","NC","NCL",284060
"7639","21/03/2020",21,3,2020,2,0,"New_Caledonia","NC","NCL",284060
