"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"7741","18/04/2020",18,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7742","17/04/2020",17,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7743","16/04/2020",16,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7744","15/04/2020",15,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7745","14/04/2020",14,4,2020,1,0,"Nicaragua","NI","NIC",6465513
"7746","13/04/2020",13,4,2020,3,0,"Nicaragua","NI","NIC",6465513
"7747","12/04/2020",12,4,2020,2,0,"Nicaragua","NI","NIC",6465513
"7748","11/04/2020",11,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7749","10/04/2020",10,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7750","09/04/2020",9,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7751","08/04/2020",8,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7752","07/04/2020",7,4,2020,1,0,"Nicaragua","NI","NIC",6465513
"7753","06/04/2020",6,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7754","05/04/2020",5,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7755","04/04/2020",4,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7756","03/04/2020",3,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7757","02/04/2020",2,4,2020,0,0,"Nicaragua","NI","NIC",6465513
"7758","01/04/2020",1,4,2020,1,0,"Nicaragua","NI","NIC",6465513
"7759","31/03/2020",31,3,2020,1,0,"Nicaragua","NI","NIC",6465513
"7760","30/03/2020",30,3,2020,0,0,"Nicaragua","NI","NIC",6465513
"7761","29/03/2020",29,3,2020,1,0,"Nicaragua","NI","NIC",6465513
"7762","28/03/2020",28,3,2020,0,1,"Nicaragua","NI","NIC",6465513
"7763","27/03/2020",27,3,2020,0,0,"Nicaragua","NI","NIC",6465513
"7764","26/03/2020",26,3,2020,0,0,"Nicaragua","NI","NIC",6465513
"7765","25/03/2020",25,3,2020,0,0,"Nicaragua","NI","NIC",6465513
"7766","24/03/2020",24,3,2020,0,0,"Nicaragua","NI","NIC",6465513
"7767","23/03/2020",23,3,2020,1,0,"Nicaragua","NI","NIC",6465513
"7768","22/03/2020",22,3,2020,0,0,"Nicaragua","NI","NIC",6465513
"7769","21/03/2020",21,3,2020,0,0,"Nicaragua","NI","NIC",6465513
"7770","20/03/2020",20,3,2020,0,0,"Nicaragua","NI","NIC",6465513
"7771","19/03/2020",19,3,2020,1,0,"Nicaragua","NI","NIC",6465513
