"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8130","18/04/2020",18,4,2020,50,2,"Oman","OM","OMN",4829483
"8131","17/04/2020",17,4,2020,109,0,"Oman","OM","OMN",4829483
"8132","16/04/2020",16,4,2020,0,0,"Oman","OM","OMN",4829483
"8133","15/04/2020",15,4,2020,97,0,"Oman","OM","OMN",4829483
"8134","14/04/2020",14,4,2020,214,0,"Oman","OM","OMN",4829483
"8135","13/04/2020",13,4,2020,53,1,"Oman","OM","OMN",4829483
"8136","12/04/2020",12,4,2020,62,0,"Oman","OM","OMN",4829483
"8137","11/04/2020",11,4,2020,27,0,"Oman","OM","OMN",4829483
"8138","10/04/2020",10,4,2020,38,1,"Oman","OM","OMN",4829483
"8139","09/04/2020",9,4,2020,0,0,"Oman","OM","OMN",4829483
"8140","08/04/2020",8,4,2020,48,0,"Oman","OM","OMN",4829483
"8141","07/04/2020",7,4,2020,73,0,"Oman","OM","OMN",4829483
"8142","06/04/2020",6,4,2020,21,0,"Oman","OM","OMN",4829483
"8143","05/04/2020",5,4,2020,46,1,"Oman","OM","OMN",4829483
"8144","04/04/2020",4,4,2020,0,0,"Oman","OM","OMN",4829483
"8145","03/04/2020",3,4,2020,21,0,"Oman","OM","OMN",4829483
"8146","02/04/2020",2,4,2020,18,0,"Oman","OM","OMN",4829483
"8147","01/04/2020",1,4,2020,13,1,"Oman","OM","OMN",4829483
"8148","31/03/2020",31,3,2020,12,0,"Oman","OM","OMN",4829483
"8149","30/03/2020",30,3,2020,15,0,"Oman","OM","OMN",4829483
"8150","29/03/2020",29,3,2020,21,0,"Oman","OM","OMN",4829483
"8151","28/03/2020",28,3,2020,22,0,"Oman","OM","OMN",4829483
"8152","27/03/2020",27,3,2020,10,0,"Oman","OM","OMN",4829483
"8153","26/03/2020",26,3,2020,15,0,"Oman","OM","OMN",4829483
"8154","25/03/2020",25,3,2020,18,0,"Oman","OM","OMN",4829483
"8155","24/03/2020",24,3,2020,11,0,"Oman","OM","OMN",4829483
"8156","23/03/2020",23,3,2020,3,0,"Oman","OM","OMN",4829483
"8157","22/03/2020",22,3,2020,4,0,"Oman","OM","OMN",4829483
"8158","21/03/2020",21,3,2020,9,0,"Oman","OM","OMN",4829483
"8159","20/03/2020",20,3,2020,0,0,"Oman","OM","OMN",4829483
"8160","19/03/2020",19,3,2020,15,0,"Oman","OM","OMN",4829483
"8161","18/03/2020",18,3,2020,0,0,"Oman","OM","OMN",4829483
"8162","17/03/2020",17,3,2020,2,0,"Oman","OM","OMN",4829483
"8163","16/03/2020",16,3,2020,2,0,"Oman","OM","OMN",4829483
"8164","15/03/2020",15,3,2020,0,0,"Oman","OM","OMN",4829483
"8165","14/03/2020",14,3,2020,2,0,"Oman","OM","OMN",4829483
"8166","11/03/2020",11,3,2020,0,0,"Oman","OM","OMN",4829483
"8167","10/03/2020",10,3,2020,2,0,"Oman","OM","OMN",4829483
"8168","06/03/2020",6,3,2020,1,0,"Oman","OM","OMN",4829483
"8169","05/03/2020",5,3,2020,8,0,"Oman","OM","OMN",4829483
"8170","03/03/2020",3,3,2020,1,0,"Oman","OM","OMN",4829483
"8171","02/03/2020",2,3,2020,0,0,"Oman","OM","OMN",4829483
"8172","01/03/2020",1,3,2020,0,0,"Oman","OM","OMN",4829483
"8173","29/02/2020",29,2,2020,0,0,"Oman","OM","OMN",4829483
"8174","28/02/2020",28,2,2020,2,0,"Oman","OM","OMN",4829483
"8175","27/02/2020",27,2,2020,0,0,"Oman","OM","OMN",4829483
"8176","26/02/2020",26,2,2020,2,0,"Oman","OM","OMN",4829483
"8177","25/02/2020",25,2,2020,2,0,"Oman","OM","OMN",4829483
"8178","24/02/2020",24,2,2020,0,0,"Oman","OM","OMN",4829483
"8179","23/02/2020",23,2,2020,0,0,"Oman","OM","OMN",4829483
"8180","22/02/2020",22,2,2020,0,0,"Oman","OM","OMN",4829483
"8181","21/02/2020",21,2,2020,0,0,"Oman","OM","OMN",4829483
"8182","20/02/2020",20,2,2020,0,0,"Oman","OM","OMN",4829483
"8183","19/02/2020",19,2,2020,0,0,"Oman","OM","OMN",4829483
"8184","18/02/2020",18,2,2020,0,0,"Oman","OM","OMN",4829483
"8185","17/02/2020",17,2,2020,0,0,"Oman","OM","OMN",4829483
"8186","16/02/2020",16,2,2020,0,0,"Oman","OM","OMN",4829483
"8187","15/02/2020",15,2,2020,0,0,"Oman","OM","OMN",4829483
"8188","14/02/2020",14,2,2020,0,0,"Oman","OM","OMN",4829483
"8189","13/02/2020",13,2,2020,0,0,"Oman","OM","OMN",4829483
"8190","12/02/2020",12,2,2020,0,0,"Oman","OM","OMN",4829483
"8191","11/02/2020",11,2,2020,0,0,"Oman","OM","OMN",4829483
"8192","10/02/2020",10,2,2020,0,0,"Oman","OM","OMN",4829483
"8193","09/02/2020",9,2,2020,0,0,"Oman","OM","OMN",4829483
"8194","08/02/2020",8,2,2020,0,0,"Oman","OM","OMN",4829483
"8195","07/02/2020",7,2,2020,0,0,"Oman","OM","OMN",4829483
"8196","06/02/2020",6,2,2020,0,0,"Oman","OM","OMN",4829483
"8197","05/02/2020",5,2,2020,0,0,"Oman","OM","OMN",4829483
"8198","04/02/2020",4,2,2020,0,0,"Oman","OM","OMN",4829483
"8199","03/02/2020",3,2,2020,0,0,"Oman","OM","OMN",4829483
"8200","02/02/2020",2,2,2020,0,0,"Oman","OM","OMN",4829483
"8201","01/02/2020",1,2,2020,0,0,"Oman","OM","OMN",4829483
"8202","31/01/2020",31,1,2020,0,0,"Oman","OM","OMN",4829483
"8203","30/01/2020",30,1,2020,0,0,"Oman","OM","OMN",4829483
"8204","29/01/2020",29,1,2020,0,0,"Oman","OM","OMN",4829483
"8205","28/01/2020",28,1,2020,0,0,"Oman","OM","OMN",4829483
"8206","27/01/2020",27,1,2020,0,0,"Oman","OM","OMN",4829483
"8207","26/01/2020",26,1,2020,0,0,"Oman","OM","OMN",4829483
"8208","25/01/2020",25,1,2020,0,0,"Oman","OM","OMN",4829483
"8209","24/01/2020",24,1,2020,0,0,"Oman","OM","OMN",4829483
"8210","23/01/2020",23,1,2020,0,0,"Oman","OM","OMN",4829483
"8211","22/01/2020",22,1,2020,0,0,"Oman","OM","OMN",4829483
"8212","21/01/2020",21,1,2020,0,0,"Oman","OM","OMN",4829483
"8213","20/01/2020",20,1,2020,0,0,"Oman","OM","OMN",4829483
"8214","19/01/2020",19,1,2020,0,0,"Oman","OM","OMN",4829483
"8215","18/01/2020",18,1,2020,0,0,"Oman","OM","OMN",4829483
"8216","17/01/2020",17,1,2020,0,0,"Oman","OM","OMN",4829483
"8217","16/01/2020",16,1,2020,0,0,"Oman","OM","OMN",4829483
"8218","15/01/2020",15,1,2020,0,0,"Oman","OM","OMN",4829483
"8219","14/01/2020",14,1,2020,0,0,"Oman","OM","OMN",4829483
"8220","13/01/2020",13,1,2020,0,0,"Oman","OM","OMN",4829483
"8221","12/01/2020",12,1,2020,0,0,"Oman","OM","OMN",4829483
"8222","11/01/2020",11,1,2020,0,0,"Oman","OM","OMN",4829483
"8223","10/01/2020",10,1,2020,0,0,"Oman","OM","OMN",4829483
"8224","09/01/2020",9,1,2020,0,0,"Oman","OM","OMN",4829483
"8225","08/01/2020",8,1,2020,0,0,"Oman","OM","OMN",4829483
"8226","07/01/2020",7,1,2020,0,0,"Oman","OM","OMN",4829483
"8227","06/01/2020",6,1,2020,0,0,"Oman","OM","OMN",4829483
"8228","05/01/2020",5,1,2020,0,0,"Oman","OM","OMN",4829483
"8229","04/01/2020",4,1,2020,0,0,"Oman","OM","OMN",4829483
"8230","03/01/2020",3,1,2020,0,0,"Oman","OM","OMN",4829483
"8231","02/01/2020",2,1,2020,0,0,"Oman","OM","OMN",4829483
"8232","01/01/2020",1,1,2020,0,0,"Oman","OM","OMN",4829483
"8233","31/12/2019",31,12,2019,0,0,"Oman","OM","OMN",4829483
