"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8234","18/04/2020",18,4,2020,456,8,"Pakistan","PK","PAK",212215030
"8235","17/04/2020",17,4,2020,520,11,"Pakistan","PK","PAK",212215030
"8236","16/04/2020",16,4,2020,517,17,"Pakistan","PK","PAK",212215030
"8237","15/04/2020",15,4,2020,272,11,"Pakistan","PK","PAK",212215030
"8238","14/04/2020",14,4,2020,342,3,"Pakistan","PK","PAK",212215030
"8239","13/04/2020",13,4,2020,336,7,"Pakistan","PK","PAK",212215030
"8240","12/04/2020",12,4,2020,250,15,"Pakistan","PK","PAK",212215030
"8241","11/04/2020",11,4,2020,187,5,"Pakistan","PK","PAK",212215030
"8242","10/04/2020",10,4,2020,279,3,"Pakistan","PK","PAK",212215030
"8243","09/04/2020",9,4,2020,250,5,"Pakistan","PK","PAK",212215030
"8244","08/04/2020",8,4,2020,208,4,"Pakistan","PK","PAK",212215030
"8245","07/04/2020",7,4,2020,587,4,"Pakistan","PK","PAK",212215030
"8246","06/04/2020",6,4,2020,827,15,"Pakistan","PK","PAK",212215030
"8247","05/04/2020",5,4,2020,159,4,"Pakistan","PK","PAK",212215030
"8248","04/04/2020",4,4,2020,0,0,"Pakistan","PK","PAK",212215030
"8249","03/04/2020",3,4,2020,0,0,"Pakistan","PK","PAK",212215030
"8250","02/04/2020",2,4,2020,252,5,"Pakistan","PK","PAK",212215030
"8251","01/04/2020",1,4,2020,414,8,"Pakistan","PK","PAK",212215030
"8252","31/03/2020",31,3,2020,99,5,"Pakistan","PK","PAK",212215030
"8253","30/03/2020",30,3,2020,118,2,"Pakistan","PK","PAK",212215030
"8254","29/03/2020",29,3,2020,211,2,"Pakistan","PK","PAK",212215030
"8255","28/03/2020",28,3,2020,0,0,"Pakistan","PK","PAK",212215030
"8256","27/03/2020",27,3,2020,140,1,"Pakistan","PK","PAK",212215030
"8257","26/03/2020",26,3,2020,66,1,"Pakistan","PK","PAK",212215030
"8258","25/03/2020",25,3,2020,104,1,"Pakistan","PK","PAK",212215030
"8259","24/03/2020",24,3,2020,103,1,"Pakistan","PK","PAK",212215030
"8260","23/03/2020",23,3,2020,138,2,"Pakistan","PK","PAK",212215030
"8261","22/03/2020",22,3,2020,151,0,"Pakistan","PK","PAK",212215030
"8262","21/03/2020",21,3,2020,17,1,"Pakistan","PK","PAK",212215030
"8263","20/03/2020",20,3,2020,176,2,"Pakistan","PK","PAK",212215030
"8264","19/03/2020",19,3,2020,115,0,"Pakistan","PK","PAK",212215030
"8265","18/03/2020",18,3,2020,0,0,"Pakistan","PK","PAK",212215030
"8266","17/03/2020",17,3,2020,156,0,"Pakistan","PK","PAK",212215030
"8267","16/03/2020",16,3,2020,1,0,"Pakistan","PK","PAK",212215030
"8268","15/03/2020",15,3,2020,9,0,"Pakistan","PK","PAK",212215030
"8269","14/03/2020",14,3,2020,0,0,"Pakistan","PK","PAK",212215030
"8270","13/03/2020",13,3,2020,1,0,"Pakistan","PK","PAK",212215030
"8271","12/03/2020",12,3,2020,4,0,"Pakistan","PK","PAK",212215030
"8272","11/03/2020",11,3,2020,0,0,"Pakistan","PK","PAK",212215030
"8273","10/03/2020",10,3,2020,10,0,"Pakistan","PK","PAK",212215030
"8274","07/03/2020",7,3,2020,1,0,"Pakistan","PK","PAK",212215030
"8275","04/03/2020",4,3,2020,1,0,"Pakistan","PK","PAK",212215030
"8276","02/03/2020",2,3,2020,0,0,"Pakistan","PK","PAK",212215030
"8277","01/03/2020",1,3,2020,2,0,"Pakistan","PK","PAK",212215030
"8278","29/02/2020",29,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8279","28/02/2020",28,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8280","27/02/2020",27,2,2020,2,0,"Pakistan","PK","PAK",212215030
"8281","26/02/2020",26,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8282","25/02/2020",25,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8283","24/02/2020",24,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8284","23/02/2020",23,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8285","22/02/2020",22,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8286","21/02/2020",21,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8287","20/02/2020",20,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8288","19/02/2020",19,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8289","18/02/2020",18,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8290","17/02/2020",17,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8291","16/02/2020",16,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8292","15/02/2020",15,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8293","14/02/2020",14,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8294","13/02/2020",13,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8295","12/02/2020",12,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8296","11/02/2020",11,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8297","10/02/2020",10,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8298","09/02/2020",9,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8299","08/02/2020",8,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8300","07/02/2020",7,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8301","06/02/2020",6,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8302","05/02/2020",5,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8303","04/02/2020",4,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8304","03/02/2020",3,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8305","02/02/2020",2,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8306","01/02/2020",1,2,2020,0,0,"Pakistan","PK","PAK",212215030
"8307","31/01/2020",31,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8308","30/01/2020",30,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8309","29/01/2020",29,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8310","28/01/2020",28,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8311","27/01/2020",27,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8312","26/01/2020",26,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8313","25/01/2020",25,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8314","24/01/2020",24,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8315","23/01/2020",23,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8316","22/01/2020",22,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8317","21/01/2020",21,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8318","20/01/2020",20,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8319","19/01/2020",19,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8320","18/01/2020",18,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8321","17/01/2020",17,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8322","16/01/2020",16,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8323","15/01/2020",15,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8324","14/01/2020",14,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8325","13/01/2020",13,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8326","12/01/2020",12,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8327","11/01/2020",11,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8328","10/01/2020",10,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8329","09/01/2020",9,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8330","08/01/2020",8,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8331","07/01/2020",7,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8332","06/01/2020",6,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8333","05/01/2020",5,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8334","04/01/2020",4,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8335","03/01/2020",3,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8336","02/01/2020",2,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8337","01/01/2020",1,1,2020,0,0,"Pakistan","PK","PAK",212215030
"8338","31/12/2019",31,12,2019,0,0,"Pakistan","PK","PAK",212215030
