"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8529","18/04/2020",18,4,2020,218,25,"Philippines","PH","PHL",106651922
"8530","17/04/2020",17,4,2020,207,13,"Philippines","PH","PHL",106651922
"8531","16/04/2020",16,4,2020,230,14,"Philippines","PH","PHL",106651922
"8532","15/04/2020",15,4,2020,291,20,"Philippines","PH","PHL",106651922
"8533","14/04/2020",14,4,2020,284,18,"Philippines","PH","PHL",106651922
"8534","13/04/2020",13,4,2020,220,50,"Philippines","PH","PHL",106651922
"8535","12/04/2020",12,4,2020,352,44,"Philippines","PH","PHL",106651922
"8536","11/04/2020",11,4,2020,0,0,"Philippines","PH","PHL",106651922
"8537","10/04/2020",10,4,2020,206,21,"Philippines","PH","PHL",106651922
"8538","09/04/2020",9,4,2020,106,5,"Philippines","PH","PHL",106651922
"8539","08/04/2020",8,4,2020,104,14,"Philippines","PH","PHL",106651922
"8540","07/04/2020",7,4,2020,414,11,"Philippines","PH","PHL",106651922
"8541","06/04/2020",6,4,2020,152,8,"Philippines","PH","PHL",106651922
"8542","05/04/2020",5,4,2020,76,8,"Philippines","PH","PHL",106651922
"8543","04/04/2020",4,4,2020,385,29,"Philippines","PH","PHL",106651922
"8544","03/04/2020",3,4,2020,322,11,"Philippines","PH","PHL",106651922
"8545","02/04/2020",2,4,2020,227,8,"Philippines","PH","PHL",106651922
"8546","01/04/2020",1,4,2020,0,0,"Philippines","PH","PHL",106651922
"8547","31/03/2020",31,3,2020,666,17,"Philippines","PH","PHL",106651922
"8548","30/03/2020",30,3,2020,343,3,"Philippines","PH","PHL",106651922
"8549","29/03/2020",29,3,2020,272,14,"Philippines","PH","PHL",106651922
"8550","28/03/2020",28,3,2020,96,9,"Philippines","PH","PHL",106651922
"8551","27/03/2020",27,3,2020,71,7,"Philippines","PH","PHL",106651922
"8552","26/03/2020",26,3,2020,84,3,"Philippines","PH","PHL",106651922
"8553","25/03/2020",25,3,2020,90,2,"Philippines","PH","PHL",106651922
"8554","24/03/2020",24,3,2020,82,8,"Philippines","PH","PHL",106651922
"8555","23/03/2020",23,3,2020,0,0,"Philippines","PH","PHL",106651922
"8556","22/03/2020",22,3,2020,150,7,"Philippines","PH","PHL",106651922
"8557","21/03/2020",21,3,2020,0,0,"Philippines","PH","PHL",106651922
"8558","20/03/2020",20,3,2020,28,1,"Philippines","PH","PHL",106651922
"8559","19/03/2020",19,3,2020,15,3,"Philippines","PH","PHL",106651922
