"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8679","18/04/2020",18,4,2020,181,28,"Portugal","PT","PRT",10281762
"8680","17/04/2020",17,4,2020,750,30,"Portugal","PT","PRT",10281762
"8681","16/04/2020",16,4,2020,643,32,"Portugal","PT","PRT",10281762
"8682","15/04/2020",15,4,2020,514,32,"Portugal","PT","PRT",10281762
"8683","14/04/2020",14,4,2020,349,31,"Portugal","PT","PRT",10281762
"8684","13/04/2020",13,4,2020,598,34,"Portugal","PT","PRT",10281762
"8685","12/04/2020",12,4,2020,515,35,"Portugal","PT","PRT",10281762
"8686","11/04/2020",11,4,2020,1516,26,"Portugal","PT","PRT",10281762
"8687","10/04/2020",10,4,2020,815,29,"Portugal","PT","PRT",10281762
"8688","09/04/2020",9,4,2020,699,35,"Portugal","PT","PRT",10281762
"8689","08/04/2020",8,4,2020,712,34,"Portugal","PT","PRT",10281762
"8690","07/04/2020",7,4,2020,452,16,"Portugal","PT","PRT",10281762
"8691","06/04/2020",6,4,2020,754,29,"Portugal","PT","PRT",10281762
"8692","05/04/2020",5,4,2020,638,20,"Portugal","PT","PRT",10281762
"8693","04/04/2020",4,4,2020,852,37,"Portugal","PT","PRT",10281762
"8694","03/04/2020",3,4,2020,783,22,"Portugal","PT","PRT",10281762
"8695","02/04/2020",2,4,2020,808,27,"Portugal","PT","PRT",10281762
"8696","01/04/2020",1,4,2020,1035,20,"Portugal","PT","PRT",10281762
"8697","31/03/2020",31,3,2020,446,21,"Portugal","PT","PRT",10281762
"8698","30/03/2020",30,3,2020,792,19,"Portugal","PT","PRT",10281762
"8699","29/03/2020",29,3,2020,902,24,"Portugal","PT","PRT",10281762
"8700","28/03/2020",28,3,2020,724,16,"Portugal","PT","PRT",10281762
"8701","27/03/2020",27,3,2020,549,17,"Portugal","PT","PRT",10281762
"8702","26/03/2020",26,3,2020,633,10,"Portugal","PT","PRT",10281762
"8703","25/03/2020",25,3,2020,302,10,"Portugal","PT","PRT",10281762
"8704","24/03/2020",24,3,2020,460,9,"Portugal","PT","PRT",10281762
"8705","23/03/2020",23,3,2020,320,2,"Portugal","PT","PRT",10281762
"8706","22/03/2020",22,3,2020,260,6,"Portugal","PT","PRT",10281762
"8707","21/03/2020",21,3,2020,235,3,"Portugal","PT","PRT",10281762
"8708","20/03/2020",20,3,2020,143,1,"Portugal","PT","PRT",10281762
"8709","19/03/2020",19,3,2020,194,1,"Portugal","PT","PRT",10281762
"8710","18/03/2020",18,3,2020,117,1,"Portugal","PT","PRT",10281762
"8711","17/03/2020",17,3,2020,86,0,"Portugal","PT","PRT",10281762
"8712","16/03/2020",16,3,2020,76,0,"Portugal","PT","PRT",10281762
"8713","15/03/2020",15,3,2020,57,0,"Portugal","PT","PRT",10281762
"8714","14/03/2020",14,3,2020,34,0,"Portugal","PT","PRT",10281762
"8715","13/03/2020",13,3,2020,19,0,"Portugal","PT","PRT",10281762
"8716","12/03/2020",12,3,2020,18,0,"Portugal","PT","PRT",10281762
"8717","11/03/2020",11,3,2020,2,0,"Portugal","PT","PRT",10281762
"8718","10/03/2020",10,3,2020,9,0,"Portugal","PT","PRT",10281762
"8719","09/03/2020",9,3,2020,9,0,"Portugal","PT","PRT",10281762
"8720","08/03/2020",8,3,2020,8,0,"Portugal","PT","PRT",10281762
"8721","07/03/2020",7,3,2020,4,0,"Portugal","PT","PRT",10281762
"8722","06/03/2020",6,3,2020,4,0,"Portugal","PT","PRT",10281762
"8723","05/03/2020",5,3,2020,1,0,"Portugal","PT","PRT",10281762
"8724","04/03/2020",4,3,2020,2,0,"Portugal","PT","PRT",10281762
"8725","03/03/2020",3,3,2020,2,0,"Portugal","PT","PRT",10281762
