"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9483","18/04/2020",18,4,2020,623,1,"Singapore","SG","SGP",5638676
"9484","17/04/2020",17,4,2020,728,0,"Singapore","SG","SGP",5638676
"9485","16/04/2020",16,4,2020,447,0,"Singapore","SG","SGP",5638676
"9486","15/04/2020",15,4,2020,334,1,"Singapore","SG","SGP",5638676
"9487","14/04/2020",14,4,2020,386,1,"Singapore","SG","SGP",5638676
"9488","13/04/2020",13,4,2020,233,0,"Singapore","SG","SGP",5638676
"9489","12/04/2020",12,4,2020,390,2,"Singapore","SG","SGP",5638676
"9490","11/04/2020",11,4,2020,0,0,"Singapore","SG","SGP",5638676
"9491","10/04/2020",10,4,2020,286,0,"Singapore","SG","SGP",5638676
"9492","09/04/2020",9,4,2020,142,0,"Singapore","SG","SGP",5638676
"9493","08/04/2020",8,4,2020,106,0,"Singapore","SG","SGP",5638676
"9494","07/04/2020",7,4,2020,66,0,"Singapore","SG","SGP",5638676
"9495","06/04/2020",6,4,2020,120,0,"Singapore","SG","SGP",5638676
"9496","05/04/2020",5,4,2020,75,1,"Singapore","SG","SGP",5638676
"9497","04/04/2020",4,4,2020,65,0,"Singapore","SG","SGP",5638676
"9498","03/04/2020",3,4,2020,49,1,"Singapore","SG","SGP",5638676
"9499","02/04/2020",2,4,2020,121,1,"Singapore","SG","SGP",5638676
"9500","01/04/2020",1,4,2020,35,0,"Singapore","SG","SGP",5638676
"9501","31/03/2020",31,3,2020,0,0,"Singapore","SG","SGP",5638676
"9502","30/03/2020",30,3,2020,41,0,"Singapore","SG","SGP",5638676
"9503","29/03/2020",29,3,2020,71,1,"Singapore","SG","SGP",5638676
"9504","28/03/2020",28,3,2020,138,0,"Singapore","SG","SGP",5638676
"9505","27/03/2020",27,3,2020,26,0,"Singapore","SG","SGP",5638676
"9506","26/03/2020",26,3,2020,10,0,"Singapore","SG","SGP",5638676
"9507","25/03/2020",25,3,2020,49,0,"Singapore","SG","SGP",5638676
"9508","24/03/2020",24,3,2020,54,0,"Singapore","SG","SGP",5638676
"9509","23/03/2020",23,3,2020,23,0,"Singapore","SG","SGP",5638676
"9510","22/03/2020",22,3,2020,47,2,"Singapore","SG","SGP",5638676
"9511","21/03/2020",21,3,2020,40,0,"Singapore","SG","SGP",5638676
"9512","20/03/2020",20,3,2020,32,0,"Singapore","SG","SGP",5638676
"9513","19/03/2020",19,3,2020,47,0,"Singapore","SG","SGP",5638676
"9514","18/03/2020",18,3,2020,23,0,"Singapore","SG","SGP",5638676
"9515","17/03/2020",17,3,2020,17,0,"Singapore","SG","SGP",5638676
"9516","16/03/2020",16,3,2020,12,0,"Singapore","SG","SGP",5638676
"9517","15/03/2020",15,3,2020,14,0,"Singapore","SG","SGP",5638676
"9518","14/03/2020",14,3,2020,13,0,"Singapore","SG","SGP",5638676
"9519","13/03/2020",13,3,2020,9,0,"Singapore","SG","SGP",5638676
"9520","12/03/2020",12,3,2020,12,0,"Singapore","SG","SGP",5638676
"9521","11/03/2020",11,3,2020,6,0,"Singapore","SG","SGP",5638676
"9522","10/03/2020",10,3,2020,10,0,"Singapore","SG","SGP",5638676
"9523","09/03/2020",9,3,2020,12,0,"Singapore","SG","SGP",5638676
"9524","08/03/2020",8,3,2020,8,0,"Singapore","SG","SGP",5638676
"9525","07/03/2020",7,3,2020,13,0,"Singapore","SG","SGP",5638676
"9526","06/03/2020",6,3,2020,5,0,"Singapore","SG","SGP",5638676
"9527","05/03/2020",5,3,2020,2,0,"Singapore","SG","SGP",5638676
"9528","04/03/2020",4,3,2020,2,0,"Singapore","SG","SGP",5638676
"9529","03/03/2020",3,3,2020,2,0,"Singapore","SG","SGP",5638676
"9530","02/03/2020",2,3,2020,4,0,"Singapore","SG","SGP",5638676
"9531","01/03/2020",1,3,2020,4,0,"Singapore","SG","SGP",5638676
"9532","29/02/2020",29,2,2020,2,0,"Singapore","SG","SGP",5638676
"9533","28/02/2020",28,2,2020,3,0,"Singapore","SG","SGP",5638676
"9534","27/02/2020",27,2,2020,2,0,"Singapore","SG","SGP",5638676
"9535","26/02/2020",26,2,2020,1,0,"Singapore","SG","SGP",5638676
"9536","25/02/2020",25,2,2020,1,0,"Singapore","SG","SGP",5638676
"9537","24/02/2020",24,2,2020,0,0,"Singapore","SG","SGP",5638676
"9538","23/02/2020",23,2,2020,3,0,"Singapore","SG","SGP",5638676
"9539","22/02/2020",22,2,2020,1,0,"Singapore","SG","SGP",5638676
"9540","21/02/2020",21,2,2020,1,0,"Singapore","SG","SGP",5638676
"9541","20/02/2020",20,2,2020,3,0,"Singapore","SG","SGP",5638676
"9542","19/02/2020",19,2,2020,4,0,"Singapore","SG","SGP",5638676
"9543","18/02/2020",18,2,2020,2,0,"Singapore","SG","SGP",5638676
"9544","17/02/2020",17,2,2020,3,0,"Singapore","SG","SGP",5638676
"9545","16/02/2020",16,2,2020,5,0,"Singapore","SG","SGP",5638676
"9546","15/02/2020",15,2,2020,9,0,"Singapore","SG","SGP",5638676
"9547","14/02/2020",14,2,2020,8,0,"Singapore","SG","SGP",5638676
"9548","13/02/2020",13,2,2020,3,0,"Singapore","SG","SGP",5638676
"9549","12/02/2020",12,2,2020,2,0,"Singapore","SG","SGP",5638676
"9550","11/02/2020",11,2,2020,2,0,"Singapore","SG","SGP",5638676
"9551","10/02/2020",10,2,2020,3,0,"Singapore","SG","SGP",5638676
"9552","09/02/2020",9,2,2020,7,0,"Singapore","SG","SGP",5638676
"9553","08/02/2020",8,2,2020,3,0,"Singapore","SG","SGP",5638676
"9554","07/02/2020",7,2,2020,2,0,"Singapore","SG","SGP",5638676
"9555","06/02/2020",6,2,2020,4,0,"Singapore","SG","SGP",5638676
"9556","05/02/2020",5,2,2020,6,0,"Singapore","SG","SGP",5638676
"9557","04/02/2020",4,2,2020,0,0,"Singapore","SG","SGP",5638676
"9558","03/02/2020",3,2,2020,0,0,"Singapore","SG","SGP",5638676
"9559","02/02/2020",2,2,2020,2,0,"Singapore","SG","SGP",5638676
"9560","01/02/2020",1,2,2020,3,0,"Singapore","SG","SGP",5638676
"9561","31/01/2020",31,1,2020,3,0,"Singapore","SG","SGP",5638676
"9562","30/01/2020",30,1,2020,3,0,"Singapore","SG","SGP",5638676
"9563","29/01/2020",29,1,2020,2,0,"Singapore","SG","SGP",5638676
"9564","28/01/2020",28,1,2020,1,0,"Singapore","SG","SGP",5638676
"9565","27/01/2020",27,1,2020,0,0,"Singapore","SG","SGP",5638676
"9566","26/01/2020",26,1,2020,1,0,"Singapore","SG","SGP",5638676
"9567","25/01/2020",25,1,2020,0,0,"Singapore","SG","SGP",5638676
"9568","24/01/2020",24,1,2020,3,0,"Singapore","SG","SGP",5638676
"9569","23/01/2020",23,1,2020,0,0,"Singapore","SG","SGP",5638676
"9570","22/01/2020",22,1,2020,0,0,"Singapore","SG","SGP",5638676
"9571","21/01/2020",21,1,2020,0,0,"Singapore","SG","SGP",5638676
"9572","20/01/2020",20,1,2020,0,0,"Singapore","SG","SGP",5638676
"9573","19/01/2020",19,1,2020,0,0,"Singapore","SG","SGP",5638676
"9574","18/01/2020",18,1,2020,0,0,"Singapore","SG","SGP",5638676
"9575","17/01/2020",17,1,2020,0,0,"Singapore","SG","SGP",5638676
"9576","16/01/2020",16,1,2020,0,0,"Singapore","SG","SGP",5638676
"9577","15/01/2020",15,1,2020,0,0,"Singapore","SG","SGP",5638676
"9578","14/01/2020",14,1,2020,0,0,"Singapore","SG","SGP",5638676
"9579","13/01/2020",13,1,2020,0,0,"Singapore","SG","SGP",5638676
"9580","12/01/2020",12,1,2020,0,0,"Singapore","SG","SGP",5638676
"9581","11/01/2020",11,1,2020,0,0,"Singapore","SG","SGP",5638676
"9582","10/01/2020",10,1,2020,0,0,"Singapore","SG","SGP",5638676
"9583","09/01/2020",9,1,2020,0,0,"Singapore","SG","SGP",5638676
"9584","08/01/2020",8,1,2020,0,0,"Singapore","SG","SGP",5638676
"9585","07/01/2020",7,1,2020,0,0,"Singapore","SG","SGP",5638676
"9586","06/01/2020",6,1,2020,0,0,"Singapore","SG","SGP",5638676
"9587","05/01/2020",5,1,2020,0,0,"Singapore","SG","SGP",5638676
"9588","04/01/2020",4,1,2020,0,0,"Singapore","SG","SGP",5638676
"9589","03/01/2020",3,1,2020,0,0,"Singapore","SG","SGP",5638676
"9590","02/01/2020",2,1,2020,0,0,"Singapore","SG","SGP",5638676
"9591","01/01/2020",1,1,2020,0,0,"Singapore","SG","SGP",5638676
"9592","31/12/2019",31,12,2019,0,0,"Singapore","SG","SGP",5638676
