"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9659","18/04/2020",18,4,2020,36,5,"Slovenia","SI","SVN",2067372
"9660","17/04/2020",17,4,2020,20,0,"Slovenia","SI","SVN",2067372
"9661","16/04/2020",16,4,2020,28,5,"Slovenia","SI","SVN",2067372
"9662","15/04/2020",15,4,2020,8,1,"Slovenia","SI","SVN",2067372
"9663","14/04/2020",14,4,2020,7,2,"Slovenia","SI","SVN",2067372
"9664","13/04/2020",13,4,2020,17,3,"Slovenia","SI","SVN",2067372
"9665","12/04/2020",12,4,2020,28,5,"Slovenia","SI","SVN",2067372
"9666","11/04/2020",11,4,2020,36,2,"Slovenia","SI","SVN",2067372
"9667","10/04/2020",10,4,2020,33,3,"Slovenia","SI","SVN",2067372
"9668","09/04/2020",9,4,2020,36,4,"Slovenia","SI","SVN",2067372
"9669","08/04/2020",8,4,2020,34,6,"Slovenia","SI","SVN",2067372
"9670","07/04/2020",7,4,2020,24,2,"Slovenia","SI","SVN",2067372
"9671","06/04/2020",6,4,2020,20,6,"Slovenia","SI","SVN",2067372
"9672","05/04/2020",5,4,2020,43,2,"Slovenia","SI","SVN",2067372
"9673","04/04/2020",4,4,2020,37,4,"Slovenia","SI","SVN",2067372
"9674","03/04/2020",3,4,2020,56,1,"Slovenia","SI","SVN",2067372
"9675","02/04/2020",2,4,2020,27,2,"Slovenia","SI","SVN",2067372
"9676","01/04/2020",1,4,2020,51,2,"Slovenia","SI","SVN",2067372
"9677","31/03/2020",31,3,2020,33,0,"Slovenia","SI","SVN",2067372
"9678","30/03/2020",30,3,2020,39,2,"Slovenia","SI","SVN",2067372
"9679","29/03/2020",29,3,2020,59,0,"Slovenia","SI","SVN",2067372
"9680","28/03/2020",28,3,2020,55,4,"Slovenia","SI","SVN",2067372
"9681","27/03/2020",27,3,2020,49,1,"Slovenia","SI","SVN",2067372
"9682","26/03/2020",26,3,2020,48,1,"Slovenia","SI","SVN",2067372
"9683","25/03/2020",25,3,2020,38,2,"Slovenia","SI","SVN",2067372
"9684","24/03/2020",24,3,2020,28,0,"Slovenia","SI","SVN",2067372
"9685","23/03/2020",23,3,2020,31,0,"Slovenia","SI","SVN",2067372
"9686","22/03/2020",22,3,2020,42,0,"Slovenia","SI","SVN",2067372
"9687","21/03/2020",21,3,2020,22,0,"Slovenia","SI","SVN",2067372
"9688","20/03/2020",20,3,2020,33,0,"Slovenia","SI","SVN",2067372
"9689","19/03/2020",19,3,2020,11,0,"Slovenia","SI","SVN",2067372
"9690","18/03/2020",18,3,2020,22,1,"Slovenia","SI","SVN",2067372
"9691","17/03/2020",17,3,2020,34,0,"Slovenia","SI","SVN",2067372
"9692","16/03/2020",16,3,2020,38,0,"Slovenia","SI","SVN",2067372
"9693","15/03/2020",15,3,2020,40,0,"Slovenia","SI","SVN",2067372
"9694","14/03/2020",14,3,2020,45,0,"Slovenia","SI","SVN",2067372
"9695","13/03/2020",13,3,2020,39,0,"Slovenia","SI","SVN",2067372
"9696","12/03/2020",12,3,2020,26,0,"Slovenia","SI","SVN",2067372
"9697","11/03/2020",11,3,2020,15,0,"Slovenia","SI","SVN",2067372
"9698","09/03/2020",9,3,2020,4,0,"Slovenia","SI","SVN",2067372
"9699","08/03/2020",8,3,2020,3,0,"Slovenia","SI","SVN",2067372
"9700","07/03/2020",7,3,2020,3,0,"Slovenia","SI","SVN",2067372
"9701","06/03/2020",6,3,2020,5,0,"Slovenia","SI","SVN",2067372
"9702","05/03/2020",5,3,2020,1,0,"Slovenia","SI","SVN",2067372
