"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9703","18/04/2020",18,4,2020,36,0,"Somalia","SO","SOM",15008154
"9704","17/04/2020",17,4,2020,0,0,"Somalia","SO","SOM",15008154
"9705","16/04/2020",16,4,2020,20,3,"Somalia","SO","SOM",15008154
"9706","15/04/2020",15,4,2020,35,0,"Somalia","SO","SOM",15008154
"9707","14/04/2020",14,4,2020,0,0,"Somalia","SO","SOM",15008154
"9708","13/04/2020",13,4,2020,4,1,"Somalia","SO","SOM",15008154
"9709","12/04/2020",12,4,2020,0,0,"Somalia","SO","SOM",15008154
"9710","11/04/2020",11,4,2020,9,0,"Somalia","SO","SOM",15008154
"9711","10/04/2020",10,4,2020,4,1,"Somalia","SO","SOM",15008154
"9712","09/04/2020",9,4,2020,0,0,"Somalia","SO","SOM",15008154
"9713","08/04/2020",8,4,2020,1,0,"Somalia","SO","SOM",15008154
"9714","07/04/2020",7,4,2020,0,0,"Somalia","SO","SOM",15008154
"9715","06/04/2020",6,4,2020,0,0,"Somalia","SO","SOM",15008154
"9716","05/04/2020",5,4,2020,2,0,"Somalia","SO","SOM",15008154
"9717","04/04/2020",4,4,2020,0,0,"Somalia","SO","SOM",15008154
"9718","03/04/2020",3,4,2020,0,0,"Somalia","SO","SOM",15008154
"9719","02/04/2020",2,4,2020,2,0,"Somalia","SO","SOM",15008154
"9720","01/04/2020",1,4,2020,0,0,"Somalia","SO","SOM",15008154
"9721","31/03/2020",31,3,2020,0,0,"Somalia","SO","SOM",15008154
"9722","30/03/2020",30,3,2020,0,0,"Somalia","SO","SOM",15008154
"9723","29/03/2020",29,3,2020,0,0,"Somalia","SO","SOM",15008154
"9724","28/03/2020",28,3,2020,1,0,"Somalia","SO","SOM",15008154
"9725","27/03/2020",27,3,2020,1,0,"Somalia","SO","SOM",15008154
"9726","26/03/2020",26,3,2020,0,0,"Somalia","SO","SOM",15008154
"9727","25/03/2020",25,3,2020,0,0,"Somalia","SO","SOM",15008154
"9728","24/03/2020",24,3,2020,0,0,"Somalia","SO","SOM",15008154
"9729","23/03/2020",23,3,2020,0,0,"Somalia","SO","SOM",15008154
"9730","22/03/2020",22,3,2020,0,0,"Somalia","SO","SOM",15008154
"9731","21/03/2020",21,3,2020,0,0,"Somalia","SO","SOM",15008154
"9732","20/03/2020",20,3,2020,0,0,"Somalia","SO","SOM",15008154
"9733","19/03/2020",19,3,2020,0,0,"Somalia","SO","SOM",15008154
"9734","18/03/2020",18,3,2020,0,0,"Somalia","SO","SOM",15008154
"9735","17/03/2020",17,3,2020,1,0,"Somalia","SO","SOM",15008154
