"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9901","18/04/2020",18,4,2020,5252,348,"Spain","ES","ESP",46723749
"9902","17/04/2020",17,4,2020,5183,551,"Spain","ES","ESP",46723749
"9903","16/04/2020",16,4,2020,5092,523,"Spain","ES","ESP",46723749
"9904","15/04/2020",15,4,2020,3045,567,"Spain","ES","ESP",46723749
"9905","14/04/2020",14,4,2020,3477,517,"Spain","ES","ESP",46723749
"9906","13/04/2020",13,4,2020,4167,619,"Spain","ES","ESP",46723749
"9907","12/04/2020",12,4,2020,4830,510,"Spain","ES","ESP",46723749
"9908","11/04/2020",11,4,2020,4576,605,"Spain","ES","ESP",46723749
"9909","10/04/2020",10,4,2020,5756,683,"Spain","ES","ESP",46723749
"9910","09/04/2020",9,4,2020,6180,757,"Spain","ES","ESP",46723749
"9911","08/04/2020",8,4,2020,5478,743,"Spain","ES","ESP",46723749
"9912","07/04/2020",7,4,2020,4273,637,"Spain","ES","ESP",46723749
"9913","06/04/2020",6,4,2020,6023,674,"Spain","ES","ESP",46723749
"9914","05/04/2020",5,4,2020,7026,809,"Spain","ES","ESP",46723749
"9915","04/04/2020",4,4,2020,7472,932,"Spain","ES","ESP",46723749
"9916","03/04/2020",3,4,2020,8102,950,"Spain","ES","ESP",46723749
"9917","02/04/2020",2,4,2020,7719,864,"Spain","ES","ESP",46723749
"9918","01/04/2020",1,4,2020,9222,849,"Spain","ES","ESP",46723749
"9919","31/03/2020",31,3,2020,6398,812,"Spain","ES","ESP",46723749
"9920","30/03/2020",30,3,2020,6549,838,"Spain","ES","ESP",46723749
"9921","29/03/2020",29,3,2020,8189,832,"Spain","ES","ESP",46723749
"9922","28/03/2020",28,3,2020,7871,769,"Spain","ES","ESP",46723749
"9923","27/03/2020",27,3,2020,8578,655,"Spain","ES","ESP",46723749
"9924","26/03/2020",26,3,2020,7937,738,"Spain","ES","ESP",46723749
"9925","25/03/2020",25,3,2020,6584,514,"Spain","ES","ESP",46723749
"9926","24/03/2020",24,3,2020,4517,462,"Spain","ES","ESP",46723749
"9927","23/03/2020",23,3,2020,3646,394,"Spain","ES","ESP",46723749
"9928","22/03/2020",22,3,2020,4946,324,"Spain","ES","ESP",46723749
"9929","21/03/2020",21,3,2020,2833,235,"Spain","ES","ESP",46723749
"9930","20/03/2020",20,3,2020,3431,169,"Spain","ES","ESP",46723749
"9931","19/03/2020",19,3,2020,2538,107,"Spain","ES","ESP",46723749
"9932","18/03/2020",18,3,2020,1987,182,"Spain","ES","ESP",46723749
"9933","17/03/2020",17,3,2020,1438,21,"Spain","ES","ESP",46723749
"9934","16/03/2020",16,3,2020,2000,152,"Spain","ES","ESP",46723749
"9935","15/03/2020",15,3,2020,1522,15,"Spain","ES","ESP",46723749
"9936","14/03/2020",14,3,2020,1227,37,"Spain","ES","ESP",46723749
"9937","13/03/2020",13,3,2020,864,37,"Spain","ES","ESP",46723749
"9938","12/03/2020",12,3,2020,501,12,"Spain","ES","ESP",46723749
"9939","11/03/2020",11,3,2020,435,7,"Spain","ES","ESP",46723749
"9940","10/03/2020",10,3,2020,615,23,"Spain","ES","ESP",46723749
"9941","09/03/2020",9,3,2020,159,0,"Spain","ES","ESP",46723749
"9942","08/03/2020",8,3,2020,56,0,"Spain","ES","ESP",46723749
"9943","07/03/2020",7,3,2020,113,2,"Spain","ES","ESP",46723749
"9944","06/03/2020",6,3,2020,61,2,"Spain","ES","ESP",46723749
"9945","05/03/2020",5,3,2020,49,1,"Spain","ES","ESP",46723749
"9946","04/03/2020",4,3,2020,37,0,"Spain","ES","ESP",46723749
"9947","03/03/2020",3,3,2020,31,0,"Spain","ES","ESP",46723749
"9948","02/03/2020",2,3,2020,17,0,"Spain","ES","ESP",46723749
"9949","01/03/2020",1,3,2020,32,0,"Spain","ES","ESP",46723749
"9950","29/02/2020",29,2,2020,9,0,"Spain","ES","ESP",46723749
