"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10148","18/04/2020",18,4,2020,0,0,"Suriname","SR","SUR",575991
"10149","17/04/2020",17,4,2020,0,0,"Suriname","SR","SUR",575991
"10150","16/04/2020",16,4,2020,0,0,"Suriname","SR","SUR",575991
"10151","15/04/2020",15,4,2020,0,0,"Suriname","SR","SUR",575991
"10152","14/04/2020",14,4,2020,0,0,"Suriname","SR","SUR",575991
"10153","13/04/2020",13,4,2020,0,0,"Suriname","SR","SUR",575991
"10154","12/04/2020",12,4,2020,0,0,"Suriname","SR","SUR",575991
"10155","11/04/2020",11,4,2020,0,0,"Suriname","SR","SUR",575991
"10156","10/04/2020",10,4,2020,0,0,"Suriname","SR","SUR",575991
"10157","09/04/2020",9,4,2020,0,0,"Suriname","SR","SUR",575991
"10158","08/04/2020",8,4,2020,0,0,"Suriname","SR","SUR",575991
"10159","07/04/2020",7,4,2020,0,0,"Suriname","SR","SUR",575991
"10160","06/04/2020",6,4,2020,0,0,"Suriname","SR","SUR",575991
"10161","05/04/2020",5,4,2020,0,0,"Suriname","SR","SUR",575991
"10162","04/04/2020",4,4,2020,0,1,"Suriname","SR","SUR",575991
"10163","03/04/2020",3,4,2020,0,0,"Suriname","SR","SUR",575991
"10164","02/04/2020",2,4,2020,0,0,"Suriname","SR","SUR",575991
"10165","01/04/2020",1,4,2020,2,0,"Suriname","SR","SUR",575991
"10166","31/03/2020",31,3,2020,0,0,"Suriname","SR","SUR",575991
"10167","30/03/2020",30,3,2020,0,0,"Suriname","SR","SUR",575991
"10168","29/03/2020",29,3,2020,0,0,"Suriname","SR","SUR",575991
"10169","28/03/2020",28,3,2020,0,0,"Suriname","SR","SUR",575991
"10170","27/03/2020",27,3,2020,0,0,"Suriname","SR","SUR",575991
"10171","26/03/2020",26,3,2020,0,0,"Suriname","SR","SUR",575991
"10172","25/03/2020",25,3,2020,2,0,"Suriname","SR","SUR",575991
"10173","24/03/2020",24,3,2020,1,0,"Suriname","SR","SUR",575991
"10174","23/03/2020",23,3,2020,0,0,"Suriname","SR","SUR",575991
"10175","22/03/2020",22,3,2020,4,0,"Suriname","SR","SUR",575991
"10176","21/03/2020",21,3,2020,0,0,"Suriname","SR","SUR",575991
"10177","15/03/2020",15,3,2020,1,0,"Suriname","SR","SUR",575991
