"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10398","18/04/2020",18,4,2020,5,0,"Syria","SY","SYR",16906283
"10399","17/04/2020",17,4,2020,0,0,"Syria","SY","SYR",16906283
"10400","16/04/2020",16,4,2020,4,0,"Syria","SY","SYR",16906283
"10401","15/04/2020",15,4,2020,4,0,"Syria","SY","SYR",16906283
"10402","14/04/2020",14,4,2020,0,0,"Syria","SY","SYR",16906283
"10403","13/04/2020",13,4,2020,0,0,"Syria","SY","SYR",16906283
"10404","12/04/2020",12,4,2020,6,0,"Syria","SY","SYR",16906283
"10405","11/04/2020",11,4,2020,0,0,"Syria","SY","SYR",16906283
"10406","10/04/2020",10,4,2020,0,0,"Syria","SY","SYR",16906283
"10407","09/04/2020",9,4,2020,0,0,"Syria","SY","SYR",16906283
"10408","08/04/2020",8,4,2020,0,0,"Syria","SY","SYR",16906283
"10409","07/04/2020",7,4,2020,0,0,"Syria","SY","SYR",16906283
"10410","06/04/2020",6,4,2020,3,0,"Syria","SY","SYR",16906283
"10411","05/04/2020",5,4,2020,0,0,"Syria","SY","SYR",16906283
"10412","04/04/2020",4,4,2020,0,0,"Syria","SY","SYR",16906283
"10413","03/04/2020",3,4,2020,6,0,"Syria","SY","SYR",16906283
"10414","02/04/2020",2,4,2020,0,0,"Syria","SY","SYR",16906283
"10415","01/04/2020",1,4,2020,0,0,"Syria","SY","SYR",16906283
"10416","31/03/2020",31,3,2020,1,1,"Syria","SY","SYR",16906283
"10417","30/03/2020",30,3,2020,4,1,"Syria","SY","SYR",16906283
"10418","29/03/2020",29,3,2020,0,0,"Syria","SY","SYR",16906283
"10419","28/03/2020",28,3,2020,0,0,"Syria","SY","SYR",16906283
"10420","27/03/2020",27,3,2020,4,0,"Syria","SY","SYR",16906283
"10421","26/03/2020",26,3,2020,0,0,"Syria","SY","SYR",16906283
"10422","25/03/2020",25,3,2020,0,0,"Syria","SY","SYR",16906283
"10423","24/03/2020",24,3,2020,0,0,"Syria","SY","SYR",16906283
"10424","23/03/2020",23,3,2020,1,0,"Syria","SY","SYR",16906283
